topic_id,topic_name,year,rows
GOMS_005,취업자의 학교유형별 산업 분포,2016,176
GOMS_005,취업자의 학교유형별 산업 분포,2017,176
GOMS_005,취업자의 학교유형별 산업 분포,2018,176
GOMS_005,취업자의 학교유형별 산업 분포,2019,176
GOMS_006,취업자의 전공별 산업 분포,2007,352
GOMS_006,취업자의 전공별 산업 분포,2008,352
GOMS_006,취업자의 전공별 산업 분포,2009,352
GOMS_006,취업자의 전공별 산업 분포,2010,352
GOMS_006,취업자의 전공별 산업 분포,2011,352
GOMS_006,취업자의 전공별 산업 분포,2012,352
GOMS_006,취업자의 전공별 산업 분포,2013,352
GOMS_006,취업자의 전공별 산업 분포,2014,352
GOMS_006,취업자의 전공별 산업 분포,2015,352
GOMS_006,취업자의 전공별 산업 분포,2016,352
GOMS_006,취업자의 전공별 산업 분포,2017,352
GOMS_006,취업자의 전공별 산업 분포,2018,352
GOMS_006,취업자의 전공별 산업 분포,2019,352
GOMS_007,취업자의 성별 직업 분포(~2016),2007,150
GOMS_007,취업자의 성별 직업 분포(~2016),2008,150
GOMS_007,취업자의 성별 직업 분포(~2016),2009,150
GOMS_007,취업자의 성별 직업 분포(~2016),2010,150
GOMS_007,취업자의 성별 직업 분포(~2016),2011,150
GOMS_007,취업자의 성별 직업 분포(~2016),2012,150
GOMS_007,취업자의 성별 직업 분포(~2016),2013,150
GOMS_007,취업자의 성별 직업 분포(~2016),2014,150
GOMS_007,취업자의 성별 직업 분포(~2016),2015,150
GOMS_007,취업자의 성별 직업 분포(~2016),2016,150
GOMS_008,취업자의 성별 직업 분포(2017~),2017,66
GOMS_008,취업자의 성별 직업 분포(2017~),2018,66
GOMS_008,취업자의 성별 직업 분포(2017~),2019,66
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2007,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2008,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2009,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2010,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2011,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2012,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2013,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2014,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2015,200
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2016,200
GOMS_010,취업자의 학교유형별 직업 분포(2017~),2017,88
GOMS_010,취업자의 학교유형별 직업 분포(2017~),2018,88
GOMS_010,취업자의 학교유형별 직업 분포(2017~),2019,88
GOMS_011,취업자의 전공별 직업 분포(~2016),2007,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2008,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2009,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2010,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2011,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2012,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2013,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2014,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2015,400
GOMS_011,취업자의 전공별 직업 분포(~2016),2016,400
GOMS_012,취업자의 전공별 직업 분포(2017~),2017,176
GOMS_012,취업자의 전공별 직업 분포(2017~),2018,176
GOMS_012,취업자의 전공별 직업 분포(2017~),2019,176
GOMS_013,취업자의 성별 사업체 규모,2007,60
GOMS_013,취업자의 성별 사업체 규모,2008,60
GOMS_013,취업자의 성별 사업체 규모,2009,60
GOMS_013,취업자의 성별 사업체 규모,2010,60
GOMS_013,취업자의 성별 사업체 규모,2011,60
GOMS_013,취업자의 성별 사업체 규모,2012,60
GOMS_013,취업자의 성별 사업체 규모,2013,60
GOMS_013,취업자의 성별 사업체 규모,2014,60
GOMS_013,취업자의 성별 사업체 규모,2015,60
GOMS_013,취업자의 성별 사업체 규모,2016,60
GOMS_013,취업자의 성별 사업체 규모,2017,60
GOMS_013,취업자의 성별 사업체 규모,2018,60
GOMS_013,취업자의 성별 사업체 규모,2019,60
GOMS_014,취업자의 학교유형별 사업체 규모,2007,80
GOMS_014,취업자의 학교유형별 사업체 규모,2008,80
GOMS_014,취업자의 학교유형별 사업체 규모,2009,80
GOMS_014,취업자의 학교유형별 사업체 규모,2010,80
GOMS_014,취업자의 학교유형별 사업체 규모,2011,80
