직무분류,job_cert_고등교육기관_건,job_cert_학부_건,job_cert_대학원_건,job_cert_직무비율_pct,job_cert_학부비율_pct,job_cert_대학원비율_pct,job_cert_학부대학원차이_건,job_cert_학부대학원차이_pctp,job_cert_대학원우세_flag,job_cert_is_total_row,job_cert_source_unknown_flag,primary_industry_candidate,industry_candidates,mapping_type,confidence,review_needed,join_now,mapping_missing_flag,guide_match_dept_n,guide_match_school_sum,guide_match_student_sum,guide_match_top_departments,guide_terms,decision_note,cleaning_policy
전체,303447.0,233700.0,69747.0,100.0,77.01509654074682,22.984903459253182,163953.0,54.03019308149364,False,True,False,매핑대상아님,매핑대상아님,aggregate_exclude,exclude,True,False,False,0,0,0,근거없음,근거없음,집계 행이므로 산업분류 매핑 대상에서 제외,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
경영·회계·사무,127952.0,92349.0,35603.0,42.16617728960906,72.174721770664,27.825278229336003,56746.0,44.349443541327986,False,False,False,M.전문·과학·기술업,M.전문·과학·기술업 | N.사업시설·지원업 | K.금융·보험업 | O.공공행정 | G.도·소매업,cross_industry_support_function,low,True,False,False,298,757,893316,"경영(370,552) | 경영학(59,542) | 글로벌경영(33,531) | 관광경영(23,340) | 회계(22,491) | 산업경영공(20,699)","경영, 회계, 세무, 사무, 비서",직무가 산업이 아니라 기능에 가까워 단일 산업으로 확정하면 위험,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
교육·자연과학·사회과학,11.0,4.0,7.0,0.0036250152415413565,36.36363636363637,63.63636363636363,-3.0,-27.272727272727266,True,False,False,P.교육서비스업,P.교육서비스업 | M.전문·과학·기술업,mixed_education_research,low,True,False,False,463,1539,1236256,"유아교육과(96,382) | 물리치료(79,375) | 화학공(55,905) | 교육(50,933) | 화(50,243) | 생명과(39,101)","교육, 자연과학, 사회과학, 수학, 물리, 화학, 생명과학, 사회학",건수가 매우 작고 교육/연구 기능이 섞여 후속 검토 필요,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
보건·의료,938.0,221.0,717.0,0.3091149360514357,23.560767590618337,76.43923240938166,-496.0,-52.87846481876332,True,False,False,Q.보건·사회복지업,Q.보건·사회복지업,direct_domain_match,high,False,False,False,101,437,990409,"간호(611,529) | 물리치료(79,375) | 임상병리(49,311) | 치위생(47,574) | 방사선(32,454) | 응급구조(25,645)","보건, 의료, 간호, 임상병리, 물리치료, 치위생, 방사선, 응급구조",학과명 가이드의 보건/의료/간호 계열과 산업 대분류가 직접 대응,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
사회복지·종교,1247.0,715.0,532.0,0.4109449096547338,57.33761026463512,42.662389735364876,183.0,14.675220529270241,False,False,False,Q.보건·사회복지업,Q.보건·사회복지업 | S.협회·기타서비스업,mixed_social_religious_service,medium,True,False,False,128,384,479724,"사회복지(283,988) | 신(30,231) | 청소년교육복지상담(16,541) | 사회복지학(15,660) | 사회복지상담(13,459) | 상담복지(10,892)","사회복지, 복지, 종교, 신학",사회복지는 Q가 강하지만 종교는 S 후보가 있어 분리 검토 필요,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
문화·예술·디자인·방송,3931.0,3209.0,722.0,1.2954486285908249,81.63317222080896,18.366827779191045,2487.0,63.26634444161792,False,False,False,R.예술·스포츠·여가업,R.예술·스포츠·여가업 | J.정보통신업 | M.전문·과학·기술업,creative_content_mixed,medium,True,False,False,730,1360,1124787,"음악(48,216) | 미디어커뮤니케이션(41,174) | 디자인(35,556) | 미디어영상(27,724) | 산업디자인(27,484) | 시각디자인(25,256)","문화, 예술, 디자인, 방송, 미디어, 영상, 콘텐츠, 공연, 음악, 미술","콘텐츠/방송은 J, 디자인은 M/R로 갈 수 있어 후보형 유지",직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
운전·운송,238.0,213.0,25.0,0.07843214795334935,89.49579831932773,10.504201680672269,188.0,78.99159663865547,False,False,False,H.운수업,H.운수업,direct_domain_match,high,False,False,False,61,89,56351,"항공교통물류(6,233) | 국제물류(5,029) | 해상운송(3,935) | 무역물류(3,764) | 유통물류(2,597) | 물류시스템공(2,419)","운송, 항공운송, 해상운송, 물류, 교통",직무명과 산업 대분류가 직접 대응,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
영업·판매,646.0,426.0,220.0,0.21288725873051967,65.94427244582043,34.05572755417957,206.0,31.888544891640862,False,False,False,G.도·소매업,G.도·소매업,direct_domain_match,medium,True,False,False,64,112,95716,"무역(27,021) | 국제무역(8,749) | 무역학(4,999) | 유통마케팅(4,265) | 마케팅(3,845) | 무역물류(3,764)","영업, 판매, 유통, 무역, 마케팅",판매 기능은 도소매가 주 후보지만 업종 횡단 기능이므로 검토 필요,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
이용·숙박·여행·오락·스포츠,6234.0,5663.0,571.0,2.054395001433529,90.84055181264036,9.15944818735964,5092.0,81.68110362528071,False,False,False,I.숙박·음식점업,I.숙박·음식점업 | R.예술·스포츠·여가업 | S.협회·기타서비스업,personal_tourism_sports_service_mixed,low,True,False,False,263,614,507225,"체육(47,095) | 스포츠과(37,580) | 체육교육과(35,828) | 관광경영(23,340) | 생활체육지도과(18,834) | 사회체육(13,058)","숙박, 여행, 관광, 오락, 스포츠, 체육, 레저, 뷰티, 미용",숙박/여행/스포츠/이용 서비스가 섞여 단일 산업 확정 금지,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
음식서비스,13790.0,11524.0,2266.0,4.544450925532301,83.56780275562001,16.432197244379985,9258.0,67.13560551124002,False,False,False,I.숙박·음식점업,I.숙박·음식점업,direct_domain_match,high,False,False,False,83,127,78489,"호텔관광경영(6,804) | 외식조리(4,802) | 호텔조리(3,606) | 호텔외식경영(3,531) | 호텔외식조리(3,435) | 조리・서비스경영(3,113)","음식, 외식, 조리, 호텔조리, 식음료, 푸드",음식서비스는 숙박·음식점업과 직접 대응,직무별 자격증은 별도 클린 매핑표로 보관하고 임금분류 테이블에는 조인하지 않음
