school_uid,grade_residual_structure_nopolicy_oof_pp
SCH_81449b8bc19d,-0.2046621956371755
SCH_81665d02aae8,-2.3275957126548863
SCH_822e5c0ba179,0.9877910788053277
SCH_8253c7faf164,-0.07736591105286633
SCH_842f899d2eb8,-5.6024798013559725
SCH_8444343be410,-7.5870727555398805
SCH_84786f2613b0,-8.295224975227315
SCH_85206c6f8e40,-5.361889518777602
SCH_854da99e21e4,-7.0593342244469595
SCH_863c64a05072,-5.147044072226443
SCH_8792a35991bd,4.15722966005178
SCH_893fafa4d1ec,4.177620058995959
SCH_89ea5df237fb,-24.323016213922223
SCH_8c0fe037a811,12.169637232812297
SCH_8c30e6ac4fbd,-6.722230292118693
SCH_8cf2df39300d,-8.586929023860234
SCH_8d565ec5e906,27.22693074195989
SCH_8e36aff4c8cd,7.920067669876776
SCH_8eaffeb1f469,-2.800321457943926
SCH_8f2e356312a7,4.922075823662132
SCH_92c3fefdaf92,-11.893580680608101
SCH_94ec1dd5b675,7.4860003840109215
SCH_974bcc3d229d,2.8713975162512324
SCH_9b07d5e5cea5,13.845554595057228
SCH_9b542fd13f8c,20.108346760945018
SCH_9ddd58d1e190,17.71092033619348
SCH_a062abe89d7f,-7.340007943180925
SCH_a0c1c5f58d27,-0.07437079722857529
SCH_a10fc19c8426,-9.359107946140435
SCH_a1748432a398,-3.1487365878984064
SCH_a1b6cde5051e,-4.304644038030528
SCH_a1df1d1acdd7,5.849727030869187
SCH_a25c104d5945,-6.827452695171749
SCH_a3e83fb32317,15.617919614881295
SCH_a70179c6531f,-2.5882562694400937
SCH_ab9f4dbc01f8,-2.150999422391921
SCH_ad7734bfb732,-12.458976398572588
SCH_ade07091689d,-1.9241898553296826
SCH_ae0579c61fd2,-3.578068716175768
SCH_ae7d6447ea08,-1.6532159538011875
SCH_b3c5162386a0,-11.510570749418688
SCH_b4c24dedeac1,-3.8892314564517876
SCH_b518403952c6,-0.03908818317142737
SCH_b602aec81b24,37.652097853074316
SCH_b87e76b8f78a,-8.773128052883285
SCH_b8901e036949,12.499632619949793
SCH_b909076be38e,17.639391271374627
SCH_b95165ee3f1c,-13.54304366126369
SCH_bc4c3907faea,-8.789555155543269
SCH_bcc7b61d775b,-4.120786993710221
SCH_bcfc477eeec3,14.865981945053623
SCH_bd24ab6964ce,-5.644351469623774
SCH_bddec49f1888,28.449120776620862
SCH_bfb4ffe4d1d0,-1.002619979163255
SCH_c00040e7413a,-5.465807565721803
SCH_c235744d252d,-8.78399521451951
SCH_c417cf41afe0,-4.117177772976419
SCH_c4deb88e2c2a,-0.37308181243921895
SCH_c5a1533526c1,-6.637170335492431
SCH_c61963963f37,0.8571984096048116
SCH_c80253ebd31c,0.27482826261134463
SCH_c82adbe73aeb,3.0382972611720493
SCH_cba7fc3f2ea2,-6.877134550386749
SCH_cda53f0ed06d,10.093534419279901
SCH_ceca21d22b99,-5.271857563026886
SCH_d03fc6d40277,15.564774559610111
SCH_d0774c2b8283,-3.2177523217305173
SCH_d094cba6e6e0,-3.8250037397028804
SCH_d439accb1575,-1.6294593334085192
SCH_d49a078a4713,-3.2047467198281794
SCH_d4b90d7a1e57,0.7892993550854452
SCH_d4dadcb61205,1.7296836429758724
SCH_d4e36f66c72f,-2.4269882205266256
SCH_d605db23ebce,-0.5847077184810721
SCH_d7cf6b01676b,-4.4317142108460805
SCH_d8d3233deb6a,-7.681443459869321
SCH_d9b848d6dac0,-8.054909786817408
SCH_d9cc9b5ef13c,-2.003126322486444
SCH_dd703f1e1d10,2.7493345061973824
SCH_dffcffc2a336,-2.9947663538502476
SCH_e46f0f22fdd7,15.086321232052274
SCH_e4fe3edfd86a,3.640684225438128
SCH_e5edbc74bc0b,7.745499960109161
SCH_e623714dcb5f,-2.27081304410449
SCH_e665793836cb,2.322680522280436
SCH_e737ecda2ac3,33.83061232283931
SCH_ea94589fd8d8,-0.22479849384207876
SCH_eaaf89439c64,5.759953095898997
SCH_ead4aa8b8153,-18.391866906303022
SCH_eb90ff65b86d,-0.42474242284957436
SCH_ecb0409798f9,-11.66128382722865
SCH_ed1a93cb5155,7.0655384955156935
SCH_eecea44f3c54,-3.0851701726768854
SCH_ef74b9791330,1.9071498995834606
SCH_f035f77086f3,24.458340103949165
SCH_f0a7062f14b7,10.880582037151125
SCH_f11056a7ff4e,-4.069693865650698
SCH_f1b78fc627f6,8.071184069058566
SCH_f20a031e8dce,0.32392137282006656
SCH_f2b39b741d67,-7.301803773961273
SCH_f38e74825865,11.065577121385378
SCH_f52ce678f2b3,2.381659269703021
SCH_f55d29b69bf5,-0.08605877127128518
SCH_f6cf771efddb,-1.3772101593715202
SCH_f759dc0a8ccd,-17.82844388516742
SCH_f88bc2b7f75b,7.961341965015946
SCH_fa153e645e1e,-10.436718826156966
SCH_fa66da814b2a,-12.121875833540722
SCH_fc474c91d6f5,-13.483158384116912
SCH_fc53ac39a5c3,-2.004881525232543
SCH_fd343c02a3d4,-15.832099009158004
SCH_fe14f3441845,-7.177138166765666
SCH_ff31901b4f59,5.162123877772889
SCH_ff53ff346c39,-2.9576758181383855
