school_uid,grade_residual_structure_nopolicy_oof_pp
SCH_080166833214,9.803968998688395
SCH_08825e789819,14.514072195640193
SCH_0a0f2352484e,-7.278377445902374
SCH_0a6c34a4bd7e,-6.596753767711505
SCH_0a99c689284a,28.307467485648562
SCH_0d9869ded823,-9.093288350691045
SCH_112e611fd671,-7.452656966775369
SCH_11568cc95743,10.67917364913015
SCH_11d126dc8b6c,19.464608424378817
SCH_142ed7b6f7b8,3.6881474544161996
SCH_15cbf59a6287,1.9036546928638813
SCH_165830225e7c,23.4584806615505
SCH_193517d15ce2,-0.5259150470351049
SCH_1a904381ffad,0.96032237803549
SCH_1f0dbf8ca0ee,3.7252864610710024
SCH_20dac01e599f,21.161502303767683
SCH_215dd5d7b724,-1.8638009352582625
SCH_2178d9389c0b,1.5291476112856628
SCH_2262007d8cd8,-3.753664165620673
SCH_238de31a70c5,8.079341165548271
SCH_24351ae0e51c,-2.4134954604869607
SCH_26a4acba3939,-8.357022760423689
SCH_27d295400b39,4.676826367451672
SCH_2a9d10aec529,-1.3555154077079772
SCH_2b2d636286f0,-3.7621549568801362
SCH_2b63f9ad0078,4.4786306403218745
SCH_2bae5a982f8a,-0.8116904402360632
SCH_2bbd7221f5f5,15.152757214744407
SCH_2f1dd9f5df84,2.804553653925839
SCH_2fddf92ebc74,12.05354480557655
SCH_31969f1e134f,-0.429794500316654
SCH_3475d2320701,16.715619947225388
SCH_350aadd7b42e,2.163652048211923
SCH_35d77d3b6c8e,-6.007032736247135
SCH_37cc3a321aa8,15.371303609294028
SCH_38a7fe8ddf6c,-11.884219330441239
SCH_399b2a3af860,-10.981658997266399
SCH_3a9f2002a350,-1.58990487381268
SCH_3b977c481961,-3.876934865672439
SCH_406e2951a18f,3.4117388945863474
SCH_41fce6e94601,-0.6185756231958536
SCH_43abe0f3b5c0,-3.3607864785614416
SCH_4578df1eb182,11.895136208736359
SCH_45a0a9b1d6b5,28.67677986758062
SCH_46f14819b876,17.122883560273035
SCH_470c77611164,6.139558911763894
SCH_49499dd2cd0b,5.262709983738286
SCH_4c7509a6907c,-0.6796373447758495
SCH_4d63e54767c6,-9.462348739314322
SCH_4f3dc0901e76,9.214999971387737
SCH_4f65591a9e9d,-5.3866276976566185
SCH_4fcb5ca730cd,-3.3769824408640843
SCH_5006b4cb2fd4,11.465247276189645
SCH_514dc1eff29d,19.921243671178765
SCH_517472e0016a,6.756865664436272
SCH_51a7b678dcea,-18.132320252291173
SCH_5455cd6d25fe,10.381189689629904
SCH_55457aeb7b89,-18.444617239284675
SCH_55c52db9765e,1.6706914933157633
SCH_5a2291e2913d,5.328924740507545
SCH_5d6eedf02da5,3.0932333221243624
SCH_5ee1d0ecc427,-6.4245820144676316
SCH_5f064e6d8c50,5.804698960223665
SCH_65cc323b97e2,3.463947966540776
SCH_65e8bd521a40,-15.914425361072016
SCH_660b002d3bb9,-8.437834229800282
SCH_6a3a99a48782,-1.983707307390626
SCH_6dcfa062fdf0,-0.4372501576712939
SCH_708f797d9c02,-9.37944783306172
SCH_73ea02aeaa3e,6.301653333418793
SCH_73f8f76d428c,-5.63298268000879
SCH_74086e4eae3f,4.216121624779524
SCH_74c22c88d3ac,14.054395670686512
SCH_7573460df9c1,5.302458601241457
SCH_76fe6236882c,-1.7028254762200772
SCH_7896f9dd5fce,-4.0134377598544875
SCH_7b0a75e6cfe5,3.5898030940387753
SCH_7b175b7efa10,-2.394169309677742
SCH_7bb9ae4f36c4,-9.242038897367026
SCH_7c7da023e5f7,26.358294535445886
SCH_7d73e0278bba,19.940381909603037
SCH_7d9bb36723df,-5.674598678459461
SCH_80bfdbf9dec7,-10.056292478423389
