fold,school_uid,valid_row_n
1,SCH_165830225e7c,76
1,SCH_193517d15ce2,147
1,SCH_2b63f9ad0078,72
1,SCH_46f14819b876,1
1,SCH_4c7509a6907c,69
1,SCH_4fcb5ca730cd,10
1,SCH_55457aeb7b89,44
1,SCH_55c52db9765e,18
1,SCH_660b002d3bb9,24
1,SCH_7b175b7efa10,34
1,SCH_7d73e0278bba,12
1,SCH_822e5c0ba179,95
1,SCH_863c64a05072,59
1,SCH_893fafa4d1ec,16
1,SCH_8c30e6ac4fbd,52
1,SCH_8d565ec5e906,1
1,SCH_8f2e356312a7,45
1,SCH_9b07d5e5cea5,3
1,SCH_a062abe89d7f,58
1,SCH_ab9f4dbc01f8,30
1,SCH_b95165ee3f1c,6
1,SCH_bc4c3907faea,1
1,SCH_c00040e7413a,40
1,SCH_d49a078a4713,11
1,SCH_d8d3233deb6a,16
1,SCH_e5edbc74bc0b,4
1,SCH_e623714dcb5f,82
1,SCH_ea94589fd8d8,12
1,SCH_ed1a93cb5155,40
1,SCH_eecea44f3c54,67
1,SCH_f20a031e8dce,91
1,SCH_f38e74825865,27
1,SCH_fc474c91d6f5,26
1,SCH_ff31901b4f59,52
2,SCH_08825e789819,14
2,SCH_0a99c689284a,5
2,SCH_1a904381ffad,69
2,SCH_215dd5d7b724,131
2,SCH_35d77d3b6c8e,10
2,SCH_38a7fe8ddf6c,23
2,SCH_43abe0f3b5c0,3
2,SCH_4578df1eb182,13
2,SCH_45a0a9b1d6b5,1
2,SCH_470c77611164,75
2,SCH_4f3dc0901e76,101
2,SCH_5455cd6d25fe,54
2,SCH_5f064e6d8c50,12
2,SCH_6a3a99a48782,47
2,SCH_7bb9ae4f36c4,76
2,SCH_7c7da023e5f7,1
2,SCH_842f899d2eb8,11
2,SCH_8eaffeb1f469,88
2,SCH_94ec1dd5b675,59
2,SCH_a1748432a398,20
2,SCH_a1df1d1acdd7,92
2,SCH_a25c104d5945,26
2,SCH_a70179c6531f,42
2,SCH_b909076be38e,1
2,SCH_bcc7b61d775b,16
2,SCH_bcfc477eeec3,66
2,SCH_bfb4ffe4d1d0,5
2,SCH_c80253ebd31c,28
2,SCH_d0774c2b8283,42
2,SCH_dd703f1e1d10,29
2,SCH_e46f0f22fdd7,58
2,SCH_eb90ff65b86d,37
2,SCH_f11056a7ff4e,36
2,SCH_f52ce678f2b3,50
3,SCH_0a6c34a4bd7e,13
3,SCH_112e611fd671,40
3,SCH_11d126dc8b6c,26
3,SCH_15cbf59a6287,59
3,SCH_238de31a70c5,4
3,SCH_26a4acba3939,8
3,SCH_27d295400b39,54
3,SCH_31969f1e134f,27
3,SCH_37cc3a321aa8,93
3,SCH_41fce6e94601,12
3,SCH_5006b4cb2fd4,49
3,SCH_5d6eedf02da5,9
3,SCH_5ee1d0ecc427,1
3,SCH_73f8f76d428c,57
3,SCH_74c22c88d3ac,11
3,SCH_7b0a75e6cfe5,107
3,SCH_81449b8bc19d,13
3,SCH_8253c7faf164,43
3,SCH_854da99e21e4,122
3,SCH_8c0fe037a811,82
3,SCH_9ddd58d1e190,16
3,SCH_a0c1c5f58d27,68
3,SCH_a3e83fb32317,2
3,SCH_b602aec81b24,1
3,SCH_cda53f0ed06d,31
3,SCH_d4dadcb61205,47
3,SCH_d7cf6b01676b,41
3,SCH_d9cc9b5ef13c,33
3,SCH_ecb0409798f9,68
3,SCH_f6cf771efddb,88
3,SCH_f759dc0a8ccd,22
3,SCH_fa66da814b2a,71
3,SCH_fd343c02a3d4,22
4,SCH_0a0f2352484e,64
4,SCH_2262007d8cd8,27
4,SCH_2a9d10aec529,47
4,SCH_2bbd7221f5f5,53
4,SCH_2f1dd9f5df84,20
4,SCH_2fddf92ebc74,2
4,SCH_3475d2320701,60
4,SCH_399b2a3af860,4
4,SCH_514dc1eff29d,1
4,SCH_65cc323b97e2,29
4,SCH_73ea02aeaa3e,13
4,SCH_76fe6236882c,25
4,SCH_7896f9dd5fce,36
4,SCH_8444343be410,76
4,SCH_85206c6f8e40,118
4,SCH_92c3fefdaf92,41
4,SCH_a10fc19c8426,75
4,SCH_a1b6cde5051e,12
4,SCH_ae0579c61fd2,71
4,SCH_ae7d6447ea08,10
4,SCH_b518403952c6,16
4,SCH_bd24ab6964ce,108
4,SCH_bddec49f1888,2
4,SCH_c5a1533526c1,13
4,SCH_c82adbe73aeb,58
4,SCH_cba7fc3f2ea2,42
4,SCH_d094cba6e6e0,94
4,SCH_d9b848d6dac0,91
4,SCH_dffcffc2a336,51
4,SCH_e737ecda2ac3,7
4,SCH_eaaf89439c64,24
4,SCH_f88bc2b7f75b,11
4,SCH_ff53ff346c39,39
5,SCH_080166833214,5
5,SCH_11568cc95743,2
5,SCH_142ed7b6f7b8,12
5,SCH_2178d9389c0b,17
5,SCH_24351ae0e51c,53
5,SCH_2bae5a982f8a,16
5,SCH_350aadd7b42e,11
5,SCH_3a9f2002a350,45
5,SCH_49499dd2cd0b,115
5,SCH_4d63e54767c6,1
5,SCH_4f65591a9e9d,64
5,SCH_517472e0016a,9
5,SCH_5a2291e2913d,70
5,SCH_65e8bd521a40,25
5,SCH_6dcfa062fdf0,56
5,SCH_74086e4eae3f,72
5,SCH_7d9bb36723df,94
5,SCH_80bfdbf9dec7,29
5,SCH_81665d02aae8,63
5,SCH_8cf2df39300d,89
5,SCH_974bcc3d229d,28
5,SCH_ad7734bfb732,2
5,SCH_ade07091689d,112
5,SCH_b4c24dedeac1,24
5,SCH_b87e76b8f78a,45
5,SCH_c235744d252d,40
5,SCH_ceca21d22b99,51
5,SCH_d03fc6d40277,80
5,SCH_d4b90d7a1e57,12
5,SCH_e665793836cb,39
5,SCH_ead4aa8b8153,6
5,SCH_f1b78fc627f6,35
5,SCH_fa153e645e1e,18
