school_uid,grade_residual_structure_full_oof_pp
SCH_080166833214,9.889468127601159
SCH_08825e789819,14.514664396255835
SCH_0a0f2352484e,-7.296763212202712
SCH_0a6c34a4bd7e,-6.5936262048767755
SCH_0a99c689284a,28.29817143036226
SCH_0d9869ded823,-9.087708315497698
SCH_112e611fd671,-7.782291708513208
SCH_11568cc95743,10.692479234883848
SCH_11d126dc8b6c,19.447107039608873
SCH_142ed7b6f7b8,3.6586303007308274
SCH_15cbf59a6287,1.5548688161541167
SCH_165830225e7c,23.58244402717962
SCH_193517d15ce2,-0.5239093417050786
SCH_1a904381ffad,0.9484463500180733
SCH_1f0dbf8ca0ee,3.7240005564714513
SCH_20dac01e599f,20.903986808871753
SCH_215dd5d7b724,-1.8611136263452253
SCH_2178d9389c0b,1.526266609680404
SCH_2262007d8cd8,-4.514566681542315
SCH_238de31a70c5,8.073441610761934
SCH_24351ae0e51c,-2.4130262335086927
SCH_26a4acba3939,-8.26810971678654
SCH_27d295400b39,4.678893070268652
SCH_2a9d10aec529,-1.337044747356474
SCH_2b2d636286f0,-3.8935208217723987
SCH_2b63f9ad0078,4.477077618538512
SCH_2bae5a982f8a,-0.6994734510026115
SCH_2bbd7221f5f5,17.99504181776395
SCH_2f1dd9f5df84,2.851969851187018
SCH_2fddf92ebc74,11.999607990591375
SCH_31969f1e134f,-0.4205516873807936
SCH_3475d2320701,19.80641288115095
SCH_350aadd7b42e,2.146531803537755
SCH_35d77d3b6c8e,-5.902493517364045
SCH_37cc3a321aa8,15.378654623143515
SCH_38a7fe8ddf6c,-11.894321863470282
SCH_399b2a3af860,-11.04573229720987
SCH_3a9f2002a350,-1.5956370166805105
SCH_3b977c481961,-4.152321681719094
SCH_406e2951a18f,3.4154378129511467
SCH_41fce6e94601,-0.6629375607326091
SCH_43abe0f3b5c0,-3.3580830401487867
SCH_4578df1eb182,11.850724371522956
SCH_45a0a9b1d6b5,28.666340766693104
SCH_46f14819b876,17.090499493665888
SCH_470c77611164,5.965014237202779
SCH_49499dd2cd0b,5.270112665310573
SCH_4c7509a6907c,-0.6748978191437836
SCH_4d63e54767c6,-9.280051992249568
SCH_4f3dc0901e76,9.227232688968863
SCH_4f65591a9e9d,-5.387830627221192
SCH_4fcb5ca730cd,-3.3801058144237976
SCH_5006b4cb2fd4,11.469425408163541
SCH_514dc1eff29d,20.250242342131656
SCH_517472e0016a,6.933483991867165
SCH_51a7b678dcea,-18.415707377373963
SCH_5455cd6d25fe,10.395245931999353
SCH_55457aeb7b89,-18.327542388480435
SCH_55c52db9765e,1.6693220252825363
SCH_5a2291e2913d,5.327972492307656
SCH_5d6eedf02da5,3.386756490113356
SCH_5ee1d0ecc427,-6.335652412881032
SCH_5f064e6d8c50,5.760693312534866
SCH_65cc323b97e2,3.5309087743000998
SCH_65e8bd521a40,-15.907750693428977
SCH_660b002d3bb9,-8.315918120625469
SCH_6a3a99a48782,-1.989436509066178
SCH_6dcfa062fdf0,-0.43210680950417313
SCH_708f797d9c02,-9.37115472954217
SCH_73ea02aeaa3e,6.299752718740249
SCH_73f8f76d428c,-5.6423854821534105
SCH_74086e4eae3f,4.20805540325084
SCH_74c22c88d3ac,14.026235677289094
SCH_7573460df9c1,5.304671824338743
SCH_76fe6236882c,-3.606113697192078
SCH_7896f9dd5fce,-5.190202169256232
SCH_7b0a75e6cfe5,3.4462061613603727
SCH_7b175b7efa10,-2.3950589974208727
SCH_7bb9ae4f36c4,-9.626756807259845
SCH_7c7da023e5f7,26.380254785954776
SCH_7d73e0278bba,19.9458709359815
SCH_7d9bb36723df,-5.534025489432588
SCH_80bfdbf9dec7,-10.0396407688511
SCH_81449b8bc19d,-0.25139546346769437
SCH_81665d02aae8,-2.228673301994444
SCH_822e5c0ba179,0.9907326836755513
SCH_8253c7faf164,-0.41241224089678313
SCH_842f899d2eb8,-5.6559606941062475
SCH_8444343be410,-8.155151871387275
SCH_84786f2613b0,-8.442285997062164
SCH_85206c6f8e40,-5.377211567036997
SCH_854da99e21e4,-7.058227031170872
SCH_863c64a05072,-5.149665604814378
SCH_8792a35991bd,4.150736686338108
SCH_893fafa4d1ec,4.239698285759111
SCH_89ea5df237fb,-24.3337831850238
SCH_8c0fe037a811,12.393908072149882
SCH_8c30e6ac4fbd,-6.835707256875508
SCH_8cf2df39300d,-8.581043868160377
SCH_8d565ec5e906,27.296986892792347
SCH_8e36aff4c8cd,7.935192554578353
SCH_8eaffeb1f469,-2.776255541249645
SCH_8f2e356312a7,4.986819446707263
SCH_92c3fefdaf92,-14.031878750414826
SCH_94ec1dd5b675,7.5113476581306715
SCH_974bcc3d229d,2.9759589601964875
SCH_9b07d5e5cea5,13.906413657048278
SCH_9b542fd13f8c,20.127373200281433
SCH_9ddd58d1e190,17.718089992803517
SCH_a062abe89d7f,-7.333534834890651
SCH_a0c1c5f58d27,-0.06205053767554697
SCH_a10fc19c8426,-9.346559862637019
SCH_a1748432a398,-2.893044398235009
SCH_a1b6cde5051e,-6.235606818858667
SCH_a1df1d1acdd7,5.851977481963448
SCH_a25c104d5945,-6.604991669054869
SCH_a3e83fb32317,15.637141737397936
SCH_a70179c6531f,-2.581737321105967
SCH_ab9f4dbc01f8,-2.0252732917340235
SCH_ad7734bfb732,-12.46341511816641
SCH_ade07091689d,-2.0318375746367696
SCH_ae0579c61fd2,-3.6201175173377114
SCH_ae7d6447ea08,-3.5171753871480362
SCH_b3c5162386a0,-11.509298726257896
SCH_b4c24dedeac1,-3.8841026916715466
SCH_b518403952c6,0.05939441348668151
SCH_b602aec81b24,37.62455375148878
SCH_b87e76b8f78a,-8.772536995401431
SCH_b8901e036949,12.501962381502677
SCH_b909076be38e,17.63347370168558
SCH_b95165ee3f1c,-13.431138099779998
SCH_bc4c3907faea,-8.78620427732649
SCH_bcc7b61d775b,-4.11017442245984
SCH_bcfc477eeec3,14.859644783131197
SCH_bd24ab6964ce,-5.667265426403902
SCH_bddec49f1888,28.655963375297922
SCH_bfb4ffe4d1d0,-0.737696974159654
SCH_c00040e7413a,-5.434108423811203
SCH_c235744d252d,-8.587172469061418
SCH_c417cf41afe0,-3.683629500300771
SCH_c4deb88e2c2a,-0.6407151839210936
SCH_c5a1533526c1,-6.675500478456329
SCH_c61963963f37,0.7566577092081498
SCH_c80253ebd31c,0.2849430513601691
SCH_c82adbe73aeb,6.08858261123641
SCH_cba7fc3f2ea2,-8.065487656260595
SCH_cda53f0ed06d,10.103191807456069
SCH_ceca21d22b99,-5.2678138897438735
SCH_d03fc6d40277,15.76332545111607
SCH_d0774c2b8283,-3.201574532992254
SCH_d094cba6e6e0,-1.9442024246972356
SCH_d439accb1575,-1.6218012288118857
SCH_d49a078a4713,-3.195188298168331
SCH_d4b90d7a1e57,0.901637380516954
SCH_d4dadcb61205,1.7301320268526044
SCH_d4e36f66c72f,-2.425898423819141
SCH_d605db23ebce,-0.7200211814153025
SCH_d7cf6b01676b,-4.433302258037222
SCH_d8d3233deb6a,-7.679865884571138
SCH_d9b848d6dac0,-8.228072698368518
SCH_d9cc9b5ef13c,-1.9261977212154366
SCH_dd703f1e1d10,2.7481813205825416
SCH_dffcffc2a336,-3.059559633937288
SCH_e46f0f22fdd7,15.218871018697467
SCH_e4fe3edfd86a,3.950870161381581
SCH_e5edbc74bc0b,7.746395245062853
SCH_e623714dcb5f,-2.2690643950001474
SCH_e665793836cb,2.49744070906076
SCH_e737ecda2ac3,33.93448955485631
SCH_ea94589fd8d8,-0.1549152757699659
SCH_eaaf89439c64,4.620280094696185
SCH_ead4aa8b8153,-18.398363471427242
SCH_eb90ff65b86d,-0.41698508917956995
SCH_ecb0409798f9,-12.21390473890266
SCH_ed1a93cb5155,7.0683454231625
SCH_eecea44f3c54,-3.0828979994105734
SCH_ef74b9791330,1.8963434334646798
SCH_f035f77086f3,24.139194347665352
SCH_f0a7062f14b7,10.887037996645866
SCH_f11056a7ff4e,-4.451625442156616
SCH_f1b78fc627f6,8.114130751061955
SCH_f20a031e8dce,0.31951217299029233
SCH_f2b39b741d67,-7.403166059099133
SCH_f38e74825865,11.06552237108934
SCH_f52ce678f2b3,2.3975613209739994
SCH_f55d29b69bf5,-0.07714680154958604
SCH_f6cf771efddb,-1.3709687315859171
SCH_f759dc0a8ccd,-18.168630958813786
SCH_f88bc2b7f75b,7.72351217157583
SCH_fa153e645e1e,-10.417070893177687
SCH_fa66da814b2a,-11.825363072233474
SCH_fc474c91d6f5,-13.47642298034248
SCH_fc53ac39a5c3,-2.0186259652670158
SCH_fd343c02a3d4,-15.548260262968638
SCH_fe14f3441845,-7.186076789901653
SCH_ff31901b4f59,5.0394825727382555
SCH_ff53ff346c39,-3.021210229558069
