univ_name_std,rank_2024_raw,a_rate_pct,a_rate_expected_by_rank_pct,a_rate_residual_pctp,official_employment_rate_pct,graduate_school_rate_pct
국립부경대학교,45,53.28327701141161,38.685456507862376,14.597820503549237,56.25,9.621496677260907
이화여자대학교,8,62.15747912208609,48.188862803487794,13.968616318598292,64.57399103139014,18.650421743205246
전북대학교,46,51.9281409093569,38.42860768906169,13.499533220295206,58.85663507109005,11.034141514101927
서울대학교,1,63.30961253255898,49.9868045350926,13.322807997466375,65.5587668593449,30.959849435382687
가천대학교,34,54.32277088416231,41.510793514669935,12.811977369492377,66.51748251748252,6.072591903210796
연세대학교,2,60.22225882230563,49.72995571629191,10.492303106013722,67.27272727272727,21.81255946717412
성균관대학교,4,59.29726681302745,49.216258078690544,10.081008734336905,71.32530120481928,17.846750727449077
고려대학교,3,58.35317990067816,49.47310689749123,8.880073003186936,69.90092244619063,21.687603697558664
숙명여자대학교,16,53.63359512742427,46.13407225308229,7.499522874341977,62.45542536933265,10.495495495495495
명지대학교,31,46.78934253402339,42.28133997107199,4.508002562951397,65.26138279932546,12.063056888279643
