univ_name_std,rank_2024_raw,a_rate_pct,a_rate_expected_by_rank_pct,a_rate_residual_pctp,official_employment_rate_pct,graduate_school_rate_pct
서경대학교,44,28.265952137021564,38.94230532666306,-10.676353189641496,67.21311475409836,3.625576796308504
성신여자대학교,24,33.599820070336136,44.0792817026768,-10.479461632340666,60.38415366146459,9.9468085106383
세종대학교,19,36.17404051172708,45.36352579668024,-9.189485284953156,61.47308781869688,14.156626506024098
서강대학교,6,39.98581057112452,48.70256044108917,-8.716749869964652,73.10286677908938,16.647264260768335
홍익대학교,14,38.506819537156375,46.64776989068368,-8.140950353527302,65.58500914076782,7.340143776012107
건국대학교,11,39.94467674493406,47.418316347085735,-7.473639602151678,66.79049034175334,13.536866359447004
경북대학교,22,37.1412599191224,44.59297934027818,-7.451719421155779,57.820512820512825,14.154296466652728
한국외국어대학교,12,39.89961351202128,47.16146752828504,-7.2618540162637615,64.47827465905488,6.087422901582194
아주대학교,20,37.85456719180856,45.10667697787955,-7.252109786070996,69.26478717523493,15.236818588025022
숭실대학교,15,39.53488372093023,46.390921071882985,-6.856037350952754,67.7445432497979,9.186697398748764
