hypothesis,outcome,outcome_col,proxy_note,n,spearman_rho,spearman_p,partial_n,partial_spearman_r,partial_spearman_p
H3,공식취업률(취업시장 기본지표),official_employment_rate_pct,직접 취업률,229,0.018693881507342917,0.778429463159148,229,0.024467938408026867,0.7126525033153991
H4,건보직장가입 취업률(해설용어: 안정적 임금근로 proxy),health_employment_rate_pct,취업의 질 대체지표,229,-0.08497750890726279,0.20011473876680164,229,-0.03997858272025108,0.5472301919303645
H4,4차 유지취업률(해설용어: 취업 유지 proxy),retention_4th_pct,취업의 질 대체지표,229,-0.158224496117834,0.016557763022038704,229,-0.07454490906748837,0.26124221375825285
H4,창업·프리랜서 비율(해설용어: 비임금/독립활동 proxy),startup_freelance_rate_pct,취업의 질 대체지표,229,0.19282072292467445,0.0033952942661894213,229,0.14104112060895962,0.03289723246454237
H5,전체 진학률(해설용어: 학업 지속 경로),overall_advancement_rate_pct,진학시장,240,0.33089532631853685,1.5373544941846864e-07,240,0.2702212812279284,2.199562910309082e-05
H5,대학원 진학률(해설용어: 성적표 활용 가능성이 큰 경로),graduate_school_rate_pct,진학시장,240,0.3541755152012913,1.6792179303449742e-08,240,0.2844322494578331,7.598340020064346e-06
