dataset,column,dtype,missing_n,missing_pct
mart_department_model_base_2024,ctx24_industry_top3_pct,Float32,10242,100.0
mart_department_model_base_2024,ctx24_industry_hhi,Float32,10242,100.0
P4_TARGET_PROFILE_BY_PHASE,min,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p01,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p05,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p25,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p75,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p95,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,p99,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,max,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,hundred_ratio,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,skewness,float64,360,90.9090909090909
P4_TARGET_PROFILE_BY_PHASE,school_icc,float64,360,90.9090909090909
P4_DUPLICATE_CONFLICT_RESOLUTION,exclusion_reason,str,28,77.77777777777779
P4_PHASE_MODEL_SPEC_FINAL,missing_required_features,str,14,77.77777777777779
department_model_column_registry_v4,derivation_formula,str,98,64.90066225165563
P4_TARGET_PROFILE_BY_PHASE,mean,float64,252,63.63636363636363
P4_TARGET_PROFILE_BY_PHASE,std,float64,252,63.63636363636363
P4_TARGET_PROFILE_BY_PHASE,median,float64,252,63.63636363636363
mart_department_model_base_2024,selectivity_proxy_pct,Float32,6505,63.51298574497169
P4_PHASE_DESIGN_MATRIX_RANK,constant_columns,str,18,56.25
mart_department_model_base_2024,competition_ratio,Float32,4985,48.67213434876001
mart_department_model_base_2024,admission_yield_ratio,Float32,4985,48.67213434876001
mart_department_model_base_2024,admit_per_applicant_ratio,Float32,4982,48.64284319468854
P4_PHASE_DESIGN_MATRIX_RANK,recommended_action,str,14,43.75
department_model_column_registry_v4,valid_min,float64,59,39.0728476821192
department_model_column_registry_v4,valid_max,float64,59,39.0728476821192
mart_department_model_base_2024,student_faculty_ratio,Float32,3863,37.71724272603007
mart_department_model_base_2024,fulltime_faculty_share_pct,Float32,3863,37.71724272603007
mart_department_model_base_2024,employment_rate_pct,Float32,2765,26.996680335871897
mart_department_model_base_2024,health_employment_rate_pct,Float32,2765,26.996680335871897
mart_department_model_base_2024,progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,vocational_college_progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,university_progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,graduate_school_progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,domestic_progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,overseas_progression_rate_pct,Float32,2655,25.92267135325132
mart_department_model_base_2024,leave_rate_pct,Float32,1801,17.584456160906072
mart_department_model_base_2024,female_student_share_pct,Float32,1801,17.584456160906072
mart_department_model_base_2024,international_student_share_pct,Float32,1801,17.584456160906072
mart_department_model_base_2024,headcount_row_id,str,1681,16.412809998047255
mart_department_model_base_2024,headcount_grain_version,str,1681,16.412809998047255
mart_department_model_base_2024,headcount_grain_uid,string,1681,16.412809998047255
mart_department_model_base_2024,grain_resolution_method,str,1681,16.412809998047255
mart_department_model_base_2024,grain_review_needed,boolean,1681,16.412809998047255
mart_department_model_base_2024,raw_row_lineage,string,1681,16.412809998047255
