label,path,actual shape,expected shape,shape_match,actual_sha256,expected_sha256,hash_match,status,warning_n
mart_department_model_base_2024,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,"(10242, 151)","(10242, 151)",True,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,True,PASS_WITH_WARNINGS,3
P4_PHASE_SAMPLE_MEMBERSHIP_FINAL,workbook/p2/p2_4/p4_modeling_readiness_v4/data/P4_PHASE_SAMPLE_MEMBERSHIP_FINAL.parquet,"(10242, 21)","(10242, 21)",True,58d0308aa92f04badea3c7fc2db44fc28d0d93580db9bff4f16d47d870ebc7c6,58d0308aa92f04badea3c7fc2db44fc28d0d93580db9bff4f16d47d870ebc7c6,True,PASS_WITH_WARNINGS,1
P4_PHASE_SAMPLE_REGISTRY_FINAL,workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_SAMPLE_REGISTRY_FINAL.csv,"(12, 11)","(12, 11)",True,6483fdf67cca469ed7bd2500e5ef917ffd01007194c83461f5c827b03f16805e,6483fdf67cca469ed7bd2500e5ef917ffd01007194c83461f5c827b03f16805e,True,PASS_WITH_WARNINGS,1
department_model_column_registry_v4,workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/department_model_column_registry_v4.csv,"(151, 22)","(151, 22)",True,ab75225547d42ddc8e6cdf686be61ecc8bf87512729d8d9d053652b521093b94,ab75225547d42ddc8e6cdf686be61ecc8bf87512729d8d9d053652b521093b94,True,PASS_WITH_WARNINGS,1
P4_PHASE_FEATURE_SET_FINAL,workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_FEATURE_SET_FINAL.csv,"(250, 11)","(250, 11)",True,dc851803d22a22e891a7fdd9a31dbe0c3d2ac56421a9798e06a9e87e20ce2320,dc851803d22a22e891a7fdd9a31dbe0c3d2ac56421a9798e06a9e87e20ce2320,True,PASS_WITH_WARNINGS,1
P4_PHASE_MODEL_SPEC_FINAL,workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_PHASE_MODEL_SPEC_FINAL.csv,"(18, 10)","(18, 10)",True,d7f560167ec752938b73dbee3c5f9dddc84fbc009d9eeaa3905b20946cc7dc48,d7f560167ec752938b73dbee3c5f9dddc84fbc009d9eeaa3905b20946cc7dc48,True,PASS,0
P4_MODEL_FAMILY_RECOMMENDATION,workbook/p2/p2_4/p4_modeling_readiness_v4/artifacts/P4_MODEL_FAMILY_RECOMMENDATION.csv,"(8, 8)","(8, 8)",True,193db8e4da1201fa9ef8fbe635803de560d563e4c1446770129066fbc497c68c,193db8e4da1201fa9ef8fbe635803de560d563e4c1446770129066fbc497c68c,True,PASS_WITH_WARNINGS,1
P4_DUPLICATE_CONFLICT_RESOLUTION,workbook/p2/p2_4/p4_modeling_readiness_v4/qa/P4_DUPLICATE_CONFLICT_RESOLUTION.csv,"(36, 14)","(36, 14)",True,24d2e000661b3e67a353877383c7ef68b8e156f52bd11ac22f4b1fd724be8d4f,24d2e000661b3e67a353877383c7ef68b8e156f52bd11ac22f4b1fd724be8d4f,True,PASS_WITH_WARNINGS,1
P4_PHASE_DESIGN_MATRIX_RANK,workbook/p2/p2_4/p4_modeling_readiness_v4/qa/P4_PHASE_DESIGN_MATRIX_RANK.csv,"(32, 17)","(32, 17)",True,17414355de01f8ecd9170e810b4826886e5825a57191dacc5d43a1f7b8f336ae,17414355de01f8ecd9170e810b4826886e5825a57191dacc5d43a1f7b8f336ae,True,PASS_WITH_WARNINGS,1
P4_LINEAR_ALIAS_GROUPS,workbook/p2/p2_4/p4_modeling_readiness_v4/qa/P4_LINEAR_ALIAS_GROUPS.csv,"(56, 6)","(56, 6)",True,31340edd978ec94763e6890bda4fef7d63eb414727a30015a054bc7898e59517,31340edd978ec94763e6890bda4fef7d63eb414727a30015a054bc7898e59517,True,PASS_WITH_WARNINGS,1
