column,raw_dtype,est_type,non_null,null_count,null_pct,unique_count,zero_count_if_numeric,min_if_numeric,max_if_numeric
직무분류,str,identifier_or_key,24,0,0.0,24,,,
job_cert_고등교육기관_건,float64,numeric_count,24,0,0.0,24,0,11.0,303447.0
job_cert_학부_건,float64,numeric_count,24,0,0.0,24,0,4.0,233700.0
job_cert_대학원_건,float64,numeric_count,24,0,0.0,24,0,7.0,69747.0
job_cert_직무비율_pct,float64,numeric_rate_or_ratio,24,0,0.0,24,0,0.0036250152415413,100.0
job_cert_학부비율_pct,float64,numeric_rate_or_ratio,24,0,0.0,24,0,23.560767590618337,90.84055181264036
job_cert_대학원비율_pct,float64,numeric_rate_or_ratio,24,0,0.0,24,0,9.15944818735964,76.43923240938166
job_cert_학부대학원차이_건,float64,numeric_count,24,0,0.0,24,0,-496.0,163953.0
job_cert_학부대학원차이_pctp,float64,numeric_rate_or_ratio,24,0,0.0,24,0,-52.87846481876332,81.68110362528071
job_cert_대학원우세_flag,bool,boolean,24,0,0.0,2,22,0.0,1.0
job_cert_is_total_row,bool,boolean,24,0,0.0,2,23,0.0,1.0
job_cert_source_unknown_flag,bool,boolean,24,0,0.0,2,23,0.0,1.0
primary_industry_candidate,str,categorical_low_cardinality,24,0,0.0,16,,,
industry_candidates,str,text_or_high_cardinality_category,24,0,0.0,22,,,
mapping_type,str,categorical_low_cardinality,24,0,0.0,18,,,
confidence,str,categorical_low_cardinality,24,0,0.0,5,,,
review_needed,bool,boolean,24,0,0.0,2,8,0.0,1.0
join_now,bool,boolean,24,0,0.0,1,24,0.0,0.0
mapping_missing_flag,bool,boolean,24,0,0.0,1,24,0.0,0.0
guide_match_dept_n,int64,numeric_continuous,24,0,0.0,22,2,0.0,730.0
guide_match_school_sum,int64,numeric_continuous,24,0,0.0,22,2,0.0,1539.0
guide_match_student_sum,int64,numeric_continuous,24,0,0.0,23,2,0.0,1236256.0
guide_match_top_departments,str,text_or_high_cardinality_category,24,0,0.0,23,,,
guide_terms,str,text_or_high_cardinality_category,24,0,0.0,23,,,
decision_note,str,text_or_high_cardinality_category,24,0,0.0,24,,,
cleaning_policy,str,categorical_binary,24,0,0.0,1,,,
