column,dtype,unique_count,null_count,top_values
학제,str,10,0,대학교: 7314 | 일반대학원: 6711 | 전문대학원: 637 | 전문대학: 635 | 교육대학: 150
대학원구분,str,2,8260,<NA>: 8260 | 부설대학원: 7235 | 대학원대학: 232
학교명,str,587,0,강원대학교: 356 | 건국대학교: 207 | 경북대학교: 202 | 영산대학교: 201 | 신라대학교: 197
본분교,str,5,0,본교(제1캠퍼스): 13696 | 본교(제2캠퍼스): 1462 | 분교(제1캠퍼스): 339 | 본교(제3캠퍼스): 203 | 본교(제4캠퍼스): 27
시도,str,17,0,서울: 3376 | 경기: 1929 | 부산: 1529 | 대전: 1181 | 강원: 1023
시군구,str,142,0,서울 서대문구: 564 | 서울 성북구: 543 | 강원 춘천시: 501 | 대전 유성구: 484 | 경북 경산시: 463
설립,str,7,0,사립: 10351 | 국립: 4493 | 국립대법인: 355 | 특별법법인: 192 | 공립: 152
학위과정,str,3,0,대학과정: 7494 | 대학원과정: 7467 | 전문대학과정: 766
대계열,str,7,0,공학계열: 4212 | 사회계열: 3086 | 자연계열: 2465 | 인문계열: 2109 | 예체능계열: 1920
중계열,str,36,0,경영ㆍ경제: 1558 | 사회과학: 1344 | 인문과학: 1270 | 생물ㆍ화학ㆍ환경: 1199 | 컴퓨터ㆍ통신: 1041
소계열,str,180,0,경영학: 784 | 생명과학: 531 | 전산학ㆍ컴퓨터공학: 398 | 가족ㆍ사회ㆍ복지학: 372 | 행정학: 359
학과코드,str,8296,0,G02010100022: 104 | G02030100032: 84 | G02020100032: 80 | G06020100004: 74 | G02030700176: 74
학과명,str,7376,0,경영학과: 150 | 사회복지학과: 146 | 간호학과: 136 | 행정학과: 106 | 컴퓨터공학과: 105
