column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
job_cert_고등교육기관_건,0,0,24.0,25287.25,64720.989911713914,11.0,23.19,90.10000000000002,983.0,5215.0,16347.0,113280.79999999978,263083.1499999999,303447.0
job_cert_학부_건,0,0,24.0,19475.0,49402.8001248301,4.0,11.59,63.40000000000002,642.75,4137.5,13598.75,82196.39999999985,201189.26999999993,233700.0
job_cert_대학원_건,0,0,24.0,5812.25,15431.859143681775,7.0,11.14,25.3,351.25,841.5,2380.25,31693.849999999944,61893.87999999998,69747.0
job_cert_직무비율_pct,0,0,24.0,8.333333333333334,21.32859771614612,0.0036250152415413,0.007642191222849395,0.029692170296625034,0.32394454385774124,1.7185867713307432,5.387102195770597,37.33132968854521,86.69822077661006,100.0
job_cert_학부비율_pct,0,0,24.0,74.69943362983068,16.826027788891935,23.560767590618337,26.505427408412483,39.50973244878618,69.94532478568298,81.70755184249171,84.63949897581548,89.44661478126045,90.53125850917846,90.84055181264036
job_cert_대학원비율_pct,0,0,24.0,25.30056637016932,16.82602778889194,9.15944818735964,9.468741490821545,10.553385218739548,15.360501024184504,18.292448157508296,30.054675214317008,60.490267551213776,73.49457259158751,76.43923240938166
job_cert_학부대학원차이_건,0,0,24.0,13662.75,34187.00540346466,-496.0,-382.61,-1.0499999999999983,236.75,3084.0,9494.0,51111.99999999992,139295.38999999996,163953.0
job_cert_학부대학원차이_pctp,0,0,24.0,49.39886725966136,33.65205557778387,-52.87846481876332,-46.989145183175026,-20.98053510242763,39.890649571365984,63.41510368498341,69.27899795163098,78.8932295625209,81.0625170183569,81.68110362528071
guide_match_dept_n,0,2,24.0,170.25,163.12072083342875,0.0,0.0,3.600000000000003,65.5,127.5,210.0,442.2999999999997,668.5899999999999,730.0
guide_match_school_sum,0,2,24.0,406.5,390.5770535791993,0.0,0.0,11.25000000000001,112.75,385.0,445.0,1276.7499999999989,1497.83,1539.0
guide_match_student_sum,0,2,24.0,406902.5833333333,373978.3034897028,0.0,0.0,8452.650000000007,84040.5,360435.5,508063.25,1104630.2999999998,1210618.13,1236256.0
