column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
정원내_입학자_박사_계,0,11875,15727.0,1.4423602721434476,5.322604819496145,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,157.0
정원내_입학자_박사_남,0,12775,15727.0,0.797036942837159,3.595680264747381,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,135.0
정원내_입학자_박사_여,0,12888,15727.0,0.6453233293062886,2.340303358525206,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,54.0
정원외_입학자_전체_계,0,9794,15727.0,2.7217524003306415,10.418797483205427,0.0,0.0,0.0,0.0,0.0,2.0,12.0,38.0,461.0
정원외_입학자_전체_남,0,11382,15727.0,1.2556749539009346,5.412166941161899,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,312.0
정원외_입학자_전체_여,0,11160,15727.0,1.4660774464297068,6.12959191187175,0.0,0.0,0.0,0.0,0.0,1.0,7.0,24.0,225.0
정원외_입학자_석사_계,0,13507,15727.0,0.9073567749729764,6.339628952675977,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,320.0
정원외_입학자_석사_남,0,14306,15727.0,0.3915559229350798,3.362180895348854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,229.0
정원외_입학자_석사_여,0,14009,15727.0,0.5158008520378966,3.6261080743020355,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,179.0
정원외_입학자_박사_계,0,13943,15727.0,0.48127424174985695,3.2901975128279943,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,158.0
정원외_입학자_박사_남,0,14484,15727.0,0.2415591021809627,1.729466424175358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,83.0
정원외_입학자_박사_여,0,14520,15727.0,0.23971513956889426,1.7389441819250635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,93.0
재적생_전체_계,0,2138,15727.0,74.68563616710117,137.43364203754504,0.0,0.0,0.0,4.0,22.0,95.0,296.0,625.2199999999993,2777.0
재적생_전체_남,0,3263,15727.0,40.82107204171171,87.9891568709915,0.0,0.0,0.0,1.0,9.0,44.0,174.0,402.0,1952.0
재적생_전체_여,0,3473,15727.0,33.86456412538946,69.42653651982937,0.0,0.0,0.0,1.0,8.0,38.0,146.0,306.7399999999998,1383.0
재학생_전체_계,0,2767,15727.0,58.4183251732689,103.99348096072022,0.0,0.0,0.0,3.0,18.0,77.0,226.0,473.47999999999956,1950.0
재학생_전체_남,0,3892,15727.0,28.9299294207414,60.552318598799786,0.0,0.0,0.0,1.0,7.0,33.0,120.0,283.7399999999998,1342.0
재학생_전체_여,0,3883,15727.0,29.488395752527502,59.421909674564056,0.0,0.0,0.0,1.0,7.0,33.0,128.0,267.7399999999998,1294.0
휴학생_전체_계,0,5346,15727.0,15.72283334393082,36.6340409841596,0.0,0.0,0.0,0.0,2.0,15.0,71.0,166.47999999999956,827.0
