column,raw_dtype,est_type,non_null,null_count,null_pct,unique_count,zero_count_if_numeric,min_if_numeric,max_if_numeric
입결_프록시,float64,text_or_high_cardinality_category,3737,6505,63.513,1671,0,0.1,100.0
전체취업률,float64,text_or_high_cardinality_category,7477,2765,26.9967,1135,78,0.0,100.0
건보가입취업률,float64,text_or_high_cardinality_category,7477,2765,26.9967,1196,136,0.0,100.0
전체진학률,float64,text_or_high_cardinality_category,7587,2655,25.9227,971,3098,0.0,100.0
전문대학진학률,float64,categorical_low_cardinality,7587,2655,25.9227,120,7339,0.0,50.0
대학진학률,float64,categorical_low_cardinality,7587,2655,25.9227,182,7077,0.0,25.0
대학원진학률,float64,text_or_high_cardinality_category,7587,2655,25.9227,946,3343,0.0,100.0
국내진학률,float64,text_or_high_cardinality_category,7587,2655,25.9227,965,3119,0.0,100.0
국외진학률,float64,categorical_low_cardinality,7587,2655,25.9227,107,7406,0.0,18.181818181818183
기준연도,int64,numeric_low_cardinality,10242,0,0.0,1,0,2024.0,2024.0
학교명,str,identifier_or_key,10242,0,0.0,227,,,
학과_전공,str,identifier_or_key,10242,0,0.0,4946,,,
학과_계열,str,identifier_or_key,10242,0,0.0,4195,,,
A비율,float64,numeric_rate_or_ratio,10242,0,0.0,9236,319,0.0,100.0
CD비율,float64,numeric_rate_or_ratio,10242,0,0.0,9006,475,0.0,100.0
