outcome,grade_signal,cv_deviance,cv_brier,cv_mae,iv_deviance,iv_brier,iv_mae
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,0.526522324329058,0.01274304726826898,0.0703142164029005,0.0062974268347390835,0.0006600509772147524,0.0019619549481508735
GRAD_SCHOOL_PROGRESSION,RAW_A,0.5265223244004156,0.01274304727339104,0.07031421641604911,0.0062974267633814415,0.0006600509720926934,0.00196195493500225
HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,1.357162332221108,0.02397943816041543,0.12047501424868241,0.00047132884298264346,0.00012853027875678463,0.0003518937693468893
HEALTH_EMPLOYMENT,RAW_A,1.357162332206345,0.02397943815640462,0.1204750142469121,0.00047132885774567865,0.00012853028276759159,0.0003518937711172093
