model_id,outcome,outcome_pct,sample_id,grade_signal,grade_signal_column,model_family,N,school_n,beta,cluster_se,ci_low,ci_high,p_value,odds_ratio_10pp,ame_10pp,cv_deviance,cv_brier,cv_mae,iv_deviance,iv_brier,iv_mae,test_deviance,test_brier,test_mae,converged,rank,status,warning,p_holm
HEALTH_EMPLOYMENT_RAW_A_fractional_logit,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,fractional_logit,4951,158,0.02555270289748805,0.012006233000670505,0.002020918626177596,0.0490844871687985,0.033313341644670834,1.0258819717981216,0.006163000979968203,1.3509017693040306,0.022484075359473953,0.11623034717697274,0.0002254458531236736,5.804746794169785e-05,0.0001575251123681065,1.3620971460407574,0.0272298790222834,0.12597049584887743,True,37,READY,,0.07281489706281685
HEALTH_EMPLOYMENT_RAW_A_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,ols_cluster,4951,158,0.006194517267325494,0.002910160887864444,0.000490706737894077,0.01189832779675691,0.033288825348364574,,0.006194517267325494,1.3510304864762266,0.022508919602824442,0.11630339658474466,9.672868092769349e-05,3.3203224591209224e-05,8.447570459618747e-05,1.362243973729836,0.027251385429998,0.12591666280752253,True,37,READY,,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_FULL_fractional_logit,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,fractional_logit,4951,158,0.026359475255016876,0.011700750696513527,0.003426425297768411,0.04929252521226534,0.024271632354272283,1.026709958968726,0.0063572157249120135,1.3508651040579793,0.022474482163499464,0.11621472590256404,0.00026211109917495534,6.764066391618667e-05,0.00017314638677680405,1.3606927150118706,0.02689945397299588,0.12534572882939174,True,37,READY,,0.07281489706281685
HEALTH_EMPLOYMENT_OOF_RESIDUAL_FULL_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,ols_cluster,4951,158,0.006380786181176572,0.002836267454765621,0.0008218041193128684,0.011939768243040275,0.02446720521247182,,0.006380786181176572,1.3509988157952655,0.02250020397491982,0.11629139981798375,0.00012839936188879797,4.191885249583277e-05,9.647247135709247e-05,1.3607741858440165,0.026910411901693704,0.12529373483418768,True,37,READY,,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_NOPOLICY_fractional_logit,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_NOPOLICY,grade_residual_structure_nopolicy_oof_10pp,fractional_logit,4951,158,0.025706722904651112,0.011748651102565698,0.002679789876695548,0.04873365593260667,0.028665421951250183,1.0260399903154604,0.006200008849590001,1.3508828983741994,0.02247906256594419,0.11621858587381424,0.0002443167829548898,6.306026147146274e-05,0.00016928641552660384,1.3606613328347423,0.026891915080388393,0.12534077609596922,True,37,READY,,0.07281489706281685
HEALTH_EMPLOYMENT_OOF_RESIDUAL_NOPOLICY_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_NOPOLICY,grade_residual_structure_nopolicy_oof_10pp,ols_cluster,4951,158,0.006222799990887535,0.0028475544622847686,0.0006416958007930693,0.011803904180982,0.028865848094259024,,0.006222799990887535,1.3510150717770424,0.022504499645979035,0.11629459185373454,0.0001121433801118954,3.762318143661625e-05,9.328043560630217e-05,1.3607421492502776,0.026902601786135474,0.12528769511040455,True,37,READY,,
GRAD_SCHOOL_PROGRESSION_RAW_A_fractional_logit,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,fractional_logit,5013,165,0.2286804609278702,0.03324951340617185,0.16351261214829169,0.2938483097074487,6.082296645380686e-12,1.2569403332850995,0.017259857642844757,0.5001392881715232,0.010042316759637132,0.06409237257921635,0.00539379988387978,0.000666343542331119,0.0020484844621114356,0.5669427503624015,0.027117992315462247,0.1013462924162281,True,39,READY,,3.041148322690343e-11
GRAD_SCHOOL_PROGRESSION_RAW_A_ols_cluster,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,ols_cluster,5013,165,0.016772373741417938,0.0034767289895392722,0.00995811013791463,0.023586637344921245,1.40578941352377e-06,,0.016772373741417938,0.5448373282130946,0.010666153867291563,0.06712072381993497,-0.03930424015769163,4.250643467668819e-05,-0.0009798667786071885,0.6155979894728334,0.031225653653480956,0.11054990958780606,True,39,READY,,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_FULL_fractional_logit,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,fractional_logit,5013,165,0.22027225999555963,0.031811789527276244,0.15792229823832973,0.28262222175278956,4.3834226509878865e-12,1.2464160336197427,0.016577262111450122,0.5001222481614913,0.010040097569448172,0.06403748950175862,0.0054108398939116675,0.0006685627325200786,0.002103367539569162,0.5421772511722964,0.02141633710570026,0.09324012914136537,True,39,READY,,2.630053590592732e-11
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_FULL_ols_cluster,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,ols_cluster,5013,165,0.01609496576590183,0.0032797388800363614,0.00966679568233483,0.022523135849468832,9.22952438789251e-07,,0.01609496576590183,0.54471026130707,0.010662926260455246,0.06710128193086495,-0.03917717325166703,4.573404151300524e-05,-0.0009604248895371675,0.6070579426444467,0.02911918354524281,0.10812267556318773,True,39,READY,,
