model_id,outcome,outcome_pct,sample_id,grade_signal,grade_signal_column,model_family,N,school_n,beta,cluster_se,ci_low,ci_high,p_value,odds_ratio_10pp,ame_10pp,cv_deviance,cv_brier,cv_mae,iv_deviance,iv_brier,iv_mae,test_deviance,test_brier,test_mae,converged,rank,status,warning,p_holm
HEALTH_EMPLOYMENT_RAW_A_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,ols_cluster,4951,158,0.006194517267325494,0.002910160887864444,0.000490706737894077,0.01189832779675691,0.033288825348364574,,0.006194517267325494,1.3510304864762266,0.022508919602824442,0.11630339658474466,9.672868092769349e-05,3.3203224591209224e-05,8.447570459618747e-05,1.362243973729836,0.027251385429998,0.12591666280752253,True,37,READY,,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_FULL_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,ols_cluster,4951,158,0.006380786181176572,0.002836267454765621,0.0008218041193128684,0.011939768243040275,0.02446720521247182,,0.006380786181176572,1.3509988157952655,0.02250020397491982,0.11629139981798375,0.00012839936188879797,4.191885249583277e-05,9.647247135709247e-05,1.3607741858440165,0.026910411901693704,0.12529373483418768,True,37,READY,,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_NOPOLICY_ols_cluster,HEALTH_EMPLOYMENT,health_employment_rate_pct,STRUCTURE,OOF_RESIDUAL_NOPOLICY,grade_residual_structure_nopolicy_oof_10pp,ols_cluster,4951,158,0.006222799990887535,0.0028475544622847686,0.0006416958007930693,0.011803904180982,0.028865848094259024,,0.006222799990887535,1.3510150717770424,0.022504499645979035,0.11629459185373454,0.0001121433801118954,3.762318143661625e-05,9.328043560630217e-05,1.3607421492502776,0.026902601786135474,0.12528769511040455,True,37,READY,,
GRAD_SCHOOL_PROGRESSION_RAW_A_ols_cluster,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,RAW_A,a_rate_10pp,ols_cluster,5013,165,0.016772373741417938,0.0034767289895392722,0.00995811013791463,0.023586637344921245,1.40578941352377e-06,,0.016772373741417938,0.5448373282130946,0.010666153867291563,0.06712072381993497,-0.03930424015769163,4.250643467668819e-05,-0.0009798667786071885,0.6155979894728334,0.031225653653480956,0.11054990958780606,True,39,READY,,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_FULL_ols_cluster,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,OOF_RESIDUAL_FULL,grade_residual_structure_full_oof_10pp,ols_cluster,5013,165,0.01609496576590183,0.0032797388800363614,0.00966679568233483,0.022523135849468832,9.22952438789251e-07,,0.01609496576590183,0.54471026130707,0.010662926260455246,0.06710128193086495,-0.03917717325166703,4.573404151300524e-05,-0.0009604248895371675,0.6070579426444467,0.02911918354524281,0.10812267556318773,True,39,READY,,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_NOPOLICY_ols_cluster,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,STRUCTURE,OOF_RESIDUAL_NOPOLICY,grade_residual_structure_nopolicy_oof_10pp,ols_cluster,5013,165,0.016048688844354397,0.003327658357732131,0.009526598310345717,0.022570779378363076,1.4154449316948388e-06,,0.016048688844354397,0.5448317358599136,0.010673339571131731,0.06713858006961473,-0.039298647804510645,3.532073083651992e-05,-0.0009977230282869481,0.6070942129883117,0.029137785489350646,0.10815286297786007,True,39,READY,,
