outcome,grade_signal,model_family,ame_10pp
HEALTH_EMPLOYMENT,RAW_A,fractional_logit,0.006163000979968203
HEALTH_EMPLOYMENT,RAW_A,ols_cluster,0.006194517267325494
HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,fractional_logit,0.0063572157249120135
HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,ols_cluster,0.006380786181176572
HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,fractional_logit,0.006200008849590001
HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,ols_cluster,0.006222799990887535
GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,0.017259857642844757
GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,0.016772373741417938
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,fractional_logit,0.016577262111450122
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,ols_cluster,0.01609496576590183
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,fractional_logit,0.016645201407840357
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,ols_cluster,0.016048688844354397
