outcome,grade_signal,model_family,controls
HEALTH_EMPLOYMENT,RAW_A,fractional_logit,S0+B_CORE+B_SCALE+Policy
HEALTH_EMPLOYMENT,RAW_A,ols_cluster,S0+B_CORE+B_SCALE+Policy
HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,fractional_logit,S0+B_CORE+B_SCALE+Policy
HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,ols_cluster,S0+B_CORE+B_SCALE+Policy
HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,fractional_logit,S0+B_CORE+B_SCALE+Policy
HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,ols_cluster,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,fractional_logit,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,ols_cluster,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,fractional_logit,S0+B_CORE+B_SCALE+Policy
GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,ols_cluster,S0+B_CORE+B_SCALE+Policy
