dataset,column_order,column,dtype,non_null_n,missing_n,unique_n
P2_G0_final_department_cleaned,1,연도,Int64,34969,0,1
P2_G0_final_department_cleaned,2,학제,string,34969,0,18
P2_G0_final_department_cleaned,3,대학원구분,string,12575,22394,2
P2_G0_final_department_cleaned,4,학교명,string,34969,0,1692
P2_G0_final_department_cleaned,5,학교상태,string,34969,0,4
P2_G0_final_department_cleaned,6,본분교,string,34969,0,5
P2_G0_final_department_cleaned,7,시도,string,34969,0,17
P2_G0_final_department_cleaned,8,시군구,string,34969,0,163
P2_G0_final_department_cleaned,9,설립,string,34969,0,7
P2_G0_final_department_cleaned,10,주야구분,string,34969,0,11
P2_G0_final_department_cleaned,11,주소,string,34969,0,650
P2_G0_final_department_cleaned,12,우편번호,string,34969,0,506
P2_G0_final_department_cleaned,13,전화번호,string,33739,1230,1065
P2_G0_final_department_cleaned,14,팩스번호,string,30196,4773,900
P2_G0_final_department_cleaned,15,홈페이지,string,33962,1007,1232
P2_G0_final_department_cleaned,16,학위과정,string,34969,0,3
P2_G0_final_department_cleaned,17,대계열,string,34969,0,7
P2_G0_final_department_cleaned,18,중계열,string,34969,0,36
P2_G0_final_department_cleaned,19,소계열,string,34969,0,188
P2_G0_final_department_cleaned,20,학과코드,string,34969,0,16963
P2_G0_final_department_cleaned,21,학과명,string,34969,0,15043
P2_G0_final_department_cleaned,22,학과수_전체,int64,34969,0,9
P2_G0_final_department_cleaned,23,학과수_석사,int64,34969,0,4
P2_G0_final_department_cleaned,24,학과수_박사,int64,34969,0,4
P2_G0_final_department_cleaned,25,입학정원_학부_계,int64,34969,0,331
P2_G0_final_department_cleaned,26,정원내_입학정원_학부,int64,34969,0,327
P2_G0_final_department_cleaned,27,정원외_입학정원_학부,int64,34969,0,61
P2_G0_final_department_cleaned,28,모집인원_학부_계,int64,34969,0,389
P2_G0_final_department_cleaned,29,정원내_모집인원_학부,int64,34969,0,323
P2_G0_final_department_cleaned,30,정원외_모집정원_학부,int64,34969,0,198
P2_G0_final_department_cleaned,31,지원자_전체_계,int64,34969,0,1572
P2_G0_final_department_cleaned,32,지원자_전체_남,int64,34969,0,1008
P2_G0_final_department_cleaned,33,지원자_전체_여,int64,34969,0,1101
P2_G0_final_department_cleaned,34,지원자_석사_계,int64,34969,0,307
P2_G0_final_department_cleaned,35,지원자_석사_남,int64,34969,0,195
P2_G0_final_department_cleaned,36,지원자_석사_여,int64,34969,0,223
P2_G0_final_department_cleaned,37,지원자_박사_계,int64,34969,0,127
P2_G0_final_department_cleaned,38,지원자_박사_남,int64,34969,0,88
P2_G0_final_department_cleaned,39,지원자_박사_여,int64,34969,0,76
P2_G0_final_department_cleaned,40,입학자_전체_계,int64,34969,0,355
P2_G0_final_department_cleaned,41,입학자_전체_남,int64,34969,0,233
P2_G0_final_department_cleaned,42,입학자_전체_여,int64,34969,0,259
P2_G0_final_department_cleaned,43,입학자_석사_계,int64,34969,0,167
P2_G0_final_department_cleaned,44,입학자_석사_남,int64,34969,0,102
P2_G0_final_department_cleaned,45,입학자_석사_여,int64,34969,0,106
P2_G0_final_department_cleaned,46,입학자_박사_계,int64,34969,0,87
