학교명,search_query,candidate_code,candidate_label,candidate_rank
가야대학교(김해),가야대학교,0002748,가야대학교(김해)[본교],1
가톨릭관동대학교,가톨릭관동대학교,0000072,가톨릭관동대학교[본교],1
가톨릭꽃동네대학교,가톨릭꽃동네대학교,0000215,가톨릭꽃동네대학교[본교],1
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000046,가톨릭대학교[본교],1
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000048,가톨릭대학교[제2캠퍼스],2
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000049,가톨릭대학교[제3캠퍼스],3
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000075,광주가톨릭대학교[본교],4
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000088,대구가톨릭대학교[본교],5
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000094,대전가톨릭대학교[본교],6
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000221,목포가톨릭대학교[본교],7
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000114,부산가톨릭대학교[본교],8
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000139,수원가톨릭대학교[본교],9
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000168,인천가톨릭대학교[본교],10
가톨릭대학교_제2캠퍼스,가톨릭대학교,0000167,인천가톨릭대학교[제2캠퍼스],11
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000046,가톨릭대학교[본교],1
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000048,가톨릭대학교[제2캠퍼스],2
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000049,가톨릭대학교[제3캠퍼스],3
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000075,광주가톨릭대학교[본교],4
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000088,대구가톨릭대학교[본교],5
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000094,대전가톨릭대학교[본교],6
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000221,목포가톨릭대학교[본교],7
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000114,부산가톨릭대학교[본교],8
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000139,수원가톨릭대학교[본교],9
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000168,인천가톨릭대학교[본교],10
가톨릭대학교_제3캠퍼스,가톨릭대학교,0000167,인천가톨릭대학교[제2캠퍼스],11
감리교신학대학교,감리교신학대학교,0000050,감리교신학대학교[본교],1
강남대학교,강남대학교,0000051,강남대학교[본교],1
강서대학교,강서대학교,0000079,강서대학교[본교],1
강원대학교_제2캠퍼스,강원대학교,0000003,강원대학교[본교],1
강원대학교_제2캠퍼스,강원대학교,0000004,강원대학교[제2캠퍼스],2
건국대학교(글로컬)_분교,건국대학교,0000053,건국대학교(글로컬)[분교],1
건국대학교(글로컬)_분교,건국대학교,0000052,건국대학교[본교],2
건양대학교,건양대학교,0000054,건양대학교[본교],1
건양대학교,건양대학교,0000055,건양대학교[제2캠퍼스],2
건양대학교_제2캠퍼스,건양대학교,0000054,건양대학교[본교],1
건양대학교_제2캠퍼스,건양대학교,0000055,건양대학교[제2캠퍼스],2
경기대학교_제2캠퍼스,경기대학교,0000056,경기대학교[본교],1
