학교명,search_query,candidate_count,decision,decision_note,chosen_adiga_code,chosen_adiga_label,manual_review_required
광주과학기술원,광주과학기술원,0,manual_review,검색 결과 없음,,,True
대구경북과학기술원,대구경북과학기술원,0,manual_review,검색 결과 없음,,,True
순복음총회신학교,순복음총회신학교,0,manual_review,검색 결과 없음,,,True
울산과학기술원,울산과학기술원,0,manual_review,검색 결과 없음,,,True
한국과학기술원,한국과학기술원,0,manual_review,검색 결과 없음,,,True
한국방송통신대학교,한국방송통신대학교,0,manual_review,검색 결과 없음,,,True
한국에너지공과대학교,한국에너지공과대학교,0,manual_review,검색 결과 없음,,,True
한국예술종합학교,한국예술종합학교,0,manual_review,검색 결과 없음,,,True
한국전통문화대학교,한국전통문화대학교,0,manual_review,검색 결과 없음,,,True
경남과학기술대학교(폐교),,0,excluded_closed_institution,"폐교 — ADIGA 결과 없음, 검색 스킵",,,True
국립강릉원주대학교(폐교),,0,excluded_closed_institution,"폐교 — ADIGA 결과 없음, 검색 스킵",,,True
국립강릉원주대학교_제2캠퍼스(폐교),,0,excluded_closed_institution,"폐교 — ADIGA 결과 없음, 검색 스킵",,,True
