raw_row_id,source_id,univ_id,admission_year,raw_table_index,raw_row_index,raw_section_title,raw_header_json,raw_cells_json,raw_admission_group,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_score_max,raw_percentile_70cut,raw_parse_warning
SRC_0002748_2025_0001_T6_R0,SRC_0002748_2025_0001,U0002748,2024,6,0,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""특수교육과"", ""21"", ""0.48"", """", ""627.5"", ""700"", ""5.75""]",다군,특수교육과,21,0.48,,627.5,700,,
SRC_0002748_2025_0001_T6_R1,SRC_0002748_2025_0001,U0002748,2024,6,1,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""방사선학과"", ""6"", ""4.5"", ""14"", ""645"", ""700"", ""3.75""]",다군,방사선학과,6,4.5,14,645,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T6_R2,SRC_0002748_2025_0001,U0002748,2024,6,2,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""간호학과"", ""45"", ""3.6"", ""95"", ""639"", ""700"", ""4""]",다군,간호학과,45,3.6,95,639,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T6_R3,SRC_0002748_2025_0001,U0002748,2024,6,3,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""믈리치료학과"", ""7"", ""5.14"", ""8"", ""648.5"", ""700"", ""4.75""]",다군,믈리치료학과,7,5.14,8,648.5,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T6_R4,SRC_0002748_2025_0001,U0002748,2024,6,4,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""스포츠재활복지학과"", ""23"", ""0.17"", """", ""577.5"", ""700"", ""-""]",다군,스포츠재활복지학과,23,0.17,,577.5,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T6_R5,SRC_0002748_2025_0001,U0002748,2024,6,5,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""사회복지상담학과"", ""29"", ""0.93"", """", ""577.5"", ""700"", ""-""]",다군,사회복지상담학과,29,0.93,,577.5,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T6_R6,SRC_0002748_2025_0001,U0002748,2024,6,6,,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 ( 등급 )""]","[""다군"", ""부동산금융재테크학과"", ""34"", ""0.06"", """", ""-"", ""700"", """"]",다군,부동산금융재테크학과,34,0.06,,-,700,,1개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T7_R0,SRC_0002748_2025_0001,U0002748,2024,7,0,,"[""모집단위"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )""]","["""", """", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별환산"", ""최종등록자 교과성적 학생부등급""]",,,,,,,,,2개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T7_R1,SRC_0002748_2025_0001,U0002748,2024,7,1,,"[""모집단위"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )""]","["""", """", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""최종등록자 환산점수"", ""총점 ( 학생부 )""]",,,,,,,,,5개 선두 컬럼 rowspan 승계
SRC_0002748_2025_0001_T7_R2,SRC_0002748_2025_0001,U0002748,2024,7,2,,"[""모집단위"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )"", ""정시다군 ( 학생부 )""]","["""", """", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""70% cut"", ""7 0% cut""]",,,,,,,,,5개 선두 컬럼 rowspan 승계
