raw_name_key,canonical_candidates,candidate_count
컴퓨터공학부컴퓨터공학전공,컴퓨터공 | 컴퓨터공컴퓨터공학,2
세무회계금융학과,세무・회계・금융 | 세무회계금융,2
정치국제,정치・국제 | 정치국제,2
정치국제학과,정치・국제 | 정치국제,2
정보통신전자공,정보통신・전자공 | 정보통신전자공,2
물리천문,물리·천문 | 물리천문,2
서비스디자인공,서비스・디자인공 | 서비스디자인공,2
서비스디자인공학과,서비스・디자인공 | 서비스디자인공,2
법경찰,법・경찰 | 법경찰,2
법경찰학과,법・경찰 | 법경찰,2
정보컴퓨터공컴퓨터공학,정보·컴퓨터공컴퓨터공학 | 정보컴퓨터공컴퓨터공학,2
정보컴퓨터공학부컴퓨터공학전공,정보·컴퓨터공컴퓨터공학 | 정보컴퓨터공컴퓨터공학,2
청소년교육상담,청소년교육・상담 | 청소년교육상담,2
청소년교육상담학과,청소년교육・상담 | 청소년교육상담,2
언어치료청각재활,언어치료·청각재활 | 언어치료청각재활,2
언어치료청각재활학과,언어치료·청각재활 | 언어치료청각재활,2
시각영상디자인과,시각・영상디자인과 | 시각영상디자인과,2
섬유패션디자인,섬유・패션디자인 | 섬유패션디자인,2
섬유패션디자인학과,섬유・패션디자인 | 섬유패션디자인,2
아동가족상담,아동・가족상담 | 아동가족상담,2
아동가족상담학과,아동・가족상담 | 아동가족상담,2
미생물분자생명과,미생물・분자생명과 | 미생물분자생명과,2
미생물분자생명과학과,미생물・분자생명과 | 미생물분자생명과,2
정치사회학부정치외교학전공,정치・사회정치외교학 | 정치사회,2
중국어문문화,중국어문·문화 | 중국어문・문화,2
중국어문문화학과,중국어문·문화 | 중국어문・문화,2
아동청소년,아동・청소년 | 아동청소년,2
아동청소년학과,아동・청소년 | 아동청소년,2
아동사회복지,아동・사회복지 | 아동사회복지,2
kculture,K-Culture | K-culture,2
kculture학과,K-Culture | K-culture,2
동화한국어문화,동화∙한국어문화 | 동화・한국어문화,2
ai컴퓨터공,AI・컴퓨터공 | AI컴퓨터공,2
ai컴퓨터공학과,AI・컴퓨터공 | AI컴퓨터공,2
반도체디스플레이,반도체・디스플레이 | 반도체디스플레이,2
반도체디스플레이학과,반도체・디스플레이 | 반도체디스플레이,2
호텔컨벤션경영,호텔・컨벤션경영 | 호텔컨벤션경영,2
호텔컨벤션경영학과,호텔・컨벤션경영 | 호텔컨벤션경영,2
k뷰티,K-뷰티 | K뷰티,2
건축인테리어디자인,건축・인테리어디자인 | 건축인테리어디자인,2
건축인테리어디자인학과,건축・인테리어디자인 | 건축인테리어디자인,2
방송영상콘텐츠,방송·영상콘텐츠 | 방송・영상콘텐츠,2
금융세무,금융・세무 | 금융세무,2
뇌인지과,뇌・인지과 | 뇌인지과,2
호텔컨벤션,호텔·컨벤션 | 호텔컨벤션,2
반도체신소재공,반도체・신소재공 | 반도체신소재공,2
반도체신소재공학과,반도체・신소재공 | 반도체신소재공,2
e비즈니스,e-비즈니스 | e비즈니스,2
e비즈니스학과,e-비즈니스 | e비즈니스,2
건축토목환경공,건축·토목·환경공 | 건축토목환경공,2
건축토목환경공학부,건축·토목·환경공 | 건축토목환경공,2
