school_uid,split_n,rows,split_values,leakage_flag
SCH_080166833214,1,10,train,False
SCH_08825e789819,1,24,train,False
SCH_0a0f2352484e,1,89,train,False
SCH_0a6c34a4bd7e,1,19,train,False
SCH_0a99c689284a,1,5,train,False
SCH_0d9869ded823,1,40,test,False
SCH_112e611fd671,1,66,train,False
SCH_11568cc95743,1,6,train,False
SCH_11d126dc8b6c,1,77,train,False
SCH_142ed7b6f7b8,1,12,train,False
SCH_15cbf59a6287,1,71,train,False
SCH_165830225e7c,1,94,train,False
SCH_193517d15ce2,1,217,train,False
SCH_1a904381ffad,1,98,val,False
SCH_1f0dbf8ca0ee,1,42,test,False
SCH_20dac01e599f,1,9,test,False
SCH_215dd5d7b724,1,158,val,False
SCH_2178d9389c0b,1,20,val,False
SCH_2262007d8cd8,1,48,train,False
SCH_238de31a70c5,1,7,train,False
SCH_24351ae0e51c,1,67,train,False
SCH_26a4acba3939,1,13,train,False
SCH_27d295400b39,1,80,train,False
SCH_2a9d10aec529,1,62,train,False
SCH_2b2d636286f0,1,75,test,False
SCH_2b63f9ad0078,1,86,train,False
SCH_2bae5a982f8a,1,22,train,False
SCH_2bbd7221f5f5,1,126,train,False
SCH_2f1dd9f5df84,1,31,val,False
SCH_2fddf92ebc74,1,6,train,False
SCH_31969f1e134f,1,28,train,False
SCH_3475d2320701,1,71,val,False
SCH_350aadd7b42e,1,12,val,False
SCH_35d77d3b6c8e,1,22,train,False
SCH_37cc3a321aa8,1,126,train,False
SCH_38a7fe8ddf6c,1,32,val,False
SCH_399b2a3af860,1,5,val,False
SCH_3a9f2002a350,1,64,val,False
SCH_3b977c481961,1,5,test,False
SCH_406e2951a18f,1,28,test,False
SCH_41fce6e94601,1,12,train,False
SCH_43abe0f3b5c0,1,3,train,False
SCH_4578df1eb182,1,13,train,False
SCH_45a0a9b1d6b5,1,1,train,False
SCH_46f14819b876,1,2,train,False
SCH_470c77611164,1,89,train,False
SCH_493e4d3f588e,1,5,train,False
SCH_49499dd2cd0b,1,130,train,False
SCH_4c7509a6907c,1,73,train,False
SCH_4d63e54767c6,1,1,train,False
SCH_4f3dc0901e76,1,120,train,False
SCH_4f65591a9e9d,1,76,train,False
SCH_4fcb5ca730cd,1,14,train,False
SCH_5006b4cb2fd4,1,78,train,False
SCH_514dc1eff29d,1,1,train,False
SCH_517472e0016a,1,9,val,False
SCH_51a7b678dcea,1,3,test,False
SCH_5455cd6d25fe,1,65,train,False
SCH_55457aeb7b89,1,54,train,False
SCH_55c52db9765e,1,43,train,False
SCH_5a2291e2913d,1,77,train,False
SCH_5d6eedf02da5,1,10,train,False
SCH_5ee1d0ecc427,1,5,train,False
SCH_5f064e6d8c50,1,12,train,False
SCH_65cc323b97e2,1,40,train,False
SCH_65e8bd521a40,1,25,train,False
SCH_660b002d3bb9,1,30,val,False
SCH_6a3a99a48782,1,57,train,False
SCH_6dcfa062fdf0,1,67,train,False
SCH_708f797d9c02,1,54,test,False
SCH_73ea02aeaa3e,1,14,train,False
SCH_73f8f76d428c,1,84,train,False
SCH_74086e4eae3f,1,99,train,False
SCH_74c22c88d3ac,1,20,train,False
SCH_7573460df9c1,1,56,test,False
SCH_76fe6236882c,1,33,train,False
SCH_7896f9dd5fce,1,41,train,False
SCH_7b0a75e6cfe5,1,122,val,False
SCH_7b175b7efa10,1,62,train,False
SCH_7bb9ae4f36c4,1,80,train,False
SCH_7c7da023e5f7,1,1,train,False
SCH_7d73e0278bba,1,12,val,False
SCH_7d9bb36723df,1,115,train,False
SCH_80bfdbf9dec7,1,39,train,False
SCH_81449b8bc19d,1,13,train,False
SCH_81665d02aae8,1,98,train,False
SCH_822e5c0ba179,1,103,train,False
SCH_8253c7faf164,1,54,train,False
SCH_842f899d2eb8,1,12,val,False
SCH_8444343be410,1,102,train,False
SCH_84786f2613b0,1,27,test,False
SCH_85206c6f8e40,1,128,train,False
SCH_854da99e21e4,1,138,train,False
SCH_863c64a05072,1,78,train,False
SCH_8792a35991bd,1,7,test,False
SCH_893fafa4d1ec,1,16,val,False
SCH_89ea5df237fb,1,72,test,False
SCH_8c0fe037a811,1,164,train,False
SCH_8c30e6ac4fbd,1,56,train,False
SCH_8cf2df39300d,1,109,train,False
SCH_8d565ec5e906,1,1,train,False
SCH_8e36aff4c8cd,1,52,test,False
SCH_8eaffeb1f469,1,104,train,False
SCH_8f2e356312a7,1,53,train,False
SCH_92c3fefdaf92,1,76,train,False
SCH_94ec1dd5b675,1,81,train,False
SCH_974bcc3d229d,1,31,train,False
SCH_9a2e18045dc2,1,79,val,False
SCH_9b07d5e5cea5,1,5,train,False
SCH_9b542fd13f8c,1,26,test,False
SCH_9ddd58d1e190,1,20,train,False
SCH_a062abe89d7f,1,92,train,False
SCH_a0c1c5f58d27,1,80,train,False
SCH_a10fc19c8426,1,104,train,False
SCH_a1748432a398,1,30,train,False
SCH_a1b6cde5051e,1,13,train,False
SCH_a1df1d1acdd7,1,127,train,False
SCH_a25c104d5945,1,27,train,False
SCH_a3e83fb32317,1,2,train,False
SCH_a70179c6531f,1,62,val,False
SCH_ab9f4dbc01f8,1,39,val,False
SCH_ad7734bfb732,1,2,val,False
SCH_ade07091689d,1,157,train,False
SCH_ae0579c61fd2,1,86,train,False
SCH_ae7d6447ea08,1,13,train,False
SCH_b3c5162386a0,1,24,test,False
SCH_b4c24dedeac1,1,30,train,False
SCH_b518403952c6,1,30,train,False
SCH_b602aec81b24,1,1,train,False
SCH_b87e76b8f78a,1,75,train,False
SCH_b8901e036949,1,30,test,False
SCH_b909076be38e,1,1,train,False
SCH_b95165ee3f1c,1,11,train,False
SCH_bc4c3907faea,1,2,train,False
SCH_bcc7b61d775b,1,19,train,False
SCH_bcfc477eeec3,1,113,train,False
SCH_bd24ab6964ce,1,137,train,False
SCH_bddec49f1888,1,8,train,False
SCH_bfb4ffe4d1d0,1,11,train,False
SCH_c00040e7413a,1,66,train,False
SCH_c235744d252d,1,47,train,False
SCH_c417cf41afe0,1,38,test,False
SCH_c4deb88e2c2a,1,64,test,False
SCH_c5a1533526c1,1,13,train,False
SCH_c61963963f37,1,11,test,False
SCH_c80253ebd31c,1,40,val,False
SCH_c82adbe73aeb,1,102,train,False
SCH_cba7fc3f2ea2,1,55,train,False
SCH_cda53f0ed06d,1,41,train,False
SCH_ceca21d22b99,1,62,train,False
SCH_d03fc6d40277,1,103,train,False
SCH_d0774c2b8283,1,52,train,False
SCH_d094cba6e6e0,1,141,train,False
SCH_d439accb1575,1,28,test,False
SCH_d49a078a4713,1,11,train,False
SCH_d4b90d7a1e57,1,18,train,False
SCH_d4dadcb61205,1,65,val,False
SCH_d4e36f66c72f,1,63,test,False
SCH_d605db23ebce,1,35,test,False
SCH_d7cf6b01676b,1,56,val,False
SCH_d8d3233deb6a,1,21,train,False
SCH_d9b848d6dac0,1,100,train,False
SCH_d9cc9b5ef13c,1,38,train,False
SCH_dd703f1e1d10,1,33,val,False
SCH_de0adc348612,1,73,train,False
SCH_dffcffc2a336,1,54,train,False
SCH_e46f0f22fdd7,1,80,train,False
SCH_e4fe3edfd86a,1,89,test,False
SCH_e5edbc74bc0b,1,6,train,False
SCH_e623714dcb5f,1,94,val,False
SCH_e665793836cb,1,49,train,False
SCH_e737ecda2ac3,1,10,train,False
SCH_ea94589fd8d8,1,14,train,False
SCH_eaaf89439c64,1,30,val,False
SCH_ead4aa8b8153,1,10,train,False
SCH_eb90ff65b86d,1,41,val,False
SCH_ecb0409798f9,1,79,train,False
SCH_ed1a93cb5155,1,41,train,False
SCH_eecea44f3c54,1,85,train,False
SCH_ef74b9791330,1,28,test,False
SCH_f035f77086f3,1,27,test,False
SCH_f0a7062f14b7,1,80,test,False
SCH_f11056a7ff4e,1,44,val,False
SCH_f1b78fc627f6,1,49,train,False
SCH_f20a031e8dce,1,144,train,False
SCH_f2b39b741d67,1,28,test,False
SCH_f38e74825865,1,47,train,False
SCH_f52ce678f2b3,1,65,train,False
SCH_f55d29b69bf5,1,10,test,False
SCH_f6cf771efddb,1,93,val,False
SCH_f759dc0a8ccd,1,59,train,False
SCH_f88bc2b7f75b,1,12,train,False
SCH_fa153e645e1e,1,32,train,False
SCH_fa66da814b2a,1,88,val,False
SCH_fc474c91d6f5,1,35,train,False
SCH_fc53ac39a5c3,1,107,test,False
SCH_fd343c02a3d4,1,35,train,False
SCH_fe14f3441845,1,41,test,False
SCH_ff31901b4f59,1,56,val,False
SCH_ff53ff346c39,1,53,train,False
