sample_id,actual_n,registry_n,actual_train_n,registry_train_n,actual_val_n,registry_val_n,actual_test_n,registry_test_n,status
GRADE_ALL,10099,10099,7417,7417,1504,1504,1178,1178,PASS
GRADE_SELECTIVITY,3707,3707,2760,2760,585,585,362,362,PASS
EMPLOYMENT_HEALTH,7389,7389,5428,5428,1121,1121,840,840,PASS
PROGRESSION_GRADSCHOOL,7498,7498,5499,5499,1141,1141,858,858,PASS
JOINT_EMP_PROG,7389,7389,5428,5428,1121,1121,840,840,PASS
