manifest,section,logical_name,path,declared_sha256,actual_sha256,status
local2_handoff_manifest,handoff_files,D06,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p3_2/goms_major_year_labor_baseline.parquet,75d8bc34a0bf092c3e2c4332fd213d4a01f5a86252b6f6b4ac6f29709b3202c3,75d8bc34a0bf092c3e2c4332fd213d4a01f5a86252b6f6b4ac6f29709b3202c3,PASS
local2_handoff_manifest,handoff_files,D07,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p3_2/goms_major_profile_recent.parquet,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,PASS
local2_handoff_manifest,handoff_files,D07_HANDOFF,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_major_profile_recent.parquet,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,PASS
local2_handoff_manifest,handoff_files,national,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p3_2/goms_national_year_benchmark.parquet,2bb79134d30ab77e33bd65b854deed2ca077a51e81eaa9b1cbef2a975b1f05d0,2bb79134d30ab77e33bd65b854deed2ca077a51e81eaa9b1cbef2a975b1f05d0,PASS
local2_handoff_manifest,handoff_files,topic_axis_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_topic_axis_registry.csv,1d60b4f5a324179ff17c5c070e6155d3cb0cf59199c8b4efee38cf4039f57d0d,1d60b4f5a324179ff17c5c070e6155d3cb0cf59199c8b4efee38cf4039f57d0d,PASS
local2_handoff_manifest,handoff_files,goms_column_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_column_registry.csv,c81793185fa785f8991f80e3cfcce510facf77ca47a7b1a1a151f6ec9468fe56,c81793185fa785f8991f80e3cfcce510facf77ca47a7b1a1a151f6ec9468fe56,PASS
local2_handoff_manifest,handoff_files,distribution_sum_check,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/qa/goms_distribution_sum_check.csv,d4a54eb25f682571b95357fc67ffe89d7a53d170c37d9687b97049d1aeedff22,d4a54eb25f682571b95357fc67ffe89d7a53d170c37d9687b97049d1aeedff22,PASS
local2_handoff_manifest,handoff_files,occupation_crosswalk_review,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/qa/goms_occupation_crosswalk_review.csv,1ca8fb9f705d77313a864c175465cda7da96bea20dacf41e065f7f3a21c60693,1ca8fb9f705d77313a864c175465cda7da96bea20dacf41e065f7f3a21c60693,PASS
local2_handoff_manifest,handoff_files,goms_run_manifest,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_run_manifest.json,e58cb64a06511c4a0aa4ced236beb44467172396802bc417a4ae1f5493f8a83d,e58cb64a06511c4a0aa4ced236beb44467172396802bc417a4ae1f5493f8a83d,PASS
local2_handoff_manifest,namespaced_logs,decision_log,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local2/decision_log.jsonl,89ac68eb64aed016d8a8b8117229182b0721943c109670747f7d048e441c9412,89ac68eb64aed016d8a8b8117229182b0721943c109670747f7d048e441c9412,PASS
local2_handoff_manifest,namespaced_logs,transformation_log,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local2/transformation_log.jsonl,5b22435231e6c4163e08dbd267558c57aafce73a07836e7bb35cfcca263ddc91,5b22435231e6c4163e08dbd267558c57aafce73a07836e7bb35cfcca263ddc91,PASS
local2_handoff_manifest,namespaced_logs,merge_audit,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local2/merge_audit.csv,57f1e4a2f41351b1af882f14a396390c44a337cc5411e90ded8c0bd01031b01e,57f1e4a2f41351b1af882f14a396390c44a337cc5411e90ded8c0bd01031b01e,PASS
local2_handoff_manifest,namespaced_logs,schema_deviation_report,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local2/schema_deviation_report.csv,fb8c89306095994f90c5f41fbdd5722cfaba8b8b83897912905b5edf00589715,fb8c89306095994f90c5f41fbdd5722cfaba8b8b83897912905b5edf00589715,PASS
