dataset,artifact_path,exists,size_bytes,sha256,modified_at,file_format,row_count,column_count,column_names,duplicate_full_rows,key_duplicate_count,inf_count,negative_count,status
department_model_column_registry,workbook/p2/p2_3/p4_handoff_candidate/local1/department_model_column_registry.csv,True,14689,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,2026-07-12T21:45:50,csv,198.0,6.0,dataset|column|dtype|p4_use|registry_reason|missing_n,0.0,,0.0,0.0,PASS
p4_feature_set_registry,workbook/p2/p2_3/p4_handoff_candidate/local1/p4_feature_set_registry.csv,True,588,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,2026-07-12T21:45:50,csv,4.0,7.0,feature_set_id|context_block|feature_count|all_null_count|all_null_columns|p4_use|exclusion_rule,0.0,,0.0,0.0,PASS
local1_p4_manifest,workbook/p2/p2_3/p4_handoff_candidate/local1/P4_HANDOFF_MANIFEST.json,True,67404,43efe85d7379b752d166efdc80c64886b758af7d50067e5e435883e53849d621,2026-07-12T21:45:51,json,,,,,,,,PASS
local2_handoff_manifest,workbook/p2/p2_3/shared_handoff/LOCAL2_HANDOFF_MANIFEST.json,True,4012,24609ead002563288af769758e91bf26b82f972e0be7e14c2b2ea607b707df6a,2026-07-12T21:38:43,json,,,,,,,,PASS
local2_handoff_manifest_lock,workbook/p2/p2_3/shared_handoff/LOCAL2_HANDOFF_MANIFEST.sha256,True,95,0ad88d0d9454c5d072375d247775f519653e5d90040a2bdbf75337f750729083,2026-07-12T21:38:43,sha256,,,,,,,,PASS
local1_decision_log,workbook/p2/p2_3/logs/local1/decision_log.jsonl,True,14395,641a257c3ec9335288ab209db1f2e4e1d4a9e07db16037db084239e182fe5a5c,2026-07-12T21:45:50,jsonl,17.0,13.0,timestamp|agent|decision_id|stage|question|observed_evidence|evidence_paths|alternatives_considered|chosen_action|rationale|confidence|affected_outputs|review_required,0.0,,0.0,0.0,PASS
local1_transformation_log,workbook/p2/p2_3/logs/local1/transformation_log.jsonl,True,7478,cae1b4bcfd77b192ebd36c38e116efcc4fbbada907c4482d8fb8bd66f1e244fa,2026-07-12T21:45:50,jsonl,4.0,23.0,timestamp|agent|step_id|function_or_cell|script_line_start|script_line_end|input_files|input_shape|input_hashes|grain_before|keys_before|operation|columns_read|columns_created|columns_dropped|row_count_before|row_count_after|duplicate_count_before|duplicate_count_after|null_delta|output_file|output_hash|qa_status,0.0,,0.0,0.0,PASS
local1_merge_audit,workbook/p2/p2_3/logs/local1/merge_audit.csv,True,765,0cf9601d2de588cc6939055dc72006629d95e17f8e4c1f483bb2fc8eb445ff25,2026-07-12T21:45:50,csv,3.0,17.0,merge_id|left_file|right_file|left_shape|right_shape|join_type|keys|validate_mode|left_key_duplicates|right_key_duplicates|row_count_before|row_count_after|matched_n|left_only_n|right_only_n|match_rate|status,0.0,,0.0,0.0,PASS
local1_schema_deviation_report,workbook/p2/p2_3/logs/local1/schema_deviation_report.csv,True,767,051a145e92aaf7aaf3e8464c22eed7ff699ca244b2d4d160a5a5aaa4cdb39abb,2026-07-12T21:45:50,csv,4.0,6.0,item|previous_contract|candidate_value|reason|p4_impact|status,0.0,,0.0,0.0,PASS
local2_decision_log,workbook/p2/p2_3/logs/local2/decision_log.jsonl,True,7423,89ac68eb64aed016d8a8b8117229182b0721943c109670747f7d048e441c9412,2026-07-12T21:38:43,jsonl,10.0,13.0,timestamp|agent|decision_id|stage|question|observed_evidence|evidence_paths|alternatives_considered|chosen_action|rationale|confidence|affected_outputs|review_required,0.0,,0.0,0.0,PASS
local2_transformation_log,workbook/p2/p2_3/logs/local2/transformation_log.jsonl,True,4855,5b22435231e6c4163e08dbd267558c57aafce73a07836e7bb35cfcca263ddc91,2026-07-12T21:38:43,jsonl,2.0,21.0,timestamp|agent|step_id|function_or_cell|input_files|input_shape|input_hashes|grain_before|keys_before|operation|columns_read|columns_created|columns_dropped|row_count_before|row_count_after|duplicate_count_before|duplicate_count_after|null_delta|output_file|output_hash|qa_status,0.0,,0.0,0.0,PASS
local2_merge_audit,workbook/p2/p2_3/logs/local2/merge_audit.csv,True,1268,57f1e4a2f41351b1af882f14a396390c44a337cc5411e90ded8c0bd01031b01e,2026-07-12T21:38:43,csv,7.0,17.0,merge_id|left_file|right_file|left_shape|right_shape|join_type|keys|validate_mode|left_key_duplicates|right_key_duplicates|row_count_before|row_count_after|matched_n|left_only_n|right_only_n|match_rate|status,0.0,,0.0,0.0,PASS
local2_schema_deviation_report,workbook/p2/p2_3/logs/local2/schema_deviation_report.csv,True,3394,fb8c89306095994f90c5f41fbdd5722cfaba8b8b83897912905b5edf00589715,2026-07-12T21:38:43,csv,74.0,5.0,dataset|column|expected_dtype|actual_dtype|status,0.0,,0.0,0.0,PASS
goms_distribution_sum_check,workbook/p2/p2_3/qa/goms_distribution_sum_check.csv,True,42645,d4a54eb25f682571b95357fc67ffe89d7a53d170c37d9687b97049d1aeedff22,2026-07-12T21:38:43,csv,572.0,9.0,topic_id|year|subgroup|share_sum_excluding_total|abs_error_from_100|strict_abs_error_from_100|strict_tolerance_pct|strict_status|status,0.0,,0.0,0.0,PASS
goms_occupation_crosswalk_review,workbook/p2/p2_3/qa/goms_occupation_crosswalk_review.csv,True,1298,1ca8fb9f705d77313a864c175465cda7da96bea20dacf41e065f7f3a21c60693,2026-07-12T21:38:43,csv,8.0,9.0,classification_version|raw_category|headline_group|broad_occupation_group|mapping_confidence|initial_review_required|review_required|review_pending|review_status,0.0,,0.0,0.0,PASS
