metric,value
elements,1186.0
universities,35.0
dept_outcome_exact_match_rows,1036.0
dept_outcome_exact_match_rate,0.8735244519392917
x_rank_bins_used,52.0
a_rate_5pct_bins_used,20.0
vector_display_rows,158.0
