selectivity_quartile,A,B,C이하,F_subrate,n,univ_n
Q1 낮음,42.15349719448336,36.48656113860779,21.359941666908846,1.474013387078136,298.0,16.0
Q2,42.653121068014606,37.261737297951,20.085141634034407,1.7628225595624558,296.0,22.0
Q3,43.25460648171199,35.62516018419499,21.12023333409303,2.264633731816224,296.0,27.0
Q4 높음,46.75774808712337,33.79962562192064,19.442626290955992,2.404388681882043,296.0,24.0
