university_label_id,univ_name_std,dept_n,a_mean,selectivity_mean,color
1,가천대학교,41,51.96358232649215,83.91609756097562,#d37722
2,가톨릭대학교,1,40.275082838293685,77.67,#d39522
3,강원대학교,43,43.46472468227633,75.35116279069767,#d3b322
4,건국대학교,48,43.700377010509975,87.57291666666667,#d3d222
5,경기대학교,26,44.55775254572245,78.84276674119532,#b5d322
6,경희대학교,69,48.75842886460384,88.57260869565218,#97d322
7,국민대학교,34,49.39793196919258,86.14735294117646,#79d322
8,단국대학교,28,34.48454732564236,83.58035714285714,#5bd322
9,명지대학교,3,43.3987926010763,78.77666666666666,#3cd322
10,부산대학교,81,41.07034277640934,79.24609198561579,#22d326
11,삼육대학교,16,36.46045529624556,84.315125,#22d345
12,상명대학교,11,47.50276491492409,77.1209090909091,#22d363
13,서강대학교,14,39.20648304332935,91.785,#22d381
14,서울과학기술대학교,1,41.141849529780565,83.27057142857143,#22d39f
15,서울대학교,57,65.95141237356066,94.42140350877192,#22d3bd
16,서울여자대학교,34,37.69342991870886,91.06794117647058,#22c9d3
17,성균관대학교,17,60.97444814387829,92.76470588235294,#22abd3
18,성신여자대학교,23,33.92059386486778,69.14739130434782,#228dd3
19,세종대학교,4,35.72031093748949,81.75375,#226fd3
20,수원대학교,15,30.51822357021971,83.19040742296919,#2251d3
21,숭실대학교,36,40.32125505017074,83.51416666666667,#2232d3
22,아주대학교,33,37.852018513929536,82.45878787878787,#3022d3
23,연세대학교,2,64.51813404371255,89.83500000000001,#4f22d3
24,이화여자대학교,13,68.12542975223053,89.92307692307692,#6d22d3
25,인천대학교,55,43.52333307193085,75.75272727272727,#8b22d3
26,인하대학교,53,45.28824412051658,81.62584905660377,#a922d3
27,전남대학교,74,45.48453012087296,69.05831511551874,#c722d3
28,전북대학교,74,53.70568556443111,69.25772200772201,#d322bf
29,중앙대학교,31,44.39537740703207,91.6416129032258,#d322a1
30,충남대학교,84,39.49681168902135,73.94809523809525,#d32283
31,충북대학교,76,35.69140694405771,70.79138345864662,#d32265
32,한국공학대학교,13,45.62520809724193,70.52989936302905,#d32247
33,한국외국어대학교,2,22.571009970381382,89.5,#d32228
34,한양대학교,48,50.32762064542766,92.91125,#d33a22
35,홍익대학교,26,39.53227099608444,86.93153846153845,#d35922
