univ_name_std,panel_order
충남대학교,1
부산대학교,2
충북대학교,3
전북대학교,4
전남대학교,5
경희대학교,6
서울대학교,7
인천대학교,8
인하대학교,9
건국대학교,10
한양대학교,11
강원대학교,12
