element_id,element_label,univ_name_std,dept_canonical_id,dept_name_std,dept_name_canonical,major_group,selectivity_pct_2024,selectivity_rank_overall,selectivity_rank_bin_52,x_selectivity_rank_norm_0_1,a_rate_pct,a_rate_5pct_bin_low,a_rate_5pct_bin_mid,a_rate_5pct_bin_label,y_a_rate_5pct_bin_norm_0_1,dept_graduates_n,dept_graduates_n_filled,dept_graduates_norm_0_1,bubble_size,dept_health_employment_rate_pct,dept_startup_freelance_rate_pct,dept_advancement_rate_pct,health_rate_for_z_pct,startup_freelance_rate_for_z_pct,advancement_rate_for_z_pct,z_outcome_score_raw_pct,z_outcome_norm_0_1,university_base_color,dept_shade_bin_5,bubble_color,x_within_mean,y_within_mean,z_within_mean,x_within_z,y_within_z,x_signed_sq_std,y_signed_sq_std,xy_vector_dot_signed_sq,xy_vector_angle_deg,xy_vector_magnitude,vector_quadrant,vector_display_flag,dept_outcome_merge_status,score_comparability_tier,mapping_type,mapping_cardinality,plot_x,plot_y,plot_size,z_highlight_flag,university_label_id,vector_dx_raw,vector_dy_raw,arrow_dx_short,arrow_dy_short,arrow_start_x,arrow_start_y,v17_vector_glyph_flag,v17_label_flag
가천대학교::DEP_000003::간호,가천대학교 / 간호,가천대학교,DEP_000003,간호,간호,간호,88.92,296,13,0.7647058823529411,63.72685020041801,60.0,62.5,60~65%,0.625,250.0,250.0,0.4689265536723164,271.84180790960454,57.2,6.800000000000001,0.8,57.2,6.800000000000001,0.8,64.8,0.6209230769230769,#d37722,1,#dcc6b2,0.585844093735055,0.5201219512195122,0.6669072839087291,1.2816109171587364,0.8642670488264135,1.6425265429804576,0.7469575316871182,1.226897572275258,24.45420408116088,1.8043943578218828,입결↑/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.7619637081355194,0.6252310231023103,124.98905001693224,False,1,0.17886178861788615,0.10487804878048779,0.029348678852433176,0.017208998054381273,0.7326150292830862,0.608022025047929,False,False
가천대학교::DEP_000009::건축,가천대학교 / 건축,가천대학교,DEP_000009,건축,건축,건축토목환경,83.87,484,22,0.5882352941176471,8.695652173913043,5.0,7.5,5~10%,0.075,3.0,3.0,0.0037664783427495,29.958568738229754,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,#d37722,2,#d6a980,0.585844093735055,0.5201219512195122,0.6669072839087291,0.0171338357908925,-3.668110149088848,0.0002935683289092,-13.455032065848613,-0.0039499712789918,-89.99874989326221,13.45503206905122,입결↑/A↓,True,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.5920569762858638,0.07192229222922292,22.126320796881515,True,1,0.002391200382592107,-0.4451219512195122,0.0004566144160076841,-0.08499877353982876,0.5916003618698562,0.15692106576905168,True,True
가천대학교::DEP_000001::경영,가천대학교 / 경영,가천대학교,DEP_000001,경영,경영,경영경제,82.3,560,25,0.5294117647058824,45.66866071411706,45.0,47.5,45~50%,0.475,532.0,532.0,1.0,548.0,34.3984962406015,6.015037593984962,0.5639097744360901,34.3984962406015,6.015037593984962,0.5639097744360901,40.97744360902256,0.3643724696356276,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.4043585246650557,-0.3718358233322945,-0.1635058164693004,-0.1382618795132053,0.0226066214963866,-139.781861345607,0.2141272970590547,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.5362731508444962,0.47398169816981695,177.0,False,1,-0.05643232902917261,-0.045121951219512235,-0.020361954948555902,-0.016280936011832642,0.5566351057930521,0.4902626341816496,False,False
가천대학교::DEP_000013::경제,가천대학교 / 경제,가천대학교,DEP_000013,경제,경제,경영경제,82.15,573,26,0.5098039215686274,51.83840254084491,50.0,52.5,50~55%,0.525,86.0,86.0,0.160075329566855,111.2391713747646,39.53488372093023,2.3255813953488373,1.162790697674419,39.53488372093023,2.3255813953488373,1.162790697674419,43.02325581395348,0.3864042933810375,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.544855978150372,0.040198467387275,-0.2968680369261987,0.0016159167802858,-0.0004797140423995,179.6881297894525,0.2968724347854742,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.5052807692533959,0.5262235223522352,78.01553489488384,False,1,-0.07604017216642756,0.004878048780487809,-0.026430033677485053,0.0016955115944047028,0.531710802930881,0.5245280107578305,False,False
가천대학교::DEP_000022::경찰행정,가천대학교 / 경찰행정,가천대학교,DEP_000022,경찰행정,경찰행정,법행정경찰소방,83.7,491,22,0.5882352941176471,55.94388897810157,55.0,57.5,55~60%,0.575,,61.0,0.1129943502824858,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,0.0171338357908925,0.4522327581068438,0.0002935683289092,0.2045144675049231,6.003897046318944e-05,89.91775537986237,0.2045146782047342,입결↑/A↑,False,missing_dept_outcome,Tier B,alias_1to1,one_to_one,0.5920275733455699,0.5789609960996099,67.46414324985716,False,1,0.002391200382592107,0.05487804878048774,0.001132806327574439,0.02599790521783285,0.5908947670179955,0.5529630908817771,False,False
가천대학교::DEP_000059::관광경영,가천대학교 / 관광경영,가천대학교,DEP_000059,관광경영,관광경영,경영경제,81.5,595,27,0.4901960784313726,44.81894198245222,40.0,42.5,40~45%,0.425,92.0,92.0,0.1713747645951036,117.11487758945388,45.65217391304348,3.260869565217391,0.0,45.65217391304348,3.260869565217391,0.0,48.91304347826087,0.4498327759197323,#d37722,5,#a65407,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.6853534316356876,-0.7838701140518637,-0.4697093262548131,-0.6144523557036817,0.2886140020132591,-127.39558778091548,0.7734200337465758,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.49676063488701816,0.4232268226822682,80.30576817591393,False,1,-0.09564801530368239,-0.09512195121951222,-0.02046833258795857,-0.020355756758724818,0.5172289674749767,0.443582579440993,False,False
가천대학교::DEP_004221::금융・빅데이터,가천대학교 / 금융・빅데이터,가천대학교,DEP_004221,금융・빅데이터,금융・빅데이터,경영경제,83.6,498,22,0.5882352941176471,34.705882352941174,30.0,32.5,30~35%,0.325,,61.0,0.1129943502824858,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,0.0171338357908925,-1.607938695491002,0.0002935683289092,-2.585466848457305,-0.0007590111821519,-89.99349431759957,2.5854668651239976,입결↑/A↓,False,missing_dept_outcome,Tier B,alias_1to1,one_to_one,0.5880189724854838,0.3268679867986799,67.46414324985716,False,1,0.002391200382592107,-0.1951219512195122,0.00046476086560188237,-0.037924486633112875,0.587554211619882,0.3647924734317928,False,False
가천대학교::DEP_004293::도시계획・조경,가천대학교 / 도시계획・조경,가천대학교,DEP_004293,도시계획・조경,도시계획・조경,건축토목환경,82.77,537,24,0.5490196078431373,20.0,20.0,22.5,20~25%,0.225,,61.0,0.1129943502824858,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.2638610711797394,-2.432007276930141,-0.0696226648841195,-5.91465939504116,0.4117943489646596,-90.6744091858906,5.915069152158259,입결↓/A↓,True,missing_dept_outcome,Tier B,alias_1to1,one_to_one,0.5493367395563086,0.22521662166216622,67.46414324985716,False,1,-0.03682448589191767,-0.29512195121951224,-0.0067573572958660325,-0.05415539204258361,0.5560940968521746,0.27937201370474984,False,False
가천대학교::DEP_000032::물리,가천대학교 / 물리,가천대학교,DEP_000032,물리,물리,기타,82.12,575,26,0.5098039215686274,53.1492615182043,50.0,52.5,50~55%,0.525,26.0,26.0,0.0470809792843691,52.48210922787194,26.923076923076923,7.6923076923076925,26.923076923076923,26.923076923076923,7.6923076923076925,26.923076923076923,61.53846153846153,0.5857988165680473,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.544855978150372,0.040198467387275,-0.2968680369261987,0.0016159167802858,-0.0004797140423995,179.6881297894525,0.2968724347854742,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.5070603472111916,0.530965196519652,47.80195051972656,False,1,-0.07604017216642756,0.004878048780487809,-0.026430033677485053,0.0016955115944047028,0.5334903808886767,0.5292696849252473,False,False
가천대학교::DEP_000020::물리치료,가천대학교 / 물리치료,가천대학교,DEP_000020,물리치료,물리치료,보건의료,86.4,377,17,0.6862745098039216,59.02919600063317,55.0,57.5,55~60%,0.575,48.0,48.0,0.0885122410546139,74.02636534839925,70.83333333333334,8.333333333333332,2.083333333333333,70.83333333333334,8.333333333333332,2.083333333333333,81.25,0.7980769230769231,#d37722,1,#dcc6b2,0.585844093735055,0.5201219512195122,0.6669072839087291,0.7196211032174726,0.4522327581068438,0.5178545321959324,0.2045144675049231,0.1059087438970621,21.550375970949005,0.5567759728424801,입결↑/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.6911448968426255,0.5736228622862286,61.08916135677878,True,1,0.1004304160688666,0.05487804878048774,0.024381354997871398,0.013322668980979708,0.6667635418447541,0.5603001933052489,False,False
