element_id,element_label,univ_name_std,dept_canonical_id,dept_name_std,dept_name_canonical,major_group,selectivity_pct_2024,selectivity_rank_overall,selectivity_rank_bin_52,x_selectivity_rank_norm_0_1,a_rate_pct,a_rate_5pct_bin_low,a_rate_5pct_bin_mid,a_rate_5pct_bin_label,y_a_rate_5pct_bin_norm_0_1,dept_graduates_n,dept_graduates_n_filled,dept_graduates_norm_0_1,bubble_size,dept_health_employment_rate_pct,dept_startup_freelance_rate_pct,dept_advancement_rate_pct,health_rate_for_z_pct,startup_freelance_rate_for_z_pct,advancement_rate_for_z_pct,z_outcome_score_raw_pct,z_outcome_norm_0_1,university_base_color,dept_shade_bin_5,bubble_color,x_within_mean,y_within_mean,z_within_mean,x_within_z,y_within_z,x_signed_sq_std,y_signed_sq_std,xy_vector_dot_signed_sq,xy_vector_angle_deg,xy_vector_magnitude,vector_quadrant,vector_display_flag,dept_outcome_merge_status,score_comparability_tier,mapping_type,mapping_cardinality
가천대학교::DEP_000003::간호,가천대학교 / 간호,가천대학교,DEP_000003,간호,간호,간호,88.92,296,13,0.7647058823529411,63.72685020041801,60.0,62.5,60~65%,0.625,250.0,250.0,0.4689265536723164,271.84180790960454,57.199999999999996,6.800000000000001,0.8,57.199999999999996,6.800000000000001,0.8,64.8,0.6209230769230769,#d37722,1,#dcc6b2,0.585844093735055,0.5201219512195122,0.6669072839087291,1.2816109171587364,0.8642670488264135,1.6425265429804576,0.7469575316871182,1.226897572275258,24.45420408116088,1.8043943578218828,입결↑/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000009::건축,가천대학교 / 건축,가천대학교,DEP_000009,건축,건축,건축토목환경,83.87,484,22,0.5882352941176471,8.695652173913043,5.0,7.5,5~10%,0.075,3.0,3.0,0.003766478342749529,29.958568738229754,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,#d37722,2,#d6a980,0.585844093735055,0.5201219512195122,0.6669072839087291,0.01713383579089253,-3.6681101490888484,0.0002935683289092698,-13.455032065848613,-0.0039499712789918175,-89.99874989326221,13.455032069051219,입결↑/A↓,True,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000001::경영,가천대학교 / 경영,가천대학교,DEP_000001,경영,경영,경영경제,82.3,560,25,0.5294117647058824,45.66866071411706,45.0,47.5,45~50%,0.475,532.0,532.0,1.0,548.0,34.3984962406015,6.015037593984962,0.5639097744360901,34.3984962406015,6.015037593984962,0.5639097744360901,40.97744360902256,0.3643724696356276,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.40435852466505573,-0.37183582333229453,-0.16350581646930049,-0.13826187951320534,0.02260662149638669,-139.781861345607,0.21412729705905476,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000013::경제,가천대학교 / 경제,가천대학교,DEP_000013,경제,경제,경영경제,82.15,573,26,0.5098039215686274,51.83840254084491,50.0,52.5,50~55%,0.525,86.0,86.0,0.160075329566855,111.2391713747646,39.53488372093023,2.3255813953488373,1.1627906976744187,39.53488372093023,2.3255813953488373,1.1627906976744187,43.02325581395348,0.38640429338103754,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.544855978150372,0.04019846738727509,-0.2968680369261987,0.0016159167802858188,-0.0004797140423995545,179.6881297894525,0.29687243478547426,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000022::경찰행정,가천대학교 / 경찰행정,가천대학교,DEP_000022,경찰행정,경찰행정,법행정경찰소방,83.7,491,22,0.5882352941176471,55.94388897810157,55.0,57.5,55~60%,0.575,,61.0,0.11299435028248588,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,0.01713383579089253,0.4522327581068438,0.0002935683289092698,0.2045144675049231,6.0038970463189434e-05,89.91775537986237,0.20451467820473423,입결↑/A↑,False,missing_dept_outcome,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000059::관광경영,가천대학교 / 관광경영,가천대학교,DEP_000059,관광경영,관광경영,경영경제,81.5,595,27,0.4901960784313726,44.81894198245222,40.0,42.5,40~45%,0.425,92.0,92.0,0.1713747645951036,117.11487758945387,45.65217391304348,3.260869565217391,0.0,45.65217391304348,3.260869565217391,0.0,48.91304347826087,0.44983277591973236,#d37722,5,#a65407,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.6853534316356876,-0.7838701140518637,-0.46970932625481315,-0.6144523557036817,0.28861400201325915,-127.39558778091548,0.7734200337465758,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_004221::금융・빅데이터,가천대학교 / 금융・빅데이터,가천대학교,DEP_004221,금융・빅데이터,금융・빅데이터,경영경제,83.6,498,22,0.5882352941176471,34.705882352941174,30.0,32.5,30~35%,0.325,,61.0,0.11299435028248588,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,0.01713383579089253,-1.607938695491002,0.0002935683289092698,-2.585466848457305,-0.0007590111821519273,-89.99349431759957,2.5854668651239976,입결↑/A↓,False,missing_dept_outcome,Tier B,alias_1to1,one_to_one
가천대학교::DEP_004293::도시계획・조경,가천대학교 / 도시계획・조경,가천대학교,DEP_004293,도시계획・조경,도시계획・조경,건축토목환경,82.77,537,24,0.5490196078431373,20.0,20.0,22.5,20~25%,0.225,,61.0,0.11299435028248588,86.75706214689265,,,,56.95104895104895,7.840856212191717,6.3285248953001405,71.1204300585408,0.6889892467842856,#d37722,3,#d88c46,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.2638610711797394,-2.432007276930141,-0.0696226648841195,-5.91465939504116,0.41179434896465966,-90.67440918589061,5.915069152158259,입결↓/A↓,True,missing_dept_outcome,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000032::물리,가천대학교 / 물리,가천대학교,DEP_000032,물리,물리,기타,82.12,575,26,0.5098039215686274,53.1492615182043,50.0,52.5,50~55%,0.525,26.0,26.0,0.047080979284369114,52.48210922787194,26.923076923076923,7.6923076923076925,26.923076923076923,26.923076923076923,7.6923076923076925,26.923076923076923,61.53846153846153,0.5857988165680473,#d37722,4,#cd6f19,0.585844093735055,0.5201219512195122,0.6669072839087291,-0.544855978150372,0.04019846738727509,-0.2968680369261987,0.0016159167802858188,-0.0004797140423995545,179.6881297894525,0.29687243478547426,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
가천대학교::DEP_000020::물리치료,가천대학교 / 물리치료,가천대학교,DEP_000020,물리치료,물리치료,보건의료,86.4,377,17,0.6862745098039216,59.02919600063317,55.0,57.5,55~60%,0.575,48.0,48.0,0.08851224105461393,74.02636534839925,70.83333333333334,8.333333333333332,2.083333333333333,70.83333333333334,8.333333333333332,2.083333333333333,81.25,0.7980769230769231,#d37722,1,#dcc6b2,0.585844093735055,0.5201219512195122,0.6669072839087291,0.7196211032174726,0.4522327581068438,0.5178545321959324,0.2045144675049231,0.10590874389706216,21.550375970949005,0.5567759728424801,입결↑/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one
