univ_name_std,residual_mean,a_rate_mean,selectivity_mean,dept_n,credit_forfeit_label,official_employment_rate_pct,health_employment_rate_pct,overall_advancement_rate_pct,graduate_school_rate_pct,residual_group
가천대학교,8.148179795493903,51.96358232649215,83.91609756097562,41,X,66.51748251748252,56.951048951048946,6.3285248953001405,6.072591903210796,예상보다 A 높음
가톨릭대학교,-3.730966561579947,40.275082838293685,77.67,1,O,62.46933769419461,54.70155355682748,10.202655485674354,9.993011879804332,중간
강원대학교,-1.5421913082451206,43.46472468227633,75.35116279069767,43,X,57.710464201416215,51.2588512981904,12.566844919786096,12.366310160427808,중간
건국대학교,-2.1157315429801113,43.700377010509975,87.57291666666667,48,O,66.79049034175334,59.58395245170877,13.824884792626728,13.536866359447004,중간
경기대학교,0.8298700119759863,44.557752545722444,78.84276674119532,26,O,62.09900990099009,54.772277227722775,5.0884157343919165,4.9079754601227,중간
경희대학교,3.193345325251151,48.758428864603836,88.57260869565218,69,O,64.7753638472896,54.50326935245728,10.66385327057296,10.501541957474435,예상보다 A 높음
국민대학교,3.560350707469347,49.397931969192584,86.14735294117646,34,O,66.46030589949017,57.50182083029861,9.83070983070983,9.711909711909712,예상보다 A 높음
단국대학교,-10.977074217971959,34.48454732564236,83.58035714285714,28,X,59.50704225352113,49.25176056338028,7.651313285116101,7.575180814617434,예상보다 A 낮음
명지대학교,2.4495819526906524,43.3987926010763,78.77666666666666,3,X,65.26138279932546,54.04721753794266,12.268677176148046,12.063056888279641,예상보다 A 높음
부산대학교,-4.38720668776637,41.07034277640934,79.24609198561579,81,X,57.50375939849624,51.72932330827067,16.666666666666664,16.47509578544061,예상보다 A 낮음
삼육대학교,-8.149929977576873,36.460455296245556,84.315125,16,결측,64.90924805531547,53.50043215211755,5.0,4.538461538461538,예상보다 A 낮음
상명대학교,1.3530294421365427,47.50276491492409,77.1209090909091,11,O,63.39754816112085,53.41506129597198,6.560922855082913,6.416726748377794,중간
서강대학교,-5.733802888686502,39.20648304332935,91.785,14,X,73.10286677908938,67.28499156829679,16.880093131548314,16.647264260768335,예상보다 A 낮음
서울과학기술대학교,-1.5488633655457065,41.141849529780565,83.27057142857143,1,X,63.6218799787573,57.355284121083386,12.341356673960613,12.078774617067833,중간
서울대학교,16.935464276723717,65.95141237356066,94.42140350877193,57,X,65.5587668593449,56.21387283236994,31.179422835633623,30.959849435382687,예상보다 A 높음
서울여자대학교,-9.032363767381256,37.69342991870886,91.06794117647058,34,X,62.07171314741036,52.589641434262944,9.645390070921986,9.432624113475176,예상보다 A 낮음
성균관대학교,13.93769762919089,60.974448143878284,92.76470588235294,17,O,71.32530120481928,64.6815834767642,17.992240543161977,17.846750727449077,예상보다 A 높음
성신여자대학교,-10.251836735982602,33.92059386486778,69.14739130434782,23,O,60.384153661464595,45.91836734693879,10.053191489361703,9.9468085106383,예상보다 A 낮음
세종대학교,-6.788583902328321,35.72031093748949,81.75375,4,X,61.47308781869688,51.41643059490085,14.34487951807229,14.156626506024098,예상보다 A 낮음
수원대학교,-13.766154069903019,30.51822357021971,83.19040742296919,15,O,65.44117647058823,53.39366515837104,4.926624737945493,4.8742138364779874,예상보다 A 낮음
숭실대학교,-3.8805073432975266,40.32125505017074,83.51416666666667,36,O,67.7445432497979,61.27728375101052,9.417188014487982,9.186697398748764,중간
아주대학교,-6.257550000438689,37.852018513929536,82.45878787878787,33,O,69.26478717523493,63.84742951907131,15.415549597855229,15.236818588025022,예상보다 A 낮음
연세대학교,17.588300315390708,64.51813404371255,89.83500000000001,2,X,67.27272727272727,59.142367066895375,22.074215033301616,21.81255946717412,예상보다 A 높음
이화여자대학교,15.185529613898003,68.12542975223053,89.92307692307692,13,X,64.57399103139014,55.15695067264574,18.96282411746329,18.650421743205246,예상보다 A 높음
인천대학교,-0.3995694779319688,43.52333307193085,75.75272727272727,55,X,63.54166666666666,54.60069444444444,9.62566844919786,9.396485867074105,중간
인하대학교,0.7792003409577312,45.28824412051658,81.62584905660377,53,X,68.5241472475515,60.89159067882473,14.825505116767252,14.799265284702178,중간
전남대학교,2.499827179386362,45.48453012087296,69.05831511551874,74,X,57.55584756898817,51.51116951379764,11.028602860286028,10.836083608360836,예상보다 A 높음
전북대학교,10.837594605107137,53.70568556443111,69.25772200772201,74,X,58.85663507109005,52.99170616113744,11.182582879762494,11.034141514101927,예상보다 A 높음
중앙대학교,-2.9374682867467734,44.39537740703207,91.6416129032258,31,X,67.56505576208177,60.5638166047088,10.238153695065062,10.066290203780996,중간
충남대학교,-3.6080325535557525,39.49681168902135,73.94809523809525,84,X,61.0500177367861,54.877616175948916,16.32882882882883,16.103603603603602,중간
충북대학교,-7.146863338994242,35.69140694405771,70.79138345864662,76,X,56.82656826568266,52.43952439524395,11.473720371006529,11.267605633802818,예상보다 A 낮음
한국공학대학교,5.23184346244031,45.62520809724193,70.52989936302905,13,결측,65.79873328641803,61.365235749472205,6.491002570694088,6.169665809768637,예상보다 A 높음
한국외국어대학교,-21.776381893343668,22.571009970381382,89.5,2,O,64.47827465905488,55.8198541071995,6.382408152319657,6.087422901582194,예상보다 A 낮음
한양대학교,2.7119781089006008,50.32762064542766,92.91125,48,O,68.92961266139108,59.60016659725115,16.72073134768505,16.573282217634915,예상보다 A 높음
홍익대학교,-8.018332006685492,39.532270996084435,86.93153846153845,26,O,65.58500914076782,56.62705667276051,7.453651153991676,7.340143776012107,예상보다 A 낮음
