source_file,year,univ_name_raw,univ_name_std,campus_name,mapping_type,mapping_confidence,mapping_note
대학순위_상위54개_3개년.xlsx,2024,서울대,서울대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,연세대,연세대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,고려대,고려대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,성균관대,성균관대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,한양대,한양대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,서강대,서강대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,중앙대,중앙대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,이화여대,이화여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,시립대,서울시립대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,경희대,경희대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,건국대,건국대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,한국외대,한국외국어대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,동국대,동국대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,홍익대,홍익대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,숭실대,숭실대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,숙명여대,숙명여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,국민대,국민대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,부산대,부산대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,세종대,세종대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,아주대,아주대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,서울과기대,서울과학기술대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,경북대,경북대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,인하대,인하대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,성신여대,성신여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,단국대,단국대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,광운대,광운대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,항공대,한국항공대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,한양대에리카,한양대학교(ERICA)_분교,한양대에리카,manual_alias,excluded,"캠퍼스/분교 명시 행: 본교와 자동 통합 금지, 주 분석 제외"
대학순위_상위54개_3개년.xlsx,2024,상명대,상명대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,가톨릭대,가톨릭대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,명지대,명지대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,전남대,전남대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,인천대,인천대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,가천대,가천대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,덕성여대,덕성여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,동덕여대,동덕여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,경기대,경기대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,한국외대(글캠),한국외국어대학교_글로벌캠퍼스,한국외대(글캠),manual_alias,excluded,"캠퍼스/분교 명시 행: 본교와 자동 통합 금지, 주 분석 제외"
대학순위_상위54개_3개년.xlsx,2024,서울여대,서울여자대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,충남대,충남대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,한성대,한성대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,충북대,충북대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,삼육대,삼육대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,서경대,서경대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
대학순위_상위54개_3개년.xlsx,2024,부경대,국립부경대학교,본교/미구분,manual_alias,high,2024년 순위 약칭을 공시자료 학교명으로 매핑
