model_label,coverage_n,coverage_rate,raw_residual_corr,residual_variance,raw_variance,residual_to_raw_variance_ratio,expected_mean,residual_mean
FULL,7592,1.0,0.9265069606663224,197.53028567110442,209.28297424316406,0.9438430736443745,41.788216997688465,-0.12377727758779551
NOPOLICY,7592,1.0,0.9267495307109878,194.69920759468877,209.28297424316406,0.9303155610186878,41.825724884806746,-0.16128516470607018
