metric,estimate,ci_low,ci_high,p_value,n_rows,n_universities
"prestige_score -> a_rate_pct (major_group 통제, 대학단위 cluster-robust)",13.556315180312897,3.4532787641251943,23.6593515965006,0.008541212512637756,3270,43
"credit_forfeit_bin -> a_rate_pct (major_group 통제, 대학단위 cluster-robust)",-3.0788917111786684,-8.152841696942538,1.995058274585202,0.23431635206210422,3270,43
