a_residual_group,universities,rank_median,a_rate_mean_pct,a_residual_mean_pctp,official_employment_rate_mean_pct,health_employment_rate_mean_pct,retention_4th_mean_pct,overall_advancement_rate_mean_pct,graduate_school_rate_mean_pct
서열 대비 A 낮음,16,19.5,37.57824503254175,-7.271583126537115,64.18420961090295,56.09083143499629,82.40445594142244,11.37471888608668,11.175362930734641
중간,15,35.0,41.513328783851996,-0.836504205566851,63.406316367127125,54.640164589432665,80.80602730318586,10.159054268773295,9.923350059047946
서열 대비 A 높음,16,26.0,52.37588328955842,8.055805819255971,64.34699554838737,56.18290141236754,81.83129305464958,13.299950639201704,13.09458318499965
