model_id,cv_n,cv_mae,cv_rmse,cv_r2
P2-S0,6702,10.777899096717055,14.476273808523045,-0.0014849981632403253
P2-S1,6702,10.623845221237964,14.2514938192856,0.02937460916911605
P2-S2,6702,10.565956935537427,14.161742773401738,0.04156144879957557
P2-S3,6702,10.375678811527688,13.95243153098029,0.06968361425092917
P2-S4,6702,10.47304556993959,14.053527350308487,0.05615309344205577
