term,coefficient,se,ci_low,ci_high,p_value,status,converged
Intercept,0.07476729785818496,0.1403478189297023,-0.20030937255278036,0.3498439682691503,0.5942214615507462,READY,True
major_group_7_EDU,-0.006728005999263431,0.06476248250740964,-0.13366013926319156,0.1202041272646647,0.917258705435732,READY,True
major_group_7_ENG,-0.09832764807519603,0.05011351369242254,-0.19654833005109906,-0.0001069660992929905,0.049751022137315144,READY,True
major_group_7_HUM,-0.09124596416039787,0.05449041523410734,-0.19804521552188095,0.015553287201085203,0.09402601816928675,READY,True
major_group_7_MED,-0.13546296983596381,0.05382689042985543,-0.2409617364782642,-0.029964203193663455,0.011847941730022992,READY,True
major_group_7_NAT,-0.15737270280689727,0.0480783412811965,-0.2516045201544677,-0.06314088545932682,0.001063162658420742,READY,True
major_group_7_SOC,-0.19759678726342186,0.04467334241808354,-0.2851549294718911,-0.11003864505495264,9.727323768447223e-06,READY,True
school_type_교육대학,-0.7786763985045022,0.13365301111811662,-1.0406314867213422,-0.5167213102876622,5.673612532144351e-09,READY,True
school_type_대학교,-0.11441831870493259,0.08877994741794852,-0.28842381819347146,0.05958718078360627,0.19747263003475146,READY,True
school_type_방송통신대학교,-0.6869781131822735,0.23012553443754438,-1.1380158726028924,-0.23594035376165462,0.002833633044934169,READY,True
school_type_산업대학,-0.5022452344616587,0.18525899087109138,-0.8653461843812325,-0.13914428454208494,0.0067071770225451514,READY,True
region_sido_경기,0.06363047991253089,0.0857341789677177,-0.10440542310830721,0.231666382933369,0.45797625677183507,READY,True
region_sido_경남,0.07313215331486551,0.07899001384296822,-0.0816854289556725,0.22794973558540355,0.3545288803079588,READY,True
region_sido_경북,0.05648356098091951,0.11830540078266127,-0.17539076372967333,0.28835788569151233,0.6330498568845992,READY,True
region_sido_광주,-0.08483273296096745,0.12245517351151124,-0.3248404627641327,0.15517499684219777,0.48845665733471677,READY,True
region_sido_대구,-0.17271633845487774,0.06642487183117542,-0.3029066949216707,-0.04252598198808477,0.009317603737170908,READY,True
region_sido_대전,0.0076250407128681495,0.088531983634711,-0.16589445869105487,0.18114454011679118,0.9313650424223245,READY,True
region_sido_부산,0.10781724916244437,0.10701723204794063,-0.10193267137668491,0.3175671697015736,0.313706281540417,READY,True
region_sido_서울,0.21878976208780715,0.146267478579569,-0.06788922803763192,0.5054687522132462,0.13470067091431853,READY,True
region_sido_세종,1.236676189347339,0.08018494992594226,1.0795165753903446,1.3938358033043334,1.150136268194311e-53,READY,True
region_sido_울산,0.6049950403916864,0.059514201570232114,0.48834934874537433,0.7216407320379985,2.8250110273981687e-24,READY,True
region_sido_인천,0.26235438968515185,0.09258204809245929,0.08089690980897643,0.44381186956132723,0.0046005290284168434,READY,True
region_sido_전남,0.021791357168969974,0.0687416878372756,-0.1129398752285853,0.15652258956652526,0.7512409296317849,READY,True
region_sido_전북,0.058401868684199186,0.16056110201046933,-0.2562921085743824,0.3730958459427807,0.7160550850392462,READY,True
region_sido_제주,-0.09821430656511328,0.05492090371226828,-0.20585729983955126,0.009428686709324702,0.07372980884432477,READY,True
region_sido_충남,-0.1216446422300816,0.09424564569627997,-0.30636271349451266,0.06307342903434947,0.1968011461094239,READY,True
region_sido_충북,-0.025513369878783623,0.09361512225837534,-0.20899563791351328,0.157968898155946,0.78521090882591,READY,True
campus_branch_분교,0.08009976110861584,0.07937220412543465,-0.07546690035079757,0.23566642256802928,0.31289484010789004,READY,True
credit_forfeit_flag_True,-0.024448878544298003,0.14516510258843662,-0.30896725142969594,0.26006949434109994,0.8662519432274877,READY,True
female_student_share_pct,0.0021362534003592417,0.0011350475309259743,-8.839888099678112e-05,0.004360905681715264,0.05982477847098031,READY,True
female_student_share_pct__missing,-0.1797445698328922,0.1916771326328242,-0.5554248464531347,0.19593570678735037,0.348374675287512,READY,True
international_student_share_pct,0.00010832062418282929,0.0010089533905817542,-0.001869191683436983,0.0020858329318026417,0.9145038674769965,READY,True
leave_rate_pct,0.0014393915496250997,0.001288092673346814,-0.0010852236988845724,0.003964006798134772,0.2637978555189152,READY,True
student_faculty_ratio,-0.0005855026523304056,0.0005529273061007452,-0.0016692202583566203,0.0004982149536958089,0.28963879378481205,READY,True
student_faculty_ratio__missing,-0.08939859141393064,0.03502478690730585,-0.15804591231844012,-0.020751270509421146,0.010697199580101117,READY,True
fulltime_faculty_share_pct,-0.002021513619486816,0.0005105825194342242,-0.0030222369687136178,-0.0010207902702600142,7.519180316028953e-05,READY,True
log_enrolled_students,-0.0877943524183837,0.01814439926777785,-0.12335672150434321,-0.05223198333242418,1.3072565233258675e-06,READY,True
log_graduates,0.06871319193332381,0.008460071522586142,0.05213175644242204,0.08529462742422558,4.583440273373804e-16,READY,True
