model_id,branch,term,coefficient,school_clustered_se,ci_low,ci_high,p_value,standardized_beta,N,school_n,r2,adj_r2,aic,bic,condition_number
P2-S0,P2-S,Intercept,41.741841511596895,0.7856068159479027,40.202080446329816,43.281602576863975,0.0,,6702,167,1.1102230246251565e-16,1.1102230246251565e-16,54833.84473820816,54840.65489947645,1.0
P2-S1,P2-S,Intercept,45.71252071158694,2.6682113045865763,40.482922651454615,50.942118771719265,8.52597708760139e-66,,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_EDU,0.46185614262188257,1.590409456085594,-2.655289111977818,3.5790013972215835,0.7715096489457739,0.009094895961379955,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_ENG,-5.719101977776624,1.08224427040537,-7.840261770245977,-3.5979421853072715,1.260599175411227e-07,-0.1721891248013969,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_HUM,-2.1417623740012357,1.285485227575978,-4.661267122708428,0.3777423747059565,0.09569110724062609,-0.04808163940896908,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_MED,-4.559557340274037,1.2875316945991018,-7.083073090642101,-2.036041589905974,0.00039813556138231464,-0.07706866481389325,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_NAT,-4.948228811409854,1.1700059390648552,-7.241398313674935,-2.655059309144773,2.3448842616626782e-05,-0.11463037203058588,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,major_group_7_SOC,-6.019797763905638,1.1065369569038022,-8.18857034699964,-3.851025180811636,5.321662943073161e-08,-0.16763942907911533,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,school_type_교육대학,-16.16488949578368,2.87633777560901,-21.80240794334939,-10.527371048217969,1.9100696018013707e-08,-0.14134763247790533,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,school_type_대학교,-1.6260740662431057,2.047379807293427,-5.638864751212779,2.386716618726568,0.427066208561806,-0.01741937424035351,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,school_type_방송통신대학교,-20.642430642127408,2.923460449003547,-26.372307832401656,-14.91255345185316,1.6535890106165316e-12,-0.08870879577423418,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,school_type_산업대학,-10.064724143283968,4.374351207704979,-18.63829496611502,-1.4911533204529182,0.02140013481990671,-0.04566909959159401,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_경기,1.5723269695631954,1.9002015851082557,-2.151999700614908,5.296653639741299,0.4079805098141911,0.03520290434424585,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_경남,1.823773689105738,2.009787651577,-2.115337724558517,5.762885102769992,0.3641710132957636,0.026723291935553995,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_경북,1.5661963234504608,2.809192599225139,-3.9397199966672742,7.072112643568196,0.5771684865443076,0.029667177978466592,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_광주,-1.4308707127948077,2.84308386364512,-7.003212690566229,4.141471264976613,0.6147665688709648,-0.020518937315786648,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_대구,-5.035103007478127,1.8801952900741805,-8.72021805992536,-1.3499879550308935,0.0074070272505301704,-0.06064126808185736,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_대전,0.569781905143047,2.0679037113070207,-3.483234892515427,4.622798702801521,0.7829044761616779,0.009018680249871465,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_부산,2.50761008457875,2.620900006530587,-2.629259535301993,7.644479704459493,0.33868112590441113,0.05220461905997491,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_서울,6.215320293477114,2.6018324384797635,1.115822420248752,11.314818166705475,0.01690238812586223,0.17131501808595145,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_세종,29.009363885395405,1.3733998976744746,26.317549549582438,31.701178221208373,4.961994641056442e-99,0.02449452524727556,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_울산,16.073162949109225,1.1606339314954892,13.798362244142938,18.347963654075514,1.2970338773963908e-43,0.05073112688014014,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_인천,6.522120204122304,1.981443519840032,2.6385622678355656,10.405678140409043,0.0009961906474928387,0.07229806960183267,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_전남,1.3676085401758133,1.8069363838365113,-2.173921694498792,4.909138774850419,0.44913020414038907,0.01624156045544488,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_전북,1.9126049360588617,4.094037511727053,-6.111561138282142,9.936771010399866,0.6403794032170314,0.02945512692871276,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_제주,-1.5795363533558027,1.1555445725487135,-3.844362098082013,0.6852893913704075,0.17165055429432874,-0.012004015798257908,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_충남,-2.667148787625576,2.106663509652598,-6.796133394089416,1.461835818838265,0.2054939156497485,-0.04808798801808837,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,region_sido_충북,-0.6981539674674271,2.1800263726204023,-4.970927143150911,3.5746192082160575,0.7487786414986768,-0.012239402311702981,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S1,P2-S,campus_branch_분교,2.0196686871011753,2.3199419813964357,-2.527334042658331,6.5666714168606815,0.3839897370773445,0.02031317157804725,6702,167,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146
P2-S2,P2-S,Intercept,47.66388790137447,3.1839707494141316,41.42341990469377,53.90435589805517,1.1540526911709437e-50,,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_EDU,1.2615869751973767,1.5571127753177059,-1.790297984292536,4.313471934687289,0.4178199953652957,0.024843238460608364,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_ENG,-2.9753038078838676,1.239535607279101,-5.40474895570589,-0.5458586600618451,0.016379961403958948,-0.0895796159411999,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_HUM,-1.6479154715129294,1.303587920436151,-4.202900846249251,0.907069903223392,0.2061803770095365,-0.03699498993892598,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_MED,-2.7946401003705192,1.319965755027145,-5.3817254410499435,-0.20755475969109494,0.034242324444909884,-0.047236862067398834,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_NAT,-3.5885010273757527,1.1729903844114462,-5.88751993503398,-1.2894821197175248,0.0022187283181180303,-0.083130999692599,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,major_group_7_SOC,-4.7661340641688685,1.0844456152964275,-6.8916084133422455,-2.640659714995492,1.1077482986367574e-05,-0.13272738134535064,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,school_type_교육대학,-19.74696312306773,3.0180861447414804,-25.662303269000372,-13.831622977135087,6.034690342926342e-11,-0.17266969172923563,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,school_type_대학교,-5.271881086150379,2.0485066221265282,-9.286880287610176,-1.256881884690582,0.010066864621589186,-0.056475207062656234,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,school_type_방송통신대학교,-19.07641916729223,5.1606448339461375,-29.191097178829345,-8.961741155755112,0.00021857632705897298,-0.08197901697494138,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,school_type_산업대학,-13.961648488091972,4.421990813980111,-22.62859122345995,-5.294705752723997,0.0015922546280844312,-0.06335155402058101,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
P2-S2,P2-S,region_sido_경기,1.4079081008790966,1.9750963758271765,-2.463209661737756,5.279025863495949,0.4759509118207037,0.03152172236446755,6702,167,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814
