branch,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_ratio,hundred_ratio,skewness
P2-S,7592,41.66444,14.373115,0.0,3.5568181586265557,22.824521446228026,32.89345741271973,39.572113,48.57143020629883,69.22355995178222,83.99148124694824,100.0,0.008825079030558482,0.0025026343519494202,0.6304047
P2-Q,3119,40.76174,12.600778,0.0,5.0,25.85797061920166,33.31360626220703,38.97385,46.52197074890137,64.92852554321288,80.17573730468752,100.0,0.007374158384097467,0.0016030779095864058,0.722147
