model_id,branch,status,N,school_n,r2,adj_r2,aic,bic,condition_number,test_mae,test_rmse,test_r2,block_added,reason
P2-S0,P2-S,READY,6702.0,167.0,1.1102230246251565e-16,1.1102230246251565e-16,54833.84473820816,54840.65489947645,1.0,10.019602785910129,13.65044083627659,-0.0023450835569325257,intercept,
P2-S1,P2-S,READY,6702.0,167.0,0.08842038670424668,0.08473254589528878,54267.398070588926,54458.08258610125,273.21647418077146,10.309272573565941,14.174187986875133,-0.0807376645544926,S0,
P2-S2,P2-S,READY,6702.0,167.0,0.10415569357584475,0.09958711604195813,54164.70083098884,54403.05647537924,13522.85073529814,10.36365261862912,14.258990858771389,-0.09370825921158499,B_CORE,
P2-S3,P2-S,READY,6702.0,167.0,0.12633315848522764,0.12161417779587547,54000.69832576997,54252.67429269697,13560.670539111758,10.426698965945413,14.08545923484066,-0.06724943278642548,B_SCALE,
P2-S4,P2-S,READY,6702.0,167.0,0.126446140112618,0.12159597612464779,54001.831574515,54260.6177027103,13561.076066074787,10.432356651587114,14.082240783761726,-0.06676176708745185,POLICY,
P2-Q0,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q1,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q2,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q3,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q4,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q4-YIELD,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
P2-Q4-ADMIT,P2-Q,BLOCKED_FEATURE_CONTRACT,,,,,,,,,,,,feature contract blocked
