model,school_variance,residual_variance,icc,log_likelihood,aic,bic,converged,status
NULL,0.0,141.0985721921532,0.0,inf,-inf,-inf,True,READY
ADJUSTED_S4,66.48055802465073,130.08093163124406,0.338217613943775,-26045.090582910238,52170.181165820475,52442.587616552366,True,MODEL_CONVERGENCE_WARNING
