term,coefficient,se,ci_low,ci_high,p_value,status
major_group_7_EDU,-0.7183484975024571,0.9890165223741179,-2.6567852614707808,1.2200882664658663,0.4676388926598869,READY
major_group_7_ENG,-3.067590711855655,0.9437027037620918,-4.917214023342426,-1.2179674003688834,0.0011516575012421833,READY
major_group_7_HUM,-3.5281836915556553,0.8825466225745993,-5.257943286479334,-1.7984240966319764,6.39526610417273e-05,READY
major_group_7_MED,-5.336723156157467,1.1136166686886613,-7.519371719370716,-3.154074592944217,1.6492588422792105e-06,READY
major_group_7_NAT,-5.5221947824745214,0.986425216457575,-7.455552680173495,-3.5888368847755476,2.1660256008207662e-08,READY
major_group_7_SOC,-5.305231045408188,0.9104596596867772,-7.089699187770866,-3.5207629030455108,5.6439069518648415e-09,READY
region_sido_경기,-2.903357729612131,0.7273935623786085,-4.329022914460493,-1.477692544763769,6.566950901308426e-05,READY
region_sido_경남,-22.82782748452732,1.0165362772908881,-24.820201976995882,-20.835452992058755,1.1060935770478622e-111,READY
region_sido_경북,2.852995168809297,1.7288261064078119,-0.5354417352826251,6.241432072901219,0.0988918275475068,READY
region_sido_광주,3.3472189398011682,3.5106413406682266,-3.5335116505459663,10.227949530148303,0.3403624134279696,READY
region_sido_대구,3.287456981076493,2.028558304377643,-0.6884442360433276,7.263358198196314,0.1051060554720074,READY
region_sido_대전,-11.720419170159197,0.9254927061723656,-13.534351542211544,-9.90648679810685,9.363194152220168e-37,READY
region_sido_부산,-5.069887585459176,1.123903783374912,-7.27269852296231,-2.8670766479560417,6.453419356961663e-06,READY
region_sido_서울,-1.8417405892501937,1.6456677867280871,-5.067190181754987,1.3837090032545998,0.2630783588982475,READY
region_sido_인천,-1.3572871375522584,3.506582859611868,-8.230063251196993,5.515488976092476,0.6987056298746996,READY
region_sido_전남,0.9609473629068209,3.356268409427341,-5.6172178420203,7.539112567833942,0.774637469848252,READY
region_sido_전북,-9.381503571503366,2.3876452407794764,-14.061202251289604,-4.701804891717127,8.523369859829328e-05,READY
region_sido_충남,-3.2400448333931537,3.242701451508933,-9.59562289096642,3.115533224180112,0.3177071445191101,READY
region_sido_충북,-3.7569635515125706,2.4069221999639687,-8.474444377031864,0.9605172740067225,0.11854747579814971,READY
campus_branch_분교,0.8257599128386212,3.3790010650373583,-5.796960478357086,7.448480304034328,0.8069366141751926,READY
credit_forfeit_flag_True,3.186828010287849,2.890426912291511,-2.478304637748826,8.851960658324524,0.2702244649317418,READY
female_student_share_pct,0.09417293498368472,0.013490949498469263,0.06773115984943626,0.12061471011793318,2.9423039176807218e-12,READY
female_student_share_pct__missing,-8.96018338843058,4.202691875551576,-17.19730810263076,-0.7230586742304013,0.03300597983420235,READY
international_student_share_pct,-0.007987434945847728,0.021569578329985073,-0.05026303163433408,0.03428816174263862,0.7111513719062089,READY
leave_rate_pct,0.05668131565779954,0.031239050570221083,-0.004546098371059223,0.1179087296866583,0.06961034342545573,READY
student_faculty_ratio,0.0018715490707791106,0.004297974937966139,-0.006552327014090295,0.010295425155648515,0.6632365192690978,READY
student_faculty_ratio__missing,-1.677484711992505,0.6070963153678078,-2.867371625260379,-0.48759779872463094,0.0057250343778292075,READY
fulltime_faculty_share_pct,-0.027635284909162686,0.010900296864990467,-0.04899947418533886,-0.006271095632986511,0.011235805886592808,READY
log_enrolled_students,-2.5371466761639474,0.3790338584564413,-3.280039387659825,-1.7942539646680697,2.1756691762450428e-11,READY
log_graduates,1.5286284554861613,0.18585490876177096,1.1643595279631125,1.8928973830092102,1.9543783769467408e-16,READY
