topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2014,mean_income_or_hours,224.7
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2014,mean_income_or_hours,182.0
GOMS_022,근로소득,성별 월평균 근로소득,all,전체,2015,mean_income_or_hours,207.9
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2015,mean_income_or_hours,229.5
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2015,mean_income_or_hours,183.4
GOMS_022,근로소득,성별 월평균 근로소득,all,전체,2016,mean_income_or_hours,217.0
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2016,mean_income_or_hours,240.3
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2016,mean_income_or_hours,189.0
GOMS_022,근로소득,성별 월평균 근로소득,all,전체,2017,mean_income_or_hours,227.2
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2017,mean_income_or_hours,249.5
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2017,mean_income_or_hours,199.6
GOMS_022,근로소득,성별 월평균 근로소득,all,전체,2018,mean_income_or_hours,235.7
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2018,mean_income_or_hours,256.4
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2018,mean_income_or_hours,208.8
GOMS_022,근로소득,성별 월평균 근로소득,all,전체,2019,mean_income_or_hours,242.6
GOMS_022,근로소득,성별 월평균 근로소득,all,남자,2019,mean_income_or_hours,259.4
GOMS_022,근로소득,성별 월평균 근로소득,all,여자,2019,mean_income_or_hours,226.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2007,mean_income_or_hours,195.8
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2007,mean_income_or_hours,182.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2007,mean_income_or_hours,201.7
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2007,mean_income_or_hours,198.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2008,mean_income_or_hours,188.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2008,mean_income_or_hours,172.3
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2008,mean_income_or_hours,195.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2008,mean_income_or_hours,206.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2009,mean_income_or_hours,190.0
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2009,mean_income_or_hours,173.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2009,mean_income_or_hours,199.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2009,mean_income_or_hours,197.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2010,mean_income_or_hours,198.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2010,mean_income_or_hours,186.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2010,mean_income_or_hours,203.7
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2010,mean_income_or_hours,203.2
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2011,mean_income_or_hours,206.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2011,mean_income_or_hours,187.8
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2011,mean_income_or_hours,215.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2011,mean_income_or_hours,209.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2012,mean_income_or_hours,202.8
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2012,mean_income_or_hours,185.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2012,mean_income_or_hours,210.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2012,mean_income_or_hours,212.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2013,mean_income_or_hours,204.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2013,mean_income_or_hours,185.0
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2013,mean_income_or_hours,213.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2013,mean_income_or_hours,209.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2014,mean_income_or_hours,205.2
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2014,mean_income_or_hours,186.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2014,mean_income_or_hours,213.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2014,mean_income_or_hours,217.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2015,mean_income_or_hours,207.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2015,mean_income_or_hours,191.5
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2015,mean_income_or_hours,213.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2015,mean_income_or_hours,219.3
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2016,mean_income_or_hours,217.0
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2016,mean_income_or_hours,201.6
