x,x_label_ko,y,y_label_ko,n,pearson_r,pearson_p,spearman_rho,spearman_p,direction,abs_spearman
prestige_score,상위도 점수,a_rate_pct,A비율,47,0.46995019208013394,0.0008593179348455362,0.4459990749306198,0.001677896422918233,positive,0.4459990749306198
a_rate_pct,A비율,overall_advancement_rate_pct,전체 진학률,47,0.5845966604514655,1.597682554968414e-05,0.4005550416281221,0.00527099086494611,positive,0.4005550416281221
a_rate_pct,A비율,graduate_school_rate_pct,대학원 진학률,47,0.5832448120564663,1.6896554761036146e-05,0.3982423681776133,0.005564504243073017,positive,0.3982423681776133
health_employment_rate_pct,건보직장가입 취업률,graduate_school_rate_pct,대학원 진학률,47,0.39754797574002687,0.0056553691335931595,0.3834412580943571,0.007802610409947052,positive,0.3834412580943571
health_employment_rate_pct,건보직장가입 취업률,overall_advancement_rate_pct,전체 진학률,47,0.39816861794823155,0.00557409406358896,0.37742830712303427,0.008913394218416483,positive,0.37742830712303427
df_rate_pct,D+F비율,a_rate_residual_pctp,서열 대비 A비율 잔차,47,-0.37968304626855126,0.00848184766492801,-0.3694495837187789,0.010596092274079656,negative,0.3694495837187789
a_rate_pct,A비율,health_employment_rate_pct,건보직장가입 취업률,47,0.28559180841803566,0.05166225569548893,0.3536077705827937,0.014757241901368163,positive,0.3536077705827937
a_rate_pct,A비율,df_rate_pct,D+F비율,47,-0.3448441116209605,0.017606352660429505,-0.3322155411655874,0.02252182208444161,negative,0.3322155411655874
credit_forfeit_bin,학점포기제 O=1,official_employment_rate_pct,공식취업률,43,0.309922511094325,0.04312324981954304,0.3056625536749152,0.04622956202601558,positive,0.3056625536749152
a_rate_pct,A비율,retention_4th_pct,4차 유지취업률,47,0.35407825737499665,0.01461609584738095,0.30561979648473636,0.0367007212200491,positive,0.30561979648473636
credit_forfeit_bin,학점포기제 O=1,overall_advancement_rate_pct,전체 진학률,43,-0.26860294746479707,0.08157658728878117,-0.2981153301273864,0.05217674166904901,negative,0.2981153301273864
credit_forfeit_bin,학점포기제 O=1,graduate_school_rate_pct,대학원 진학률,43,-0.26487523586325523,0.08606494067832421,-0.29056810657985765,0.058725031691096316,negative,0.29056810657985765
rank_2024_raw,2024년 순위 원점수,credit_forfeit_bin,학점포기제 O=1,43,-0.213676609797674,0.16887339330729947,-0.21509587110456993,0.1659941188411642,negative,0.21509587110456993
prestige_score,상위도 점수,credit_forfeit_bin,학점포기제 O=1,43,0.21367660979767383,0.16887339330729992,0.21509587110456993,0.1659941188411642,positive,0.21509587110456993
a_rate_pct,A비율,official_employment_rate_pct,공식취업률,47,0.20484713682779612,0.167204298540305,0.2057123034227567,0.16537943617394393,positive,0.2057123034227567
official_employment_rate_pct,공식취업률,graduate_school_rate_pct,대학원 진학률,47,0.23181633078057962,0.11690426960526765,0.2030527289546716,0.17103568880694384,positive,0.2030527289546716
credit_forfeit_bin,학점포기제 O=1,health_employment_rate_pct,건보직장가입 취업률,43,0.12187169808614744,0.4362591761677263,0.19622781223574803,0.20725902246828146,positive,0.19622781223574803
official_employment_rate_pct,공식취업률,overall_advancement_rate_pct,전체 진학률,47,0.230529947933681,0.11900650292315319,0.19472710453283998,0.18964484230816492,positive,0.19472710453283998
df_rate_pct,D+F비율,official_employment_rate_pct,공식취업률,47,0.19107134929479866,0.19825566969764985,0.1764569842738205,0.23542855754026074,positive,0.1764569842738205
credit_forfeit_bin,학점포기제 O=1,df_rate_pct,D+F비율,43,0.1930959606095355,0.21474661469724696,0.16981252981939732,0.2763069474025805,positive,0.16981252981939732
df_rate_pct,D+F비율,retention_4th_pct,4차 유지취업률,47,0.13315659755462173,0.37224470496931045,0.16477798334875116,0.26836805547574694,positive,0.16477798334875116
credit_forfeit_bin,학점포기제 O=1,a_rate_residual_pctp,서열 대비 A비율 잔차,43,-0.17824034217064583,0.2528124871542445,-0.16226530627186853,0.29852574405371846,negative,0.16226530627186853
df_rate_pct,D+F비율,overall_advancement_rate_pct,전체 진학률,47,-0.20097160489136737,0.17555835696639355,-0.15980573543015725,0.2832774234731944,negative,0.15980573543015725
overall_advancement_rate_pct,전체 진학률,a_rate_residual_pctp,서열 대비 A비율 잔차,47,0.3269810600571134,0.024873064932785877,0.15818686401480114,0.28824638131209895,positive,0.15818686401480114
graduate_school_rate_pct,대학원 진학률,a_rate_residual_pctp,서열 대비 A비율 잔차,47,0.32476304666197087,0.025929540363917262,0.15275208140610547,0.30534077210194155,positive,0.15275208140610547
df_rate_pct,D+F비율,graduate_school_rate_pct,대학원 진학률,47,-0.2008448238662652,0.17583663401981722,-0.15067067530064754,0.31205610286857005,negative,0.15067067530064754
df_rate_pct,D+F비율,health_employment_rate_pct,건보직장가입 취업률,47,0.15526129726087345,0.2973692773907159,0.11933395004625348,0.42432319742827806,positive,0.11933395004625348
health_employment_rate_pct,건보직장가입 취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,47,0.06292955349447421,0.674322538028275,0.09967622571692877,0.5050225472950542,positive,0.09967622571692877
credit_forfeit_bin,학점포기제 O=1,retention_4th_pct,4차 유지취업률,43,-0.1289466120000471,0.40988734225746176,-0.08679307079658086,0.5799789748572137,negative,0.08679307079658086
prestige_score,상위도 점수,a_rate_residual_pctp,서열 대비 A비율 잔차,47,-1.3357370765021415e-16,0.9999999999999988,-0.057932469935245146,0.6989076577838947,negative,0.057932469935245146
rank_2024_raw,2024년 순위 원점수,a_rate_residual_pctp,서열 대비 A비율 잔차,47,7.32920668600201e-17,1.0,0.057932469935245146,0.6989076577838947,positive,0.057932469935245146
credit_forfeit_bin,학점포기제 O=1,a_rate_pct,A비율,43,-0.06620423953284166,0.6731702894813171,-0.04150972951140824,0.7915560787615205,negative,0.04150972951140824
official_employment_rate_pct,공식취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,47,-0.037352195651387705,0.8031556279838099,-0.03943108233117484,0.7924357754834225,negative,0.03943108233117484
retention_4th_pct,4차 유지취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,47,0.09290265260074798,0.5345314476561276,-0.02162349676225717,0.885288716654371,negative,0.02162349676225717
prestige_score,상위도 점수,df_rate_pct,D+F비율,47,-0.02064169654356851,0.8904646097621762,-0.007284921369102683,0.9612391329705737,negative,0.007284921369102683
rank_2024_raw,2024년 순위 원점수,df_rate_pct,D+F비율,47,0.02064169654356851,0.8904646097621762,0.007284921369102683,0.9612391329705737,positive,0.007284921369102683
