x,x_label_ko,y,y_label_ko,n,pearson_r,pearson_p,spearman_rho,spearman_p,direction,abs_spearman
rank_2024_raw,2024년 순위 원점수,prestige_score,상위도 점수,47,-1.0,0.0,-1.0,0.0,negative,1.0
overall_advancement_rate_pct,전체 진학률,graduate_school_rate_pct,대학원 진학률,47,0.999872825434868,1.5650692180108312e-82,0.9994218316373729,9.766381348829349e-68,positive,0.9994218316373729
official_employment_rate_pct,공식취업률,health_employment_rate_pct,건보직장가입 취업률,47,0.8182561826859561,2.1660143514984462e-12,0.8359158186864015,2.6457378347549563e-13,positive,0.8359158186864015
a_rate_pct,A비율,a_rate_residual_pctp,서열 대비 A비율 잔차,47,0.8826929346969108,2.3273482885471616e-16,0.8204209065679926,1.6948171863476946e-12,positive,0.8204209065679926
health_employment_rate_pct,건보직장가입 취업률,retention_4th_pct,4차 유지취업률,47,0.7814199145706245,9.074105628545106e-11,0.7493061979648474,1.3693756411199687e-09,positive,0.7493061979648474
retention_4th_pct,4차 유지취업률,overall_advancement_rate_pct,전체 진학률,47,0.5642746895988081,3.612246823906949e-05,0.6716003700277522,2.369883642283397e-07,positive,0.6716003700277522
retention_4th_pct,4차 유지취업률,graduate_school_rate_pct,대학원 진학률,47,0.562757445548951,3.8308994889768116e-05,0.670790934320074,2.48044175955065e-07,positive,0.670790934320074
rank_2024_raw,2024년 순위 원점수,retention_4th_pct,4차 유지취업률,47,-0.5789416557219365,2.0158398182199194e-05,-0.6382978723404256,1.3869776543685312e-06,negative,0.6382978723404256
prestige_score,상위도 점수,retention_4th_pct,4차 유지취업률,47,0.5789416557219366,2.015839818219901e-05,0.6382978723404256,1.3869776543685312e-06,positive,0.6382978723404256
rank_2024_raw,2024년 순위 원점수,graduate_school_rate_pct,대학원 진학률,47,-0.6310855284568749,1.97862896718398e-06,-0.606845513413506,6.127346029000372e-06,negative,0.606845513413506
prestige_score,상위도 점수,graduate_school_rate_pct,대학원 진학률,47,0.631085528456875,1.9786289671839583e-06,0.606845513413506,6.127346029000372e-06,positive,0.606845513413506
rank_2024_raw,2024년 순위 원점수,overall_advancement_rate_pct,전체 진학률,47,-0.6297960804086171,2.106378137446406e-06,-0.601063829787234,7.914885829999064e-06,negative,0.601063829787234
prestige_score,상위도 점수,overall_advancement_rate_pct,전체 진학률,47,0.6297960804086172,2.106378137446383e-06,0.601063829787234,7.914885829999064e-06,positive,0.601063829787234
rank_2024_raw,2024년 순위 원점수,health_employment_rate_pct,건보직장가입 취업률,47,-0.48950790965014795,0.0004794424206875901,-0.5348057354301573,0.00010765049781965705,negative,0.5348057354301573
prestige_score,상위도 점수,health_employment_rate_pct,건보직장가입 취업률,47,0.4895079096501481,0.0004794424206875868,0.5348057354301573,0.00010765049781965705,positive,0.5348057354301573
prestige_score,상위도 점수,official_employment_rate_pct,공식취업률,47,0.5060486409677668,0.000284640750576541,0.5112164662349676,0.00024052471735189093,positive,0.5112164662349676
rank_2024_raw,2024년 순위 원점수,official_employment_rate_pct,공식취업률,47,-0.5060486409677668,0.000284640750576541,-0.5112164662349676,0.00024052471735189093,negative,0.5112164662349676
official_employment_rate_pct,공식취업률,retention_4th_pct,4차 유지취업률,47,0.4452118657077818,0.0017138222618898115,0.5104070305272896,0.0002469973717197614,positive,0.5104070305272896
rank_2024_raw,2024년 순위 원점수,a_rate_pct,A비율,47,-0.46995019208013394,0.0008593179348455362,-0.4459990749306198,0.001677896422918233,negative,0.4459990749306198
