variable,label_ko,n,missing,mean,std,min,p10,p25,median,p75,p90,max,iqr
rank_2024_raw,2024년 순위 원점수,47,0,24.80851063829787,14.71857492196782,1.0,5.6000000000000005,12.5,24.0,36.5,44.4,52.0,24.0
prestige_score,상위도 점수,47,0,0.5331664580725907,0.2885995082738788,0.0,0.14901960784313723,0.30392156862745096,0.5490196078431373,0.7745098039215685,0.9098039215686275,1.0,0.4705882352941176
a_rate_pct,A비율,47,0,43.871616700242186,8.04436011910858,28.265952137021564,36.3746734297007,37.774119331663165,41.916526485261095,46.63540154058167,55.93493449076864,63.30961253255898,8.861282208918503
b_rate_pct,B비율,47,0,36.285716060301766,5.104199520509473,25.885168060419492,28.189927924450668,34.26889937532451,36.56615821213196,39.41875858351071,41.506977353976644,49.35797824486792,5.1498592081862
c_rate_pct,C비율,47,0,15.561012962104463,5.026432688874628,5.9993588716140405,8.219648096400078,11.645513134363448,16.46438131870988,19.251726383872857,21.32167688031638,27.086452833162586,7.606213249509409
d_rate_pct,D비율,47,0,2.0897984043891915,0.6677351982204713,0.8732402250272888,1.2441241977093722,1.5447686341586992,2.126921074451879,2.602208728653388,2.8009015440850886,4.082210395198732,1.0574400944946887
f_rate_pct,F비율,47,0,2.191855872962387,0.9725730419311595,0.0,1.275175097294908,1.6850379773021875,1.9760951682922705,2.572960108700794,3.1687635641710394,6.330991631447843,0.8879221313986063
df_rate_pct,D+F비율,47,0,4.281654277351579,1.281170208454324,1.8013536973101607,2.7096218156718854,3.297336009615564,4.225478603182206,5.128172237277928,6.045463717210619,7.204231856475133,1.8308362276623642
credit_forfeit_bin,학점포기제 O=1,43,4,0.4418604651162791,0.5024855165595915,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
official_employment_rate_pct,공식취업률,47,0,63.99136229905431,4.02479881706472,56.25,57.77649337287418,61.26155277774149,64.47827465905488,66.65398642961793,69.04526759683465,73.10286677908938,5.392433651876438
health_employment_rate_pct,건보직장가입 취업률,47,0,55.65919562551725,4.641921691978145,45.91836734693878,50.99376085342989,52.51458291475345,54.70155355682748,58.322093948596994,62.08733413844314,67.28499156829679,5.8075110338435465
retention_4th_pct,4차 유지취업률,47,0,81.6991998613817,5.039046281976894,69.47128491620111,76.38571160062041,79.06441449897875,81.71583561643835,84.6492133451463,88.17060960701747,90.80484429065744,5.584798846167544
overall_advancement_rate_pct,전체 진학률,47,0,11.642138860344971,5.399807433326433,2.734107997265892,5.418386384489106,7.594110411011819,10.72072072072072,14.375032274193995,17.324952096193776,31.179422835633623,6.780921863182176
graduate_school_rate_pct,대학원 진학률,47,0,11.42913593058442,5.394574025624029,2.5974025974025974,5.229554409583753,7.457662295314771,10.501541957474435,14.155461486338414,17.12705884744063,30.959849435382687,6.697799191023643
a_rate_residual_pctp,서열 대비 A비율 잔차,47,0,-1.6780902908376836e-14,7.100699841294746,-10.676353189641496,-7.740563902701927,-6.373495351882067,-1.294568188123634,3.5846058472477544,11.42017281140518,14.597820503549237,9.958101199129821
