variable,n_departments,n_universities,mean,std,min,p25,median,p75,max
a_rate_pct,3424,47,44.1376497047269,16.200426553900837,0.0,35.4054393832809,42.83556767108645,52.314109249853665,100.0
b_rate_pct,3424,47,34.4630562884344,10.964438272535027,0.0,29.641610601707903,35.60198935379164,40.08832153610327,100.0
c_or_lower_pct,3424,47,21.399294006838705,15.083858324515775,0.0,12.429741507263998,19.60353860623968,25.925731329295143,100.0
f_rate_pct,3424,47,3.628792364059437,9.598292173111568,0.0,0.5854605550076638,1.598849699803125,2.9410510579807565,100.0
grade_total_n,3424,47,1022.8189252336449,1237.2997768816392,1.0,323.75,739.0,1249.25,18035.0
