univ_name_std,employment_rows,graduates_total,official_employment_denominator,employed_total,health_employed_total,startup_freelance_employed_total,advanced_total,other_unknown_total,unknown_total,retention_1st_pct,retention_2nd_pct,retention_3rd_pct,retention_4th_pct,official_employment_rate_pct,health_employment_rate_pct,graduate_based_employment_rate_pct,advancement_rate_in_employment_data_pct
가야대학교(김해),13,470,461,342,325,17,3,119,0,92.05877192982457,88.17719298245615,83.61403508771932,80.80087719298247,74.18655097613883,70.49891540130152,72.76595744680851,0.6382978723404255
가천대학교,73,4298,3575,2378,2036,337,272,1197,0,91.23570227081579,86.12140454163162,80.24571068124474,78.96900756938605,66.51748251748252,56.95104895104895,55.32805956258725,6.3285248953001405
가톨릭관동대학교,54,1568,1431,889,746,137,76,542,0,89.84881889763781,84.39493813273342,77.86389201349832,75.92643419572552,62.12438853948288,52.131376659678544,56.69642857142857,4.846938775510204
가톨릭꽃동네대학교,5,92,87,65,65,0,2,22,0,93.82923076923076,90.75076923076924,84.62615384615385,83.08461538461539,74.71264367816092,74.71264367816092,70.65217391304348,2.1739130434782608
가톨릭대학교,50,1431,1223,764,669,92,146,459,0,89.60196335078533,85.36701570680627,80.2121727748691,78.44803664921466,62.46933769419461,54.70155355682748,53.389238294898675,10.202655485674354
가톨릭대학교_제2캠퍼스,2,164,145,91,82,9,2,54,0,85.36153846153847,78.11538461538461,74.44615384615385,73.2076923076923,62.758620689655174,56.55172413793104,55.487804878048784,1.2195121951219512
가톨릭대학교_제3캠퍼스,1,45,0,0,0,0,25,0,0,,,,,,,0.0,55.55555555555556
감리교신학대학교,1,171,0,0,0,0,93,0,0,,,,,,,0.0,54.385964912280706
강남대학교,24,1679,1517,907,770,130,53,610,0,90.07640573318633,83.60308710033075,77.94266813671445,76.3715545755237,59.78905735003296,50.75807514831905,54.02025014889815,3.156640857653365
강서대학교,24,235,213,141,123,18,12,32,40,90.51560283687944,86.52198581560285,77.93758865248228,74.76241134751773,66.19718309859155,57.74647887323944,60.0,5.106382978723404
강원대학교,163,2992,2542,1467,1303,161,376,11,1064,90.23551465576006,86.34730743012949,81.01676891615543,79.96387184730743,57.710464201416215,51.2588512981904,49.030748663101605,12.566844919786096
강원대학교_제2캠퍼스,66,1251,1180,730,657,68,46,419,31,90.07219178082194,84.2258904109589,78.65876712328767,76.03534246575342,61.86440677966102,55.67796610169492,58.3533173461231,3.6770583533173458
건국대학교,77,3472,2692,1798,1604,189,480,894,0,93.11390433815352,89.58448275862068,86.15945494994439,84.61095661846497,66.79049034175334,59.58395245170877,51.78571428571429,13.82488479262673
건국대학교(글로컬)_분교,76,1729,1548,978,830,138,114,570,0,90.05766871165643,85.27505112474438,77.52535787321064,75.98844580777096,63.17829457364341,53.617571059431526,56.56448814343551,6.593406593406594
건양대학교,38,708,666,485,445,39,23,181,0,95.02082474226802,92.00371134020618,87.6243298969072,87.10391752577318,72.82282282282281,66.81681681681681,68.50282485875707,3.248587570621469
건양대학교_제2캠퍼스,17,802,766,599,569,30,27,167,0,93.8787979966611,88.22387312186977,82.96961602671118,80.54540901502504,78.19843342036553,74.28198433420366,74.68827930174564,3.366583541147132
건양사이버대학교,12,1090,1062,789,620,169,22,273,0,93.39226869455007,89.64385297845374,84.94169835234474,84.50468948035487,74.29378531073446,58.3804143126177,72.38532110091744,2.0183486238532113
경기대학교,48,2771,2525,1568,1383,177,141,957,0,90.44795918367346,86.73016581632653,80.87614795918367,79.15982142857143,62.0990099009901,54.772277227722775,56.58607001082642,5.0884157343919165
