univ_name_std,employment_rows,graduates_total,official_employment_denominator,employed_total,health_employed_total,startup_freelance_employed_total,advanced_total,other_unknown_total,unknown_total,retention_1st_pct,retention_2nd_pct,retention_3rd_pct,retention_4th_pct,official_employment_rate_pct,health_employment_rate_pct,graduate_based_employment_rate_pct,advancement_rate_in_employment_data_pct
경기대학교_제2캠퍼스,14,450,322,216,178,37,7,106,0,85.86851851851853,78.02731481481482,64.94675925925925,64.42314814814816,67.08074534161491,55.27950310559007,48.0,1.5555555555555556
경남과학기술대학교,46,1043,975,541,507,32,58,434,0,90.0720887245841,85.32033271719038,78.56857670979667,75.9264325323475,55.48717948717948,52.0,51.86960690316395,5.560882070949185
경남대학교,62,2555,2317,1399,1253,139,56,847,71,89.4554681915654,84.52909220872053,78.43874195854181,76.7157969978556,60.379801467414765,54.0785498489426,54.75538160469667,2.191780821917808
경동대학교,9,191,51,41,36,4,1,10,0,94.51463414634146,89.63414634146342,78.66585365853659,78.66585365853659,80.3921568627451,70.58823529411765,21.465968586387437,0.5235602094240838
경동대학교_제3캠퍼스,11,910,896,738,721,15,5,158,0,93.1518970189702,88.4479674796748,84.1758807588076,81.22642276422765,82.36607142857143,80.46875,81.0989010989011,0.5494505494505495
경동대학교_제4캠퍼스,20,628,561,381,332,49,3,180,0,90.95800524934383,85.62073490813648,78.58005249343832,78.21154855643044,67.9144385026738,59.180035650623886,60.668789808917204,0.47770700636942676
경북대학교,142,4783,3900,2255,2041,191,689,1566,79,93.05401330376942,89.81516629711753,85.83414634146341,84.82727272727273,57.820512820512825,52.33333333333333,47.14614258833368,14.405185030315701
경상국립대학교,99,2910,2462,1333,1210,116,360,1129,0,88.7708927231808,83.62408102025506,78.24051012753188,76.3748687171793,54.1429731925264,49.14703493095045,45.807560137457045,12.371134020618557
경성대학교,70,2712,2332,1283,1088,174,83,1049,0,88.86204208885425,82.02003117692908,74.53016367887763,71.65409197194077,55.01715265866209,46.65523156089194,47.30825958702065,3.06047197640118
경운대학교,32,931,901,633,599,33,9,268,0,92.53665086887837,88.70284360189574,81.59905213270143,80.42306477093206,70.25527192008879,66.48168701442842,67.99140708915145,0.966702470461869
경인교육대학교_제2캠퍼스,14,615,591,349,334,15,6,242,0,91.31489971346706,91.01404011461318,85.47822349570201,85.47822349570201,59.05245346869712,56.51438240270728,56.7479674796748,0.975609756097561
경일대학교,35,1556,1465,930,845,84,27,535,0,89.98397849462364,84.5941935483871,80.62935483870967,77.64967741935484,63.48122866894198,57.67918088737202,59.768637532133674,1.7352185089974295
경희대학교,97,6161,4741,3071,2584,475,657,1670,0,91.4403777271247,87.4857375447737,82.93321393682838,81.28580267014003,64.7753638472896,54.50326935245728,49.845804252556405,10.66385327057296
경희사이버대학교,42,3072,2946,2271,1894,367,75,675,0,94.305988551299,90.35407309555262,86.95077058564509,85.85728753852928,77.08757637474541,64.29056347589952,73.92578125,2.44140625
계명대학교,99,4707,4172,2269,1946,306,239,1422,481,88.18805641251653,82.50907888937857,76.19026002644337,72.63600705156456,54.38638542665388,46.644295302013425,48.20480135967708,5.0775440832802206
고려대학교,63,4219,2927,2046,1849,187,928,881,0,95.14672531769307,92.40899315738027,89.58651026392964,89.02829912023462,69.90092244619063,63.17048172189955,48.49490400568855,21.995733586157858
고려대학교(세종)_분교,54,1402,1141,684,599,81,177,457,0,93.42222222222222,88.05540935672515,83.81125730994152,81.89678362573099,59.94741454864154,52.497808939526735,48.787446504992865,12.624821683309559
고려사이버대학교,22,2630,2543,2029,1814,204,48,514,0,95.95076392311483,92.96481025135536,90.17323804829965,89.47215377033021,79.78765237907983,71.33307117577664,77.14828897338403,1.8250950570342206
고신대학교,31,779,609,407,361,46,64,202,0,85.72334152334153,80.82113022113023,72.11670761670761,70.59140049140048,66.83087027914614,59.277504105090316,52.24646983311938,8.21566110397946
공주교육대학교,12,322,309,196,188,7,5,104,9,92.5326530612245,91.98163265306123,90.39132653061225,88.2265306122449,63.43042071197411,60.84142394822006,60.86956521739131,1.5527950310559007
광신대학교,7,103,52,37,26,11,24,15,0,89.1891891891892,89.1891891891892,80.32972972972972,77.62702702702703,71.15384615384616,50.0,35.92233009708738,23.300970873786408
광운대학교,37,1901,1509,920,825,95,214,589,0,94.07565217391303,89.93173913043479,84.89119565217392,84.07891304347827,60.96752816434725,54.67196819085487,48.3955812730142,11.257233035244608
광주가톨릭대학교,1,14,0,0,0,0,8,0,0,,,,,,,0.0,57.14285714285714
광주과학기술원,7,138,29,18,13,5,107,5,6,77.77777777777777,77.77777777777777,77.77777777777777,77.77777777777777,62.06896551724138,44.827586206896555,13.043478260869565,77.53623188405797
광주교육대학교,13,314,310,178,168,10,0,106,26,94.80786516853934,94.80786516853934,92.49831460674157,92.49831460674157,57.41935483870968,54.19354838709678,56.68789808917197,0.0
광주대학교,41,1439,1372,863,771,89,29,509,0,88.7500579374276,83.05840092699883,74.97624565469295,72.6196987253766,62.90087463556851,56.19533527696793,59.97220291869354,2.0152883947185547
광주여자대학교,20,872,808,520,463,57,14,288,0,89.38846153846153,84.11942307692307,75.7325,72.88980769230768,64.35643564356435,57.3019801980198,59.63302752293578,1.6055045871559634
국립강릉원주대학교,49,1175,1007,601,546,54,118,401,5,91.14792013311148,85.25307820299501,80.17454242928451,77.18702163061563,59.682224428997024,54.220456802383325,51.148936170212764,10.042553191489361
국립강릉원주대학교_제2캠퍼스,11,481,469,286,262,24,7,183,0,93.52097902097903,87.79125874125874,83.61083916083916,83.2381118881119,60.98081023454158,55.863539445628994,59.45945945945946,1.4553014553014554
국립경국대학교,55,1204,1097,624,573,48,80,439,34,88.66266025641026,83.1863782051282,78.23221153846154,76.7065705128205,56.88240656335461,52.23336371923427,51.82724252491694,6.64451827242525
국립공주대학교,117,2662,2409,1418,1260,144,209,875,116,92.23251057827926,88.63385049365303,82.23977433004231,80.60133991537376,58.86259858862598,52.3038605230386,53.26821938392187,7.851239669421488
국립군산대학교,86,1390,1233,666,605,58,90,567,0,89.25600600600602,84.01006006006006,80.10135135135135,78.09564564564565,54.01459854014598,49.06731549067315,47.9136690647482,6.474820143884892
국립금오공과대학교,37,1251,1086,690,637,49,159,394,2,95.76608695652175,91.1159420289855,86.96115942028985,86.0391304347826,63.53591160220995,58.65561694290976,55.15587529976019,12.709832134292565
국립목포대학교,66,1454,1340,905,805,78,72,325,110,89.58132596685084,86.23834254143647,79.99591160220994,77.09403314917127,67.53731343283582,60.07462686567165,62.24209078404401,4.951856946354883
국립목포해양대학교,16,705,633,500,490,10,10,80,53,91.009,84.024,78.3514,76.739,78.98894154818325,77.40916271721959,70.92198581560284,1.4184397163120568
국립부경대학교,90,3461,2944,1656,1528,121,347,1198,90,91.60096618357487,87.55398550724637,83.49076086956522,81.51322463768118,56.25,51.902173913043484,47.847442935567756,10.026004045073677
국립순천대학교,68,1441,1312,751,665,80,93,561,0,84.66258322237019,81.55153129161118,77.09667110519308,75.44367509986684,57.24085365853659,50.6859756097561,52.116585704371964,6.453851492019432
국립창원대학교,61,1719,1538,912,811,95,141,611,15,92.32105263157895,89.92719298245615,85.46622807017545,84.23179824561403,59.297789336801046,52.73081924577373,53.054101221640494,8.202443280977311
국립한국교통대학교,62,1883,1750,1164,1072,82,112,585,1,93.02302405498283,89.13350515463917,84.72508591065292,83.52585910652923,66.51428571428572,61.25714285714285,61.8162506638343,5.947955390334572
국립한국해양대학교,42,1365,1213,865,825,35,110,320,28,91.87329479768785,86.47549132947977,82.28554913294798,81.01421965317918,71.31079967023908,68.01319043693323,63.369963369963365,8.058608058608058
국립한밭대학교,62,1819,1636,976,898,77,153,621,39,92.41270491803279,88.18872950819672,82.21905737704918,79.76485655737703,59.65770171149144,54.88997555012225,53.655854865310616,8.411214953271028
국민대학교,96,3367,2746,1825,1579,229,331,921,0,92.49380821917809,88.24586301369864,83.5438904109589,81.71583561643835,66.46030589949017,57.50182083029861,54.2025542025542,9.83070983070983
국제사이버대학교,20,916,890,667,517,150,15,223,0,94.2743628185907,91.74032983508246,85.79250374812595,84.80164917541231,74.9438202247191,58.08988764044943,72.81659388646288,1.6375545851528384
극동대학교,31,791,755,494,429,60,7,261,0,90.57429149797571,85.48340080971658,79.38056680161945,77.09777327935224,65.43046357615894,56.82119205298013,62.45259165613148,0.8849557522123894
글로벌사이버대학교,11,567,538,375,244,131,20,163,0,91.42106666666665,86.38373333333332,82.01386666666667,81.2912,69.70260223048327,45.353159851301115,66.13756613756614,3.527336860670194
금강대학교,7,82,71,35,29,6,3,30,6,84.04285714285714,80.61428571428571,70.99714285714285,70.99714285714285,49.29577464788733,40.845070422535215,42.68292682926829,3.6585365853658534
김천대학교,28,670,574,422,388,34,5,151,1,90.91492890995262,87.58293838862559,82.2521327014218,79.89549763033175,73.5191637630662,67.59581881533101,62.98507462686567,0.7462686567164178
나사렛대학교,46,1029,960,608,524,77,23,352,0,89.3501644736842,83.63947368421053,76.70427631578947,74.42746710526315,63.33333333333333,54.58333333333333,59.08649173955296,2.2351797862001943
남부대학교,23,698,568,394,362,32,4,174,0,91.5005076142132,85.91091370558377,77.81472081218276,77.2756345177665,69.36619718309859,63.732394366197184,56.446991404011456,0.5730659025787965
남서울대학교,41,2118,1973,1308,1123,175,37,665,0,89.09365443425077,83.17882262996943,75.95298165137615,73.78264525993883,66.29498226051697,56.918398378104406,61.756373937677054,1.7469310670443814
단국대학교,64,2627,2272,1352,1119,227,201,920,0,92.77618343195267,88.53476331360947,82.23417159763314,81.17463017751479,59.50704225352113,49.25176056338028,51.46555005709935,7.651313285116101
단국대학교_제2캠퍼스,86,2468,2159,1362,1143,210,253,797,0,91.11637298091043,85.44405286343613,78.83788546255506,76.92635829662261,63.08476146364057,52.94117647058824,55.186385737439224,10.251215559157211
대구가톨릭대학교,97,2381,2171,1273,1139,132,132,898,0,88.15648075412413,81.38593872741555,75.88153967007071,74.02914375490967,58.63657300783049,52.464302164900964,53.464930701385974,5.543889122217556
대구경북과학기술원,1,155,61,41,30,11,92,13,7,90.0,86.7,80.0,80.0,67.21311475409836,49.18032786885246,26.451612903225808,59.354838709677416
대구교육대학교,13,377,366,229,222,7,5,137,0,96.83187772925764,96.83187772925764,94.55371179039301,94.55371179039301,62.568306010928964,60.65573770491803,60.742705570291776,1.3262599469496021
대구대학교,110,3771,3381,1871,1674,192,134,7,1503,87.1762159273116,81.40839123463387,75.15847140566542,73.05371459112774,55.33865720201124,49.51197870452529,49.615486608326705,3.5534341023601166
대구사이버대학교,15,1207,1173,990,734,256,31,183,0,92.34555555555556,90.7128282828283,87.31222222222225,86.5387878787879,84.39897698209718,62.574595055413475,82.0215410107705,2.568351284175642
대구예술대학교,18,158,147,78,55,23,2,69,0,91.88589743589743,86.12692307692308,76.08333333333333,73.51923076923077,53.06122448979592,37.41496598639456,49.36708860759494,1.2658227848101267
대구한의대학교,51,1538,1447,978,869,108,53,469,0,91.0441717791411,85.65705521472391,80.31329243353782,79.45102249488752,67.58811333794057,60.055286800276434,63.5890767230169,3.4460338101430428
대신대학교,5,111,57,32,26,6,18,25,0,71.6875,71.6875,67.3125,67.3125,56.14035087719298,45.614035087719294,28.82882882882883,16.216216216216218
대전가톨릭대학교,1,7,0,0,0,0,7,0,0,,,,,,,0.0,100.0
대전대학교,63,1838,1723,1053,960,91,37,670,0,90.08679962013296,84.98072174738842,79.30721747388414,77.50408357075025,61.11433546140452,55.716773070226346,57.29053318824809,2.013057671381937
대전신학대학교,1,8,0,0,0,0,4,0,0,,,,,,,0.0,50.0
대진대학교,47,1540,1408,892,755,120,58,516,0,90.07174887892378,85.71547085201794,80.25033632286996,78.22656950672645,63.35227272727273,53.62215909090909,57.92207792207792,3.766233766233766
덕성여자대학교,70,1287,1179,713,593,100,97,466,0,90.98499298737727,87.07279102384292,80.97812061711079,79.26591865357645,60.474978795589486,50.296861747243426,55.400155400155406,7.536907536907537
동국대학교,87,3143,2502,1659,1427,222,330,843,0,93.3785412899337,90.25684147076552,85.94882459312838,84.52133815551538,66.30695443645084,57.0343725019984,52.78396436525612,10.499522748965957
동국대학교(WISE)_분교,65,1536,1326,805,716,88,79,521,0,88.30136645962733,83.49527950310559,75.55204968944099,74.18372670807453,60.70889894419306,53.996983408748115,52.408854166666664,5.143229166666666
동덕여자대학교,41,1543,1446,895,691,199,87,551,0,87.52424581005587,80.86715083798883,72.71195530726257,69.47128491620111,61.89488243430152,47.786998616874136,58.00388852883992,5.638366817887232
동명대학교,48,1729,1518,940,835,97,25,578,0,90.485,85.59606382978724,79.25819148936169,76.9455319148936,61.9235836627141,55.006587615283266,54.36668594563332,1.4459224985540775
동서대학교,80,2076,1936,1175,990,130,51,761,0,88.76782978723404,83.11259574468086,74.67021276595743,72.12544680851065,60.692148760330575,51.13636363636363,56.59922928709056,2.4566473988439306
동신대학교,44,1434,1294,832,755,68,29,462,0,89.94579326923078,85.20709134615385,80.63978365384615,77.91021634615385,64.2967542503864,58.34621329211747,58.019525801952575,2.0223152022315203
동아대학교,111,4183,3836,2203,1940,218,237,1633,0,89.4733999092147,84.83831139355424,79.61448025419882,77.54598275079437,57.42961418143901,50.573514077163715,52.6655510399235,5.665790102797036
동양대학교,25,798,756,494,439,55,12,262,0,92.32631578947368,86.66558704453442,78.93542510121458,77.57429149797572,65.34391534391534,58.06878306878307,61.904761904761905,1.5037593984962405
동의대학교,86,3241,3060,1822,1622,178,125,1238,0,89.64110867178924,82.28907793633368,75.27508232711307,73.57469813391877,59.54248366013072,53.00653594771242,56.217216908361614,3.856834310398025
디지털서울문화예술대학교,13,814,775,555,416,139,15,220,0,91.79081081081083,86.30234234234234,79.48522522522522,77.04612612612613,71.61290322580646,53.677419354838705,68.18181818181817,1.8427518427518428
루터대학교,5,76,64,43,33,10,6,10,11,90.29069767441861,80.53488372093024,72.17906976744186,69.46046511627907,67.1875,51.5625,56.57894736842105,7.894736842105263
명지대학교,39,1459,1186,774,641,130,179,412,0,90.1736434108527,86.82312661498707,82.2280361757106,80.36705426356589,65.26138279932546,54.04721753794266,53.05003427004797,12.268677176148046
명지대학교_제2캠퍼스,40,1885,1535,999,872,126,69,536,0,91.91131131131131,86.12652652652652,80.68718718718719,78.53593593593592,65.0814332247557,56.80781758957655,52.99734748010611,3.6604774535809024
목원대학교,83,1477,1316,755,616,139,97,527,34,86.5266225165563,80.30304635761588,74.26675496688742,72.56476821192052,57.370820668693014,46.808510638297875,51.117129316181455,6.567366283006093
목포가톨릭대학교,3,134,132,85,84,1,1,47,0,86.93411764705883,83.30823529411765,76.21411764705883,73.77058823529413,64.39393939393939,63.63636363636363,63.43283582089553,0.7462686567164178
배재대학교,68,1550,1435,821,696,115,52,614,0,87.20097442143727,81.1890377588307,74.08721071863582,71.93812423873325,57.21254355400697,48.501742160278745,52.96774193548387,3.354838709677419
백석대학교,26,2676,2452,1634,1284,273,67,749,69,88.54847001223989,83.02992656058751,75.95924112607099,73.72307221542228,66.6394779771615,52.36541598694943,61.06128550074739,2.5037369207772797
부산가톨릭대학교,24,835,785,529,501,18,22,256,0,93.73421550094517,89.79187145557655,82.75595463137995,80.01890359168242,67.38853503184713,63.82165605095541,63.35329341317365,2.6347305389221556
부산교육대학교,13,346,336,196,191,5,2,140,0,96.3515306122449,96.3515306122449,94.82755102040817,94.2765306122449,58.333333333333336,56.845238095238095,56.64739884393064,0.5780346820809248
부산대학교,104,4176,3325,1912,1720,185,696,906,507,92.51281380753139,89.1598849372385,84.70334728033473,83.82186192468617,57.50375939849624,51.72932330827068,45.785440613026815,16.666666666666664
부산디지털대학교,9,695,661,479,384,95,31,182,0,92.8651356993737,87.74384133611692,84.07118997912318,83.05615866388308,72.46596066565809,58.09379727685325,68.92086330935253,4.460431654676259
부산외국어대학교,38,1531,1341,766,620,82,30,575,0,85.777545691906,78.74099216710182,70.24321148825065,67.38250652741516,57.12155108128263,46.234153616703956,50.03265839320705,1.9595035924232527
부산장신대학교,4,36,27,13,12,1,6,11,3,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,48.148148148148145,44.44444444444444,36.11111111111111,16.666666666666664
사이버한국외국어대학교,10,1836,1737,1167,940,218,40,570,0,94.53461868037704,91.94018851756643,88.41302485004285,87.34730077120823,67.18480138169257,54.11629245826137,63.56209150326797,2.178649237472767
삼육대학교,27,1300,1157,751,619,107,65,406,0,90.73675099866844,84.00133155792275,79.17789613848203,77.07150466045273,64.90924805531547,53.50043215211755,57.769230769230774,5.0
상명대학교,42,1387,1142,724,610,111,91,418,0,90.45069060773481,85.31560773480663,78.85317679558011,77.80207182320441,63.397548161120845,53.41506129597198,52.19899062725306,6.560922855082913
상명대학교_제2캠퍼스,52,1248,1149,696,569,125,53,453,0,88.49080459770114,83.88793103448276,77.67413793103448,75.49597701149425,60.574412532637076,49.521322889469104,55.769230769230774,4.246794871794872
상지대학교,67,1398,1347,877,771,106,21,470,0,89.88677309007981,83.0890535917902,76.24104903078677,73.75347776510833,65.10764662212324,57.23830734966593,62.73247496423462,1.502145922746781
서강대학교,31,1718,1186,867,798,64,290,319,0,96.97762399077278,94.9971164936563,92.08915801614762,90.80484429065744,73.10286677908938,67.28499156829679,50.46565774155995,16.880093131548314
서경대학교,40,1517,1342,902,679,205,58,440,0,86.93991130820399,80.56430155210643,73.30321507760532,71.78436807095343,67.21311475409836,50.59612518628912,59.45945945945946,3.823335530652604
서울과학기술대학교,46,2285,1883,1198,1080,118,282,680,5,94.65141903171953,91.58447412353922,87.78080133555927,86.31585976627714,63.6218799787573,57.355284121083386,52.4288840262582,12.341356673960613
서울교육대학교,13,353,339,233,232,1,6,106,0,95.23862660944206,94.37982832618027,93.09313304721032,93.09313304721032,68.73156342182891,68.43657817109144,66.0056657223796,1.69971671388102
서울기독대학교,14,77,63,42,30,12,8,21,0,87.46904761904761,80.68333333333332,76.51666666666667,72.35,66.66666666666666,47.61904761904761,54.54545454545454,10.38961038961039
서울대학교,96,3188,2076,1361,1167,193,994,715,0,92.83284349742836,89.44915503306393,85.75209404849376,84.29529757531226,65.5587668593449,56.21387283236994,42.691342534504386,31.179422835633623
서울디지털대학교,36,3103,2985,2358,1995,360,92,627,0,95.58044953350299,92.73787107718407,90.11382527565735,89.1870653095844,78.99497487437186,66.83417085427136,75.99097647437964,2.9648727038349985
서울사이버대학교,33,4248,4136,3389,2956,424,97,747,0,95.29117733844792,92.82643847742699,89.97096488639716,88.8096193567424,81.93907156673113,71.47001934235976,79.77871939736346,2.283427495291902
서울시립대학교,44,1826,1522,968,864,99,240,554,0,94.6210743801653,92.0706611570248,89.86260330578513,88.98037190082644,63.600525624178715,56.767411300919846,53.01204819277109,13.143483023001096
서울신학대학교,11,432,310,212,184,27,51,53,45,85.05141509433963,80.2816037735849,73.90047169811321,73.90047169811321,68.38709677419355,59.354838709677416,49.074074074074076,11.805555555555555
서울여자대학교,35,1410,1255,779,660,114,136,476,0,87.06046213093711,81.13196405648267,73.33735558408215,70.68433889602053,62.07171314741036,52.589641434262944,55.248226950354606,9.645390070921986
서울장신대학교,3,79,36,18,15,3,13,18,0,75.47777777777779,57.42222222222222,57.42222222222222,51.355555555555554,50.0,41.66666666666667,22.78481012658228,16.455696202531644
서울한영대학교,12,148,127,82,74,8,8,45,0,88.90609756097561,87.61585365853658,81.51219512195122,78.93658536585367,64.56692913385827,58.26771653543307,55.4054054054054,5.405405405405405
서원대학교,43,1333,1288,784,687,97,31,314,190,88.71454081632655,82.99719387755101,75.4827806122449,73.33749999999999,60.86956521739131,53.338509316770185,58.81470367591898,2.3255813953488373
선문대학교,62,2038,1676,1145,1034,92,74,531,0,92.78454148471617,88.11545851528383,80.98777292576419,78.61903930131005,68.31742243436753,61.6945107398568,56.18253189401374,3.631010794896958
성결대학교,29,1131,1010,646,542,100,36,364,0,88.01780185758514,83.40046439628482,77.42956656346749,75.52229102167183,63.960396039603964,53.663366336633665,57.11759504862953,3.183023872679045
성공회대학교,28,410,395,225,187,37,12,170,0,87.25733333333332,82.26933333333335,71.74044444444445,69.84266666666666,56.9620253164557,47.34177215189874,54.87804878048781,2.9268292682926833
성균관대학교,75,4124,2905,2072,1879,190,742,833,0,95.73074324324324,92.80241312741313,89.12442084942084,88.46259652509653,71.32530120481928,64.6815834767642,50.24248302618817,17.992240543161977
성신여자대학교,57,1880,1666,1006,765,234,189,660,0,87.93051689860836,80.46212723658053,72.73528827037774,70.4151093439364,60.38415366146459,45.91836734693878,53.51063829787234,10.053191489361703
세명대학교,34,1687,1572,1040,937,102,47,532,0,89.71875,83.94480769230768,78.89586538461538,77.06951923076923,66.15776081424937,59.605597964376585,61.64789567279194,2.7860106698280975
세종대학교,68,2656,2118,1302,1089,209,381,816,0,92.00606758832565,87.36190476190475,81.1231950844854,78.82611367127497,61.47308781869688,51.41643059490085,49.02108433734939,14.34487951807229
세종사이버대학교,34,2733,2656,2063,1809,247,51,593,0,94.73330101793506,92.19825496849249,89.0186621425109,87.89374697043141,77.67319277108435,68.10993975903614,75.48481522136846,1.8660812294182216
세한대학교,35,703,649,451,356,83,7,198,0,92.1529933481153,88.78226164079821,85.60221729490021,84.39090909090909,69.49152542372882,54.853620955315876,64.15362731152204,0.995732574679943
송원대학교,39,634,565,397,357,39,6,168,0,91.63425692695215,87.72191435768262,82.51813602015113,79.07732997481108,70.26548672566372,63.1858407079646,62.618296529968454,0.9463722397476341
수원가톨릭대학교,1,33,0,0,0,0,4,0,0,,,,,,,0.0,12.121212121212121
수원대학교,59,1908,1768,1157,944,210,94,611,0,90.23318928262749,83.69472774416593,78.24442523768366,75.86162489196197,65.44117647058823,53.39366515837104,60.63941299790356,4.926624737945493
숙명여자대학교,50,2220,1963,1226,1036,186,238,737,0,90.97292006525285,87.29722675367047,80.91264274061992,79.528955954323,62.45542536933265,52.77636271013755,55.22522522522523,10.72072072072072
순복음총회신학교,4,21,12,8,5,3,5,4,0,100.0,100.0,81.25,81.25,66.66666666666666,41.66666666666667,38.095238095238095,23.809523809523807
순천향대학교,69,2440,2134,1340,1189,140,163,794,0,89.29708955223882,85.06485074626865,80.25208955223881,78.89708955223881,62.79287722586692,55.71696344892221,54.91803278688525,6.680327868852459
숭실대학교,53,3037,2474,1676,1516,154,286,798,0,93.90071599045348,89.68615751789976,85.84110978520287,83.86980906921242,67.7445432497979,61.277283751010515,55.18603885413237,9.417188014487982
숭실사이버대학교,27,2242,2184,1715,1504,210,44,469,0,95.88431486880467,92.82868804664724,89.62862973760933,88.55731778425655,78.52564102564102,68.86446886446886,76.4942016057092,1.9625334522747548
신경주대학교,18,202,140,90,76,14,3,50,0,83.01000000000002,77.98333333333333,75.40111111111112,72.06888888888889,64.28571428571429,54.285714285714285,44.554455445544555,1.4851485148514851
신라대학교,115,1695,1589,938,823,89,31,651,0,87.77164179104479,83.8094882729211,76.45266524520255,74.0367803837953,59.03083700440529,51.793580868470734,55.33923303834808,1.8289085545722714
신한대학교,8,313,298,206,190,16,5,91,1,94.02912621359224,88.57815533980582,86.55776699029127,84.94174757281553,69.12751677852349,63.758389261744966,65.814696485623,1.5974440894568689
신한대학교_제2캠퍼스,26,1174,1011,666,566,100,20,325,20,88.83783783783784,82.72057057057057,74.72672672672674,71.94084084084083,65.8753709198813,55.984174085064296,56.72913117546848,1.7035775127768313
아신대학교,6,127,0,0,0,0,40,0,0,,,,,,,0.0,31.496062992125985
아주대학교,38,2238,1809,1253,1155,96,345,556,0,93.50438946528331,90.72370311252995,85.88435754189945,84.68747007182762,69.26478717523493,63.847429519071305,55.987488829311886,15.415549597855227
안양대학교,50,977,912,585,500,84,27,190,137,90.68888888888888,87.19914529914531,79.52957264957266,76.89299145299145,64.14473684210526,54.824561403508774,59.877175025588535,2.7635619242579326
안양대학교_제2캠퍼스,8,53,53,26,21,5,0,19,8,84.60769230769232,80.76153846153846,73.06923076923077,69.21923076923078,49.056603773584904,39.62264150943396,49.056603773584904,0.0
연세대학교,82,4204,2915,1961,1724,229,928,954,0,94.70469148393677,91.82432432432432,88.55935747067822,87.35430902600713,67.27272727272727,59.142367066895375,46.646051379638436,22.074215033301616
연세대학교(미래)_분교,46,1671,1344,848,765,80,206,496,0,89.06556603773586,84.8693396226415,79.63466981132075,78.74540094339623,63.095238095238095,56.91964285714286,50.74805505685218,12.327947336923998
