rank_2024_raw,univ_name_std,a_rate_pct,a_rate_expected_by_rank_pct,a_rate_residual_pctp,official_employment_rate_pct,health_employment_rate_pct,retention_4th_pct,overall_advancement_rate_pct
44,서경대학교,28.265952137021564,38.94230532666306,-10.676353189641496,67.21311475409836,50.59612518628912,71.78436807095343,3.823335530652604
24,성신여자대학교,33.599820070336136,44.0792817026768,-10.479461632340666,60.38415366146459,45.91836734693878,70.4151093439364,10.053191489361703
19,세종대학교,36.17404051172708,45.363525796680236,-9.189485284953157,61.47308781869688,51.41643059490085,78.82611367127497,14.34487951807229
6,서강대학교,39.98581057112452,48.70256044108917,-8.716749869964652,73.10286677908938,67.28499156829679,90.80484429065744,16.880093131548314
14,홍익대학교,38.506819537156375,46.647769890683676,-8.140950353527302,65.58500914076782,56.62705667276051,82.94097560975611,7.453651153991676
11,건국대학교,39.94467674493406,47.418316347085735,-7.473639602151678,66.79049034175334,59.58395245170877,84.61095661846497,13.82488479262673
22,경북대학교,37.1412599191224,44.59297934027818,-7.451719421155779,57.820512820512825,52.33333333333333,84.82727272727273,14.405185030315701
12,한국외국어대학교,39.89961351202128,47.161467528285044,-7.2618540162637615,64.47827465905488,55.8198541071995,82.02744712247909,6.382408152319657
20,아주대학교,37.854567191808556,45.10667697787955,-7.252109786070996,69.26478717523493,63.847429519071305,84.68747007182762,15.415549597855227
15,숭실대학교,39.53488372093023,46.390921071882985,-6.856037350952754,67.7445432497979,61.277283751010515,83.86980906921242,9.417188014487982
25,단국대학교,37.049457994579946,43.82243288387612,-6.772974889296172,59.50704225352113,49.25176056338028,81.17463017751479,7.651313285116101
7,중앙대학교,41.916526485261095,48.44571162228848,-6.529185137027383,67.56505576208178,60.5638166047088,85.67657038055937,10.238153695065062
