grouping,group,n_universities,A,B,C,D,F
순위 4분위,상위 25%,12,50.67017329950082,31.957710998120714,12.884255845288168,2.2324152574793668,2.2554445996109336
순위 4분위,상위 25~50%,12,41.76442972790307,39.440806592277,14.903139654385967,1.8252452508756223,2.0663787745583275
순위 4분위,하위 50~75%,11,42.62725442219363,36.90315694302473,15.887702039715752,2.027250056954257,2.554636538111637
순위 4분위,하위 25%,12,40.32091249486718,36.89264311467822,18.596178398828908,2.2690706899612763,1.9211953016644225
학점포기제,X,24,45.03157630267696,35.182396558311595,15.790714381214102,2.1609538405172652,1.8343589172800812
학점포기제,O,19,43.991869997990065,37.36840761627334,14.14434085254464,1.9154446017583826,2.579936931433572
학점포기제,정책 결측,4,36.34065592133114,37.762848181377876,20.91199696785579,2.491046350117092,2.493452579318096
A잔차 3분위,서열 대비 A 낮음,16,37.578245032541766,38.344133984565765,19.458457037786115,2.4498130595145993,2.1693508855917747
A잔차 3분위,중간,15,41.513328783851996,37.29490664145987,16.332772746477723,2.1199072513922372,2.7390845768181746
A잔차 3분위,서열 대비 A 높음,16,52.37588328955842,33.28118196620207,10.94004408857288,1.7015567051984286,1.7013339504681992
