analysis_year,univ_id,rank_2024_raw,univ_name_raw,univ_name_std,rank_pct_2024,prestige_score,rank_years_observed,campus_status,mapping_note,grade_raw_rows,grade_total_n,a_count,b_count,c_count,d_count,f_count,dept_count,regular_terms_observed,max_grade_count_gap_abs,max_ratio_sum_gap_abs,max_a_rate_gap_abs,a_rate_pct,b_rate_pct,c_rate_pct,d_rate_pct,f_rate_pct,df_rate_pct,qa_status,credit_forfeit_raw,credit_forfeit_bin,policy_reference_year,policy_source,policy_verified,employment_rows,graduates_total,official_employment_denominator,employed_total,health_employed_total,startup_freelance_employed_total,advanced_total,other_unknown_total,unknown_total,retention_1st_pct,retention_2nd_pct,retention_3rd_pct,retention_4th_pct,official_employment_rate_pct,health_employment_rate_pct,graduate_based_employment_rate_pct,advancement_rate_in_employment_data_pct,advancement_rows,advancement_graduates_total,advancement_total,graduate_school_total,domestic_advancement_total,overseas_advancement_total,overall_advancement_rate_pct,graduate_school_rate_pct,match_status,a_rate_expected_by_rank_pct,a_rate_residual_pctp,a_residual_group
2024,1,1,서울대,서울대학교,0.0,1.0,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,214,80239,50799,20770,6767,1198,705,94,2,0,0.4000000000000057,4.953562893206254e-09,63.30961253255898,25.885168060419495,8.433554755168933,1.4930395443612208,0.8786251074913696,2.3716646518525906,ratio_sum_gap,X,0.0,,,,96,3188,2076,1361,1167,193,994,715,0,92.83284349742836,89.44915503306393,85.75209404849376,84.29529757531226,65.5587668593449,56.21387283236994,42.691342534504386,31.179422835633623,96,3188,994,987,992,2,31.179422835633623,30.959849435382687,matched,49.9868045350926,13.322807997466377,서열 대비 A 높음
2024,2,2,연세대,연세대학교,0.0196078431372549,0.9803921568627451,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,203,115361,69473,31926,10821,1857,1284,102,2,0,0.29999999999999716,4.925368557451293e-09,60.22225882230563,27.67486412219034,9.380119797851961,1.6097294579623962,1.1130277996896698,2.722757257652066,ratio_sum_gap,X,0.0,,,,82,4204,2915,1961,1724,229,928,954,0,94.70469148393677,91.82432432432432,88.55935747067822,87.35430902600713,67.27272727272727,59.142367066895375,46.646051379638436,22.074215033301616,82,4204,928,917,905,23,22.074215033301616,21.81255946717412,matched,49.72995571629191,10.492303106013722,서열 대비 A 높음
2024,3,3,고려대,고려대학교,0.0392156862745098,0.9607843137254902,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,132,93635,54639,25677,8563,2026,2730,67,2,0,0.20000000000000284,4.988123691873625e-09,58.353179900678164,27.422438190847437,9.145084637154909,2.163720830885887,2.9155764404335986,5.079297271319485,pass,O,1.0,,,,63,4219,2927,2046,1849,187,928,881,0,95.14672531769307,92.40899315738027,89.58651026392964,89.02829912023462,69.90092244619063,63.17048172189955,48.49490400568855,21.995733586157858,63,4219,928,915,911,17,21.995733586157858,21.687603697558664,matched,49.47310689749123,8.880073003186936,서열 대비 A 높음
2024,4,4,성균관대,성균관대학교,0.058823529411764705,0.9411764705882353,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,140,99298,58881,28333,8228,1604,2252,71,2,0,0.20000000000000284,4.9397641532777925e-09,59.29726681302745,28.53330379262422,8.286168905718142,1.6153396845857921,2.2679208040443917,3.883260488630184,pass,O,1.0,,,,75,4124,2905,2072,1879,190,742,833,0,95.73074324324324,92.80241312741313,89.12442084942084,88.46259652509653,71.32530120481928,64.6815834767642,50.24248302618817,17.992240543161977,75,4124,742,736,737,5,17.992240543161977,17.846750727449077,matched,49.216258078690544,10.081008734336905,서열 대비 A 높음
2024,5,5,한양대,한양대학교,0.0784313725490196,0.9215686274509804,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,144,93116,46949,27644,12256,2660,3607,71,2,0,0.20000000000000284,4.957257715432206e-09,50.4199063533657,29.68770136174234,13.162077408823404,2.8566519180377163,3.8736629580308435,6.730314876068559,pass,O,1.0,,,,63,3391,2401,1655,1431,223,567,746,0,94.56930513595165,92.57105740181268,88.9120241691843,87.97595166163143,68.92961266139108,59.600166597251146,48.80566204659392,16.72073134768505,63,3391,567,562,555,12,16.72073134768505,16.573282217634915,matched,48.95940925988985,1.460497093475844,중간
2024,6,6,서강대,서강대학교,0.09803921568627451,0.9019607843137255,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,66,42285,16908,15462,7765,1313,837,33,2,0,0.29999999999999716,4.900542194263835e-09,39.98581057112452,36.56615821213196,18.363485869693744,3.1051200189192385,1.9794253281305427,5.084545347049781,ratio_sum_gap,X,0.0,,,,31,1718,1186,867,798,64,290,319,0,96.97762399077278,94.9971164936563,92.08915801614762,90.80484429065744,73.10286677908938,67.28499156829679,50.46565774155995,16.880093131548314,31,1718,290,286,284,6,16.880093131548314,16.647264260768335,matched,48.70256044108917,-8.716749869964652,서열 대비 A 낮음
2024,7,7,중앙대,중앙대학교,0.11764705882352941,0.8823529411764706,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,111,138511,58059,49496,23495,3649,3812,44,2,0,0.29999999999999716,4.790877028426621e-09,41.916526485261095,35.73434600862026,16.962551710694456,2.634447805589448,2.7521279898347424,5.38657579542419,ratio_sum_gap,X,0.0,,,,53,4073,3228,2181,1955,219,417,1047,0,93.20261348005502,90.14901421366348,86.7898211829436,85.67657038055937,67.56505576208178,60.5638166047088,53.54775349864964,10.238153695065062,53,4073,417,410,417,0,10.238153695065062,10.066290203780996,matched,48.44571162228848,-6.529185137027383,서열 대비 A 낮음
2024,8,8,이화여대,이화여자대학교,0.13725490196078433,0.8627450980392157,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,207,105614,65647,28916,8383,1366,1302,103,2,0,0.4000000000000057,4.951459686708404e-09,62.15747912208609,27.37894597307175,7.937394663586267,1.2933891340163235,1.2327911072395705,2.526180241255894,ratio_sum_gap,X,0.0,,,,109,3201,2453,1584,1353,226,607,869,0,91.33333333333333,86.5263888888889,81.35126262626262,80.24652777777777,64.57399103139014,55.15695067264574,49.48453608247423,18.962824117463292,109,3201,607,597,602,5,18.962824117463292,18.650421743205246,matched,48.188862803487794,13.968616318598293,서열 대비 A 높음
2024,9,9,시립대,서울시립대학교,0.1568627450980392,0.8431372549019608,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,102,50625,23522,18881,5625,1019,1578,50,2,0,0.29999999999999716,4.875616355093371e-09,46.46320987654321,37.2958024691358,11.11111111111111,2.0128395061728392,3.117037037037037,5.1298765432098765,ratio_sum_gap,X,0.0,,,,44,1826,1522,968,864,99,240,554,0,94.6210743801653,92.0706611570248,89.86260330578513,88.98037190082644,63.600525624178715,56.767411300919846,53.01204819277109,13.143483023001096,44,1826,240,234,237,3,13.143483023001096,12.814895947426066,matched,47.9320139846871,-1.4688041081438925,중간
2024,10,10,경희대,경희대학교,0.17647058823529413,0.8235294117647058,1,main_or_unspecified,2024년 순위 약칭을 공시자료 학교명으로 매핑,207,178525,82251,68408,18426,4740,4700,102,2,0,0.4000000000000057,4.97652763442602e-09,46.07253886010363,38.318442795126735,10.321243523316062,2.6550903234841057,2.632684497969472,5.287774821453578,ratio_sum_gap,O,1.0,,,,97,6161,4741,3071,2584,475,657,1670,0,91.4403777271247,87.4857375447737,82.93321393682838,81.28580267014003,64.7753638472896,54.50326935245728,49.845804252556405,10.66385327057296,97,6161,657,647,639,18,10.66385327057296,10.501541957474437,matched,47.67516516588642,-1.6026263057827919,중간
