univ_name_std,PC1,PC2,PC3,rank_2024_raw,a_rate_pct,a_rate_residual_pctp,a_residual_group,credit_forfeit_raw
서울대학교,4.94897823218095,-3.294882063260207,-1.2318161856545946,1,63.30961253255898,13.322807997466375,서열 대비 A 높음,X
연세대학교,3.9728487734066285,-2.0312228025694354,-0.6252683939984491,2,60.22225882230563,10.492303106013722,서열 대비 A 높음,X
고려대학교,4.519306294884988,0.785202758691939,1.1062368343315359,3,58.35317990067816,8.880073003186936,서열 대비 A 높음,O
성균관대학교,4.069074985064218,-0.11144943694274063,1.6367848895529502,4,59.29726681302745,10.081008734336905,서열 대비 A 높음,O
한양대학교,2.886944001443002,2.7255289238563076,1.0311109191574828,5,50.4199063533657,1.460497093475844,중간,O
서강대학교,3.574992957023643,2.0587751167045827,-0.7594293017519322,6,39.98581057112452,-8.716749869964652,서열 대비 A 낮음,X
중앙대학교,1.1766158975386602,1.7547343098056076,-0.15266146117393786,7,41.916526485261095,-6.529185137027383,서열 대비 A 낮음,X
이화여자대학교,2.291444643251929,-2.7229881179675623,-0.3112459705073633,8,62.15747912208609,13.968616318598292,서열 대비 A 높음,X
서울시립대학교,1.2939014424641064,0.5066762067802071,0.24554547514505448,9,46.46320987654321,-1.4688041081438925,중간,X
경희대학교,0.29624270456946955,0.8131928899335659,1.4074583624917774,10,46.07253886010363,-1.602626305782792,중간,O
건국대학교,1.4066384869046245,0.904283393726316,0.159932441951152,11,39.94467674493406,-7.473639602151678,서열 대비 A 낮음,O
한국외국어대학교,-0.4410994329111597,1.9056638558558596,0.5303551414327758,12,39.89961351202128,-7.2618540162637615,서열 대비 A 낮음,O
동국대학교,0.45353654987580405,-0.9788866494806948,2.375302562408264,13,43.52425731994016,-3.380361389544205,중간,O
홍익대학교,-0.2938926915187692,0.6057768228834063,1.1445105091200132,14,38.506819537156375,-8.140950353527302,서열 대비 A 낮음,O
숭실대학교,0.6870921391627811,1.3421315103212137,0.8959547198726117,15,39.53488372093023,-6.856037350952754,서열 대비 A 낮음,O
숙명여자대학교,-0.06101484296132945,-1.7850926585359363,1.7953393108270685,16,53.63359512742427,7.499522874341977,서열 대비 A 높음,O
국민대학교,0.38726501392990814,-0.4291972683821224,1.9512032625314129,17,48.52210794655415,2.64488451227254,서열 대비 A 높음,O
부산대학교,0.3248411965605755,0.3032844701897315,-1.863535726435891,18,41.862030131981925,-3.758344483499002,서열 대비 A 낮음,X
세종대학교,-0.5590250665919478,1.087785189623879,-0.7584457713820292,19,36.17404051172708,-9.189485284953156,서열 대비 A 낮음,X
아주대학교,1.7343694825885294,0.3970641682597332,0.8663742359783155,20,37.85456719180856,-7.252109786070996,서열 대비 A 낮음,O
서울과학기술대학교,0.6842768412094928,-0.868390802850851,-0.6479040932473495,21,44.374706379780136,-0.4751217792987319,중간,X
경북대학교,-0.3835800161974811,-1.7615832136493783,-0.9934738561654332,22,37.1412599191224,-7.451719421155779,서열 대비 A 낮음,X
인하대학교,1.6064973937234703,-1.0680649806513653,0.46248232835610203,23,46.44506887807552,2.1089383565980384,서열 대비 A 높음,X
성신여자대학교,-2.857996683882354,-2.6307324413847795,1.847843091770202,24,33.599820070336136,-10.479461632340666,서열 대비 A 낮음,O
단국대학교,-1.821479187573133,0.6002362348088862,-0.8168567074117035,25,37.049457994579946,-6.772974889296172,서열 대비 A 낮음,X
광운대학교,-0.160446665844056,2.2161260384193096,0.4088027782228955,26,43.4654848499446,-0.1000992151308253,중간,O
한국항공대학교,1.9712416801278436,3.7387576531608495,-1.872439047770817,27,37.09092967953799,-6.21780556673675,서열 대비 A 낮음,X
상명대학교,-1.467892433986145,-1.533013782218942,2.2392843751601212,29,46.48146054713995,3.6864229384665848,서열 대비 A 높음,O
