major_group,departments,universities,a_rate_mean_pct,a_rate_median_pct
기타,770,43,45.109587977024994,44.0440176041522
언어인문,378,41,45.98325459309783,43.77076477306647
공학,340,40,41.95326474196638,42.8041194627281
생명식품농림,306,41,42.0142963709559,42.210709329076415
경영경제,252,43,39.58065330725549,38.58571763420289
교육,225,33,52.44521484661765,49.54906265833475
건축토목환경,225,40,43.310552142855705,44.414477552676516
예체능디자인,223,41,49.470643641938366,47.728596389050665
컴퓨터AI,199,43,41.33385153215902,40.01539738594085
보건의료,120,29,41.86407865059925,40.83971265852994
법행정경찰소방,112,40,44.087473793827705,41.953290297182406
사회복지상담심리,75,34,47.422532207109974,44.74854510442267
간호,21,20,54.35295207575299,51.58653846153846
관광호텔조리,14,8,41.953134084372685,45.290012952944814
신학종교,10,9,49.846205890408456,47.86172093540155
