outcome_row_id,column,observed_value,rule_id,severity,reason,source_dataset,recommended_action
OC2024_00008,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00010,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00015,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00020,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00021,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00030,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00037,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00039,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00044,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00054,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00059,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00060,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00063,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00067,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00071,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00075,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00077,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00080,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00082,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00085,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00092,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00093,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00095,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00107,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00117,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00122,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00133,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00134,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00141,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00150,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00151,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00152,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00157,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00160,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00162,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00164,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00165,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00166,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00176,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00179,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00180,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00181,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00184,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
OC2024_00191,headcount_grain_uid,,OPTIONAL_LINEAGE_ID_NULL_LEDGER,WARN,optional lineage ID may be null when source grain is unavailable; ledger only,D08,KEEP_WITH_LEDGER
