output_row_id,source_dataset,source_row_id,source_row_hash,join_method,join_key,conflict_group_id,inclusion_status,exclusion_rule_id,transformation_rule_ids
OC2024_00001,P2_G2_정시입결.csv,7243,3bd6eb16b3c72d7509f8dedf3fde1d9b30e5cd9b3a04446bf080014723e627b9,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00002,P2_G2_정시입결.csv,7231,5e88361ac5d80e3223b5f31f2f2a982d1e19c3c41b90e9675bdccefa026a25d5,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00003,P2_G2_정시입결.csv,7238,889dec60be5fdf6f6a904847297bcdc76dd5da92d5904debdb7be1f50c9d9167,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00004,P2_G2_정시입결.csv,7249,38e25d681e72e64ed9b67c56c7a5f850074298bf81457dcef5b9757891422268,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00005,P2_G2_정시입결.csv,7245,1be4c3652f234f3976de11ec9be190ff5143c0a6a3a1bfed4f3df386e289b813,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00006,P2_G2_정시입결.csv,7244,edbaaa0253e782eb5f2ab5f70c690c785bf84b9445d3c6f9074de5154cbca933,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00007,P2_G2_정시입결.csv,7230,d87404992460ed445d6f8ea1f88fb6e756f9c24fadac14fa08e7f895e8c6d3e1,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00008,P2_G2_정시입결.csv,,4d3b226d576f1a319807d5369e48e890ca487b450f371b47192792e052901bcd,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00009,P2_G2_정시입결.csv,7247,06b2eb767c712704c5220697f628a86a4942c934306d3c0367db834819fc1ab6,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
OC2024_00010,P2_G2_정시입결.csv,,f3a72f5f97a4d0510e56d2bb513096f0509255676f73853e5a21c7303878403c,stable_key_and_documented_bridge,outcome_row_id|school_uid|campus_uid|dept_uid,,INCLUDED,,DERIVE_PROPORTIONS|RECOMPUTE_LOGS|ADD_INTEGRITY_FLAGS
