major_group_7,profile_start_year,profile_end_year,profile_years_n,aggregation_method,recent_employment_rate_pct,recent_firm_300plus_pct,recent_public_nonprofit_pct,recent_permanent_pct,recent_unstable_pct,recent_self_employed_pct,recent_industry_hhi,recent_industry_top3_pct,recent_professional_highskill_pct,recent_mean_income_10kkrw,recent_weekly_work_hours,recent_hourly_income_proxy,income_trend_per_year,hours_trend_per_year,firm_300plus_trend_per_year,permanent_trend_per_year,latest_2019_mean_income_10kkrw,latest_2019_weekly_work_hours,latest_2019_firm_300plus_pct,latest_2019_permanent_pct,source_years_observed,year_over_year_review_flag,mapping_confidence,row_qa_status
인문,2017,2019,3,mixed_weighted_2017_2019,64.40063,21.097418,28.517433,73.15509,22.966125,3.6499784,0.09230857,40.29943,27.957674,225.94847,39.975986,1.3012029,4.5296702,-0.3175825,0.020879075,-0.47197825,269.8,39.9,23.7,71.6,3,True,medium_reviewed,PASS
사회,2017,2019,3,mixed_weighted_2017_2019,69.609535,20.332579,31.614683,79.11846,16.265503,4.28632,0.08301936,33.00704,23.923975,235.45967,42.231544,1.2835511,3.110989,-0.40109885,0.21868132,-0.37142864,234.6,41.9,22.7,78.5,3,False,medium_reviewed,PASS
교육,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS
공학,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS
자연,2017,2019,3,mixed_weighted_2017_2019,66.61616,20.634125,30.696854,74.28932,20.130655,5.349733,0.12014718,51.656002,45.12405,224.64595,43.161877,1.1981739,3.6252742,-0.35879117,0.05824176,-0.73626345,225.2,42.5,19.9,73.8,3,False,medium_reviewed,PASS
의약,2017,2019,3,mixed_weighted_2017_2019,83.63194,34.586937,42.84097,88.36591,10.131062,1.1710143,0.61685634,85.754974,88.55697,261.6941,44.960068,1.3403994,5.2401094,-0.40384626,-0.10659337,-0.19505486,271.8,44.8,37.2,89.7,3,False,medium_reviewed,PASS
예체능,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS
