outcome_row_id,analysis_year,school_uid,school_name_std,campus_uid,campus_branch,dept_uid,dept_name_std,degree_course,headcount_grain_uid,match_method,match_score,candidate_count,split,conflict_group_id,classification,status,model_allowed,weight_allowed,denominator_allowed,exclusion_reason,source
OC2024_01602,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_608b06fc070c,경영학과,대학과정,HCG_8eb2aae466a7,exact_strict,1.0,1,train,DUPCON_007,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
OC2024_01602,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_608b06fc070c,경영학과,대학과정,HCG_8eb2aae466a7,exact_strict,1.0,1,train,HEADCOUNT_REUSE_HCG_8eb2aae466a7,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
OC2024_01603,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_69e8462a106a,경제학과,대학과정,HCG_a00973b2cdce,exact_strict,1.0,1,train,DUPCON_009,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
OC2024_01603,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_69e8462a106a,경제학과,대학과정,HCG_a00973b2cdce,exact_strict,1.0,1,train,HEADCOUNT_REUSE_HCG_a00973b2cdce,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
OC2024_01606,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_5775880d8f88,국어국문학과,대학과정,HCG_984fac045ce5,exact_strict,1.0,1,train,DUPCON_006,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
OC2024_01606,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_5775880d8f88,국어국문학과,대학과정,HCG_984fac045ce5,exact_strict,1.0,1,train,HEADCOUNT_REUSE_HCG_984fac045ce5,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
OC2024_01626,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_01160bffef8e,사회학과,대학과정,HCG_006f4a7004ae,exact_strict,1.0,1,train,DUPCON_001,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
OC2024_01626,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_01160bffef8e,사회학과,대학과정,HCG_006f4a7004ae,exact_strict,1.0,1,train,HEADCOUNT_REUSE_HCG_006f4a7004ae,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
OC2024_01632,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_6646d76a3796,수학과,대학과정,HCG_fd14c3ec4355,exact_strict,1.0,1,train,DUPCON_008,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
OC2024_01632,2024,SCH_2bbd7221f5f5,고려대학교,CAM_32d9fdbd724b,,DEP_6646d76a3796,수학과,대학과정,HCG_fd14c3ec4355,exact_strict,1.0,1,train,HEADCOUNT_REUSE_HCG_fd14c3ec4355,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
